 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFRA_PP_OCX4.jpg,4.254E-4,134.932,0.000,223.000,-89.790,0.481
2,OFRA_PP_OCX4.jpg,2.932E-4,114.016,60.074,194.601,-92.132,0.332
3,OFRA_PP_OCX4.jpg,3.849E-4,111.864,0.000,179.045,2.550,0.436
4,OFRA_PP_OCX4.jpg,2.745E-4,112.112,0.061,178.930,9.142,0.311
5,OFRA_PP_OCX4.jpg,0.150,144.338,0.000,220.000,0.000,0.000
6,OFRA_PP_OCX4.jpg,0.097,126.674,0.000,207.000,0.000,0.000
7,OFRA_PP_OCX4.jpg,3.974E-4,121.904,0.011,218.741,-85.274,0.450
8,OFRA_PP_OCX4.jpg,2.815E-4,89.077,0.066,165.964,-95.080,0.319
9,OFRA_PP_OCX4.jpg,3.530E-4,135.144,0.170,189.124,4.050,0.400
10,OFRA_PP_OCX4.jpg,2.761E-4,118.542,0.000,193.224,5.517,0.312
11,OFRA_PP_OCX4.jpg,0.163,157.963,0.000,233.000,0.000,0.000
12,OFRA_PP_OCX4.jpg,0.082,129.089,0.000,220.000,0.000,0.000
13,OFRA_PP_OCX4.jpg,3.958E-4,154.435,0.000,210.070,-87.971,0.448
14,OFRA_PP_OCX4.jpg,2.310E-4,96.025,0.000,175.667,-89.613,0.261
15,OFRA_PP_OCX4.jpg,4.230E-4,141.171,0.030,213.333,3.379,0.479
16,OFRA_PP_OCX4.jpg,2.201E-4,142.103,80.221,192.632,7.528,0.249
17,OFRA_PP_OCX4.jpg,0.159,170.964,0.000,224.000,0.000,0.000
18,OFRA_PP_OCX4.jpg,0.066,145.239,0.000,219.000,0.000,0.000
19,OFRA_PP_OCX4.jpg,4.114E-4,124.891,48.614,213.500,-82.821,0.466
20,OFRA_PP_OCX4.jpg,2.582E-4,70.970,0.057,154.159,-104.708,0.292
21,OFRA_PP_OCX4.jpg,4.020E-4,108.483,0.000,196.667,2.441,0.455
22,OFRA_PP_OCX4.jpg,2.504E-4,95.456,45.039,162.858,7.524,0.283
23,OFRA_PP_OCX4.jpg,0.173,139.317,0.000,234.000,0.000,0.000
24,OFRA_PP_OCX4.jpg,0.090,108.259,0.000,201.000,0.000,0.000
25,OFRA_PP_OCX4.jpg,3.336E-4,124.190,0.006,198.945,-77.035,0.377
26,OFRA_PP_OCX4.jpg,2.737E-4,110.674,0.000,190.333,-90.000,0.310
27,OFRA_PP_OCX4.jpg,4.324E-4,133.320,0.019,210.333,8.393,0.489
28,OFRA_PP_OCX4.jpg,2.644E-4,96.245,0.046,161.341,16.991,0.299
29,OFRA_PP_OCX4.jpg,0.156,139.950,0.000,211.000,0.000,0.000
30,OFRA_PP_OCX4.jpg,0.084,118.782,0.000,210.000,0.000,0.000
