 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFRA_PP_OGT1.jpg,4.297E-4,96.647,47.561,131.916,-85.657,0.452
2,OFRA_PP_OGT1.jpg,2.645E-4,54.470,0.000,117.603,-92.745,0.278
3,OFRA_PP_OGT1.jpg,3.855E-4,86.013,0.333,131.831,1.614,0.405
4,OFRA_PP_OGT1.jpg,2.203E-4,62.642,0.000,115.444,15.297,0.230
5,OFRA_PP_OGT1.jpg,0.126,91.122,0.000,151.000,0.000,0.000
6,OFRA_PP_OGT1.jpg,0.056,80.628,0.000,149.000,0.000,0.000
7,OFRA_PP_OGT1.jpg,4.035E-4,89.015,0.605,140.580,-85.887,0.424
8,OFRA_PP_OGT1.jpg,2.726E-4,64.863,0.000,98.845,-91.713,0.286
9,OFRA_PP_OGT1.jpg,3.575E-4,98.543,0.333,138.702,1.740,0.375
10,OFRA_PP_OGT1.jpg,2.212E-4,71.766,1.435,115.276,7.997,0.232
11,OFRA_PP_OGT1.jpg,0.125,96.321,0.000,152.000,0.000,0.000
12,OFRA_PP_OGT1.jpg,0.061,81.821,0.000,143.000,0.000,0.000
13,OFRA_PP_OGT1.jpg,4.550E-4,90.338,0.494,134.004,-87.496,0.478
14,OFRA_PP_OGT1.jpg,3.349E-4,46.440,0.000,118.955,-88.607,0.352
15,OFRA_PP_OGT1.jpg,3.376E-4,69.307,0.000,135.136,-5.848,0.354
16,OFRA_PP_OGT1.jpg,2.365E-4,56.013,0.262,105.471,13.077,0.248
17,OFRA_PP_OGT1.jpg,0.118,82.356,0.000,154.000,0.000,0.000
18,OFRA_PP_OGT1.jpg,0.070,70.512,0.000,154.000,0.000,0.000
19,OFRA_PP_OGT1.jpg,4.947E-4,74.088,0.185,121.165,-93.354,0.520
20,OFRA_PP_OGT1.jpg,3.376E-4,45.494,0.000,115.991,-105.080,0.354
21,OFRA_PP_OGT1.jpg,3.656E-4,92.541,30.893,128.700,8.531,0.384
22,OFRA_PP_OGT1.jpg,1.968E-4,55.393,20.386,113.253,15.255,0.206
23,OFRA_PP_OGT1.jpg,0.116,83.087,0.000,149.000,0.000,0.000
24,OFRA_PP_OGT1.jpg,0.065,70.081,0.000,149.000,0.000,0.000
25,OFRA_PP_OGT1.jpg,4.676E-4,107.252,46.462,169.232,-93.106,0.491
26,OFRA_PP_OGT1.jpg,3.033E-4,73.358,0.297,132.641,-97.719,0.318
27,OFRA_PP_OGT1.jpg,3.674E-4,92.369,0.000,139.333,0.000,0.386
28,OFRA_PP_OGT1.jpg,2.112E-4,66.057,1.182,139.182,9.866,0.222
29,OFRA_PP_OGT1.jpg,0.141,106.011,0.000,163.000,0.000,0.000
30,OFRA_PP_OGT1.jpg,0.064,88.436,0.000,163.000,0.000,0.000
