 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFRA_PS_1GT42.jpg,3.911E-4,131.507,1.152,197.956,-81.416,0.434
2,OFRA_PS_1GT42.jpg,1.927E-4,115.386,48.118,167.810,-80.538,0.213
3,OFRA_PS_1GT42.jpg,4.089E-4,126.502,0.000,194.317,-0.682,0.454
4,OFRA_PS_1GT42.jpg,2.194E-4,99.429,0.333,169.000,0.000,0.243
5,OFRA_PS_1GT42.jpg,0.136,130.579,0.000,209.000,0.000,0.000
6,OFRA_PS_1GT42.jpg,0.052,123.034,0.000,209.000,0.000,0.000
7,OFRA_PS_1GT42.jpg,3.862E-4,151.780,0.418,223.216,-72.022,0.429
8,OFRA_PS_1GT42.jpg,2.267E-4,151.476,0.993,213.888,-73.124,0.251
9,OFRA_PS_1GT42.jpg,3.708E-4,167.723,0.116,221.063,7.172,0.411
10,OFRA_PS_1GT42.jpg,2.024E-4,129.425,1.299,195.256,12.529,0.224
11,OFRA_PS_1GT42.jpg,0.144,149.975,0.000,238.000,0.000,0.000
12,OFRA_PS_1GT42.jpg,0.056,152.517,0.000,238.000,0.000,0.000
13,OFRA_PS_1GT42.jpg,3.563E-4,175.067,0.782,232.331,-85.301,0.395
14,OFRA_PS_1GT42.jpg,1.943E-4,154.547,79.025,226.645,-82.786,0.215
15,OFRA_PS_1GT42.jpg,3.158E-4,152.512,0.585,212.769,9.317,0.350
16,OFRA_PS_1GT42.jpg,1.692E-4,137.022,0.083,215.628,11.634,0.187
17,OFRA_PS_1GT42.jpg,0.114,171.367,0.000,242.000,0.000,0.000
18,OFRA_PS_1GT42.jpg,0.047,156.977,0.000,242.000,0.000,0.000
