 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFRA_PS_2CX13.jpg,3.405E-4,202.727,122.882,242.500,-82.108,0.372
2,OFRA_PS_2CX13.jpg,2.206E-4,197.146,149.000,224.000,-90.000,0.241
3,OFRA_PS_2CX13.jpg,4.354E-4,212.697,0.125,238.617,8.813,0.476
4,OFRA_PS_2CX13.jpg,2.264E-4,174.179,0.273,230.925,18.970,0.247
5,OFRA_PS_2CX13.jpg,0.124,212.916,0.000,244.000,0.000,0.000
6,OFRA_PS_2CX13.jpg,0.055,200.044,0.000,244.000,0.000,0.000
7,OFRA_PS_2CX13.jpg,4.104E-4,179.246,2.317,219.878,-87.905,0.449
8,OFRA_PS_2CX13.jpg,2.714E-4,142.129,0.140,205.974,-85.236,0.297
9,OFRA_PS_2CX13.jpg,3.297E-4,191.381,0.172,236.695,11.395,0.360
10,OFRA_PS_2CX13.jpg,2.139E-4,160.775,0.246,209.594,16.314,0.234
11,OFRA_PS_2CX13.jpg,0.133,192.446,0.000,238.000,0.000,0.000
12,OFRA_PS_2CX13.jpg,0.056,179.383,0.000,238.000,0.000,0.000
13,OFRA_PS_2CX13.jpg,4.812E-4,216.113,0.320,239.175,-92.981,0.526
14,OFRA_PS_2CX13.jpg,2.106E-4,199.446,142.052,232.960,-93.406,0.230
15,OFRA_PS_2CX13.jpg,3.680E-4,195.963,0.444,235.000,2.726,0.403
16,OFRA_PS_2CX13.jpg,2.090E-4,189.956,1.389,225.957,10.366,0.228
17,OFRA_PS_2CX13.jpg,0.114,215.176,0.000,241.000,0.000,0.000
18,OFRA_PS_2CX13.jpg,0.049,200.399,0.000,241.000,0.000,0.000
19,OFRA_PS_2CX13.jpg,3.613E-4,188.913,0.333,233.333,-94.764,0.396
20,OFRA_PS_2CX13.jpg,2.481E-4,169.849,81.832,221.162,-92.314,0.271
21,OFRA_PS_2CX13.jpg,3.730E-4,196.841,0.264,239.333,1.922,0.408
22,OFRA_PS_2CX13.jpg,2.514E-4,179.775,0.333,228.885,5.711,0.275
23,OFRA_PS_2CX13.jpg,0.131,198.305,0.000,240.000,0.000,0.000
24,OFRA_PS_2CX13.jpg,0.070,180.742,0.000,237.000,0.000,0.000
25,OFRA_PS_2CX13.jpg,4.187E-4,166.318,0.000,211.040,-88.403,0.458
26,OFRA_PS_2CX13.jpg,2.489E-4,165.451,97.803,213.472,-91.538,0.272
27,OFRA_PS_2CX13.jpg,3.238E-4,183.648,0.817,236.980,8.297,0.354
28,OFRA_PS_2CX13.jpg,2.073E-4,174.032,103.906,224.516,12.579,0.226
29,OFRA_PS_2CX13.jpg,0.116,183.860,0.000,239.000,0.000,0.000
30,OFRA_PS_2CX13.jpg,0.062,174.672,0.000,239.000,0.000,0.000
