 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFRA_PS_2HS11.jpg,5.100E-4,164.012,99.667,192.000,-88.493,0.557
2,OFRA_PS_2HS11.jpg,1.583E-4,116.341,64.348,163.383,-91.219,0.172
3,OFRA_PS_2HS11.jpg,4.940E-4,140.317,1.343,181.445,9.782,0.539
4,OFRA_PS_2HS11.jpg,2.922E-4,126.175,0.146,163.195,11.957,0.318
5,OFRA_PS_2HS11.jpg,0.176,160.613,0.000,214.000,0.000,0.000
6,OFRA_PS_2HS11.jpg,0.071,142.108,0.000,188.000,0.000,0.000
7,OFRA_PS_2HS11.jpg,2.805E-4,180.660,0.144,215.970,-83.130,0.306
8,OFRA_PS_2HS11.jpg,1.532E-4,181.085,159.007,213.509,-82.405,0.166
9,OFRA_PS_2HS11.jpg,4.497E-4,185.703,1.075,218.555,7.284,0.491
10,OFRA_PS_2HS11.jpg,1.993E-4,170.087,0.665,218.458,15.680,0.217
11,OFRA_PS_2HS11.jpg,0.134,192.876,0.000,225.000,0.000,0.000
12,OFRA_PS_2HS11.jpg,0.038,178.471,0.000,225.000,0.000,0.000
13,OFRA_PS_2HS11.jpg,4.873E-4,159.870,1.069,205.145,-79.695,0.532
14,OFRA_PS_2HS11.jpg,2.370E-4,130.557,0.158,195.961,-82.674,0.258
15,OFRA_PS_2HS11.jpg,5.753E-4,165.901,0.067,201.175,4.347,0.628
16,OFRA_PS_2HS11.jpg,2.537E-4,143.764,1.134,194.636,6.089,0.276
17,OFRA_PS_2HS11.jpg,0.208,166.668,0.000,220.000,0.000,0.000
18,OFRA_PS_2HS11.jpg,0.057,151.640,0.000,217.000,0.000,0.000
19,OFRA_PS_2HS11.jpg,3.416E-4,177.307,0.335,223.926,-83.224,0.372
20,OFRA_PS_2HS11.jpg,1.658E-4,170.112,0.721,228.556,-85.333,0.180
21,OFRA_PS_2HS11.jpg,4.756E-4,187.886,0.387,225.481,5.670,0.519
22,OFRA_PS_2HS11.jpg,1.985E-4,185.803,0.452,224.923,10.739,0.216
23,OFRA_PS_2HS11.jpg,0.140,193.150,0.000,235.000,0.000,0.000
24,OFRA_PS_2HS11.jpg,0.036,186.333,0.000,232.000,0.000,0.000
25,OFRA_PS_2HS11.jpg,4.070E-4,155.122,0.188,217.333,-85.384,0.443
26,OFRA_PS_2HS11.jpg,1.909E-4,91.449,0.000,156.333,-83.157,0.207
27,OFRA_PS_2HS11.jpg,4.480E-4,149.447,0.870,213.175,10.362,0.488
28,OFRA_PS_2HS11.jpg,1.943E-4,127.995,0.423,188.967,15.843,0.211
29,OFRA_PS_2HS11.jpg,0.150,160.351,0.000,224.000,0.000,0.000
30,OFRA_PS_2HS11.jpg,0.054,147.155,0.000,224.000,0.000,0.000
