 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFRA_PS_4HS13.jpg,3.299E-4,112.077,0.091,170.784,-86.496,0.359
2,OFRA_PS_4HS13.jpg,1.524E-4,106.570,22.119,151.333,-84.920,0.165
3,OFRA_PS_4HS13.jpg,3.617E-4,131.341,0.333,168.985,17.259,0.395
4,OFRA_PS_4HS13.jpg,1.918E-4,119.126,0.484,157.667,21.615,0.209
5,OFRA_PS_4HS13.jpg,0.102,141.428,0.000,176.000,0.000,0.000
6,OFRA_PS_4HS13.jpg,0.033,123.572,0.000,170.000,0.000,0.000
7,OFRA_PS_4HS13.jpg,3.425E-4,156.675,0.000,198.843,-87.194,0.374
8,OFRA_PS_4HS13.jpg,1.415E-4,132.766,68.921,167.714,-88.636,0.154
9,OFRA_PS_4HS13.jpg,3.592E-4,151.349,2.000,199.000,0.000,0.392
10,OFRA_PS_4HS13.jpg,1.884E-4,142.053,71.000,194.887,1.023,0.205
11,OFRA_PS_4HS13.jpg,0.116,168.457,0.000,208.000,0.000,0.000
12,OFRA_PS_4HS13.jpg,0.036,146.715,0.000,208.000,0.000,0.000
13,OFRA_PS_4HS13.jpg,2.671E-4,155.720,1.046,204.522,-75.440,0.291
14,OFRA_PS_4HS13.jpg,1.717E-4,117.768,0.602,197.667,-78.690,0.187
15,OFRA_PS_4HS13.jpg,2.487E-4,167.141,3.311,219.965,13.285,0.271
16,OFRA_PS_4HS13.jpg,1.373E-4,127.901,0.380,216.667,21.541,0.150
17,OFRA_PS_4HS13.jpg,0.074,180.199,0.000,223.000,0.000,0.000
18,OFRA_PS_4HS13.jpg,0.028,155.522,0.000,222.000,0.000,0.000
19,OFRA_PS_4HS13.jpg,3.190E-4,179.633,2.573,219.360,-81.529,0.348
20,OFRA_PS_4HS13.jpg,1.934E-4,178.117,117.007,214.669,-82.011,0.211
21,OFRA_PS_4HS13.jpg,3.232E-4,151.064,1.015,222.000,3.576,0.352
22,OFRA_PS_4HS13.jpg,2.068E-4,148.629,0.823,223.163,13.134,0.226
23,OFRA_PS_4HS13.jpg,0.079,191.580,0.000,227.000,0.000,0.000
24,OFRA_PS_4HS13.jpg,0.034,168.684,0.000,227.000,0.000,0.000
25,OFRA_PS_4HS13.jpg,3.299E-4,163.951,0.339,215.642,-92.921,0.359
26,OFRA_PS_4HS13.jpg,1.742E-4,136.706,1.119,195.006,-100.008,0.190
27,OFRA_PS_4HS13.jpg,3.475E-4,172.940,0.333,208.154,6.096,0.379
28,OFRA_PS_4HS13.jpg,1.650E-4,142.678,81.857,215.667,2.337,0.180
29,OFRA_PS_4HS13.jpg,0.098,179.740,0.000,221.000,0.000,0.000
30,OFRA_PS_4HS13.jpg,0.026,149.004,0.000,221.000,0.000,0.000
