 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFRA_PS_6EV18.jpg,3.234E-4,183.601,25.040,225.000,-77.234,0.356
2,OFRA_PS_6EV18.jpg,1.654E-4,133.993,0.333,204.000,-99.462,0.182
3,OFRA_PS_6EV18.jpg,3.741E-4,181.093,0.000,216.070,-1.131,0.413
4,OFRA_PS_6EV18.jpg,2.055E-4,137.447,0.333,206.667,6.189,0.227
5,OFRA_PS_6EV18.jpg,0.077,189.611,0.000,232.000,0.000,0.000
6,OFRA_PS_6EV18.jpg,0.038,171.592,0.000,227.000,0.000,0.000
7,OFRA_PS_6EV18.jpg,3.610E-4,128.216,0.459,178.445,-91.822,0.398
8,OFRA_PS_6EV18.jpg,2.325E-4,93.132,0.666,131.324,-94.865,0.256
9,OFRA_PS_6EV18.jpg,3.545E-4,138.376,0.923,184.537,0.265,0.391
10,OFRA_PS_6EV18.jpg,2.169E-4,111.709,0.427,161.071,11.821,0.238
11,OFRA_PS_6EV18.jpg,0.115,148.058,0.000,206.000,0.000,0.000
12,OFRA_PS_6EV18.jpg,0.057,132.668,0.000,204.000,0.000,0.000
13,OFRA_PS_6EV18.jpg,4.511E-4,183.535,2.995,221.137,-88.334,0.498
14,OFRA_PS_6EV18.jpg,2.849E-4,132.609,0.333,195.051,-95.284,0.314
15,OFRA_PS_6EV18.jpg,3.856E-4,179.683,0.322,225.974,-0.244,0.425
16,OFRA_PS_6EV18.jpg,2.235E-4,177.801,138.942,215.612,9.324,0.246
17,OFRA_PS_6EV18.jpg,0.158,193.112,0.000,241.000,0.000,0.000
18,OFRA_PS_6EV18.jpg,0.064,170.579,0.000,234.000,0.000,0.000
19,OFRA_PS_6EV18.jpg,4.331E-4,173.315,0.333,221.351,-90.217,0.478
20,OFRA_PS_6EV18.jpg,2.824E-4,118.941,0.116,190.380,-91.332,0.311
21,OFRA_PS_6EV18.jpg,3.447E-4,182.430,107.648,217.752,0.273,0.380
22,OFRA_PS_6EV18.jpg,2.137E-4,166.446,0.038,212.667,6.194,0.235
23,OFRA_PS_6EV18.jpg,0.129,187.584,0.000,229.000,0.000,0.000
24,OFRA_PS_6EV18.jpg,0.068,173.474,0.000,229.000,0.000,0.000
25,OFRA_PS_6EV18.jpg,3.979E-4,143.361,0.523,188.575,-103.464,0.439
26,OFRA_PS_6EV18.jpg,2.587E-4,107.148,0.032,173.607,-97.667,0.285
27,OFRA_PS_6EV18.jpg,2.964E-4,164.002,1.144,204.561,-6.042,0.327
28,OFRA_PS_6EV18.jpg,1.981E-4,150.063,83.746,207.583,-4.764,0.218
29,OFRA_PS_6EV18.jpg,0.125,164.615,0.000,216.000,0.000,0.000
30,OFRA_PS_6EV18.jpg,0.060,147.526,0.000,213.000,0.000,0.000
