 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFRA_PS_OCX4.jpg,3.623E-4,152.778,0.272,221.000,-91.061,0.395
2,OFRA_PS_OCX4.jpg,2.451E-4,186.749,152.000,211.626,-89.215,0.267
3,OFRA_PS_OCX4.jpg,5.095E-4,203.164,0.333,233.333,0.000,0.556
4,OFRA_PS_OCX4.jpg,2.719E-4,182.872,0.000,220.000,0.000,0.296
5,OFRA_PS_OCX4.jpg,0.179,208.137,0.000,237.000,0.000,0.000
6,OFRA_PS_OCX4.jpg,0.076,193.060,0.000,236.000,0.000,0.000
7,OFRA_PS_OCX4.jpg,4.426E-4,146.441,0.000,187.000,-88.698,0.483
8,OFRA_PS_OCX4.jpg,2.627E-4,143.594,95.948,185.673,-94.399,0.286
9,OFRA_PS_OCX4.jpg,5.564E-4,166.796,0.000,195.000,-2.070,0.608
10,OFRA_PS_OCX4.jpg,2.217E-4,137.901,2.697,179.697,0.868,0.242
11,OFRA_PS_OCX4.jpg,0.236,164.240,0.000,210.000,0.000,0.000
12,OFRA_PS_OCX4.jpg,0.064,148.374,0.000,195.000,0.000,0.000
13,OFRA_PS_OCX4.jpg,4.158E-4,170.545,0.333,216.667,-88.614,0.454
14,OFRA_PS_OCX4.jpg,2.594E-4,173.108,119.330,205.333,-93.715,0.282
15,OFRA_PS_OCX4.jpg,4.861E-4,179.167,0.333,223.667,2.370,0.531
16,OFRA_PS_OCX4.jpg,2.627E-4,166.848,0.441,217.333,5.128,0.287
17,OFRA_PS_OCX4.jpg,0.170,190.498,0.000,225.000,0.000,0.000
18,OFRA_PS_OCX4.jpg,0.078,175.916,0.000,225.000,0.000,0.000
19,OFRA_PS_OCX4.jpg,4.827E-4,198.519,159.331,230.157,-83.220,0.527
20,OFRA_PS_OCX4.jpg,2.694E-4,172.457,0.364,218.754,-95.001,0.294
21,OFRA_PS_OCX4.jpg,4.760E-4,187.070,0.333,231.822,0.403,0.520
22,OFRA_PS_OCX4.jpg,2.476E-4,169.018,0.019,211.171,12.529,0.270
23,OFRA_PS_OCX4.jpg,0.218,196.259,0.000,239.000,0.000,0.000
24,OFRA_PS_OCX4.jpg,0.073,189.277,0.000,235.000,0.000,0.000
25,OFRA_PS_OCX4.jpg,4.267E-4,189.690,0.435,223.420,-85.946,0.466
26,OFRA_PS_OCX4.jpg,2.719E-4,178.048,113.333,216.580,-92.121,0.297
27,OFRA_PS_OCX4.jpg,4.635E-4,191.957,0.410,223.595,2.904,0.506
28,OFRA_PS_OCX4.jpg,2.476E-4,156.317,0.350,220.595,7.800,0.270
29,OFRA_PS_OCX4.jpg,0.163,199.633,0.000,233.000,0.000,0.000
30,OFRA_PS_OCX4.jpg,0.065,181.478,0.000,232.000,0.000,0.000
