 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFRA_PS_OGT3.jpg,3.527E-4,164.958,114.467,188.157,-79.007,0.387
2,OFRA_PS_OGT3.jpg,2.119E-4,123.174,0.490,177.115,-70.074,0.232
3,OFRA_PS_OGT3.jpg,4.396E-4,161.321,0.480,188.504,14.430,0.482
4,OFRA_PS_OGT3.jpg,1.896E-4,139.346,0.649,172.649,9.090,0.207
5,OFRA_PS_OGT3.jpg,0.134,162.449,0.000,198.000,0.000,0.000
6,OFRA_PS_OGT3.jpg,0.046,152.226,0.000,194.000,0.000,0.000
7,OFRA_PS_OGT3.jpg,2.368E-4,123.106,0.000,160.000,-90.000,0.259
8,OFRA_PS_OGT3.jpg,1.325E-4,103.393,0.000,145.346,-88.919,0.145
9,OFRA_PS_OGT3.jpg,1.979E-4,122.854,2.202,160.667,5.782,0.217
10,OFRA_PS_OGT3.jpg,1.085E-4,113.787,1.649,140.276,6.633,0.118
11,OFRA_PS_OGT3.jpg,0.049,128.222,0.000,169.000,0.000,0.000
12,OFRA_PS_OGT3.jpg,0.018,114.098,0.000,164.000,0.000,0.000
13,OFRA_PS_OGT3.jpg,3.196E-4,129.743,1.686,170.691,-85.533,0.350
14,OFRA_PS_OGT3.jpg,1.747E-4,124.348,47.663,163.216,-76.759,0.191
15,OFRA_PS_OGT3.jpg,3.477E-4,151.839,0.785,185.085,4.934,0.381
16,OFRA_PS_OGT3.jpg,1.623E-4,122.864,0.062,165.518,1.762,0.178
17,OFRA_PS_OGT3.jpg,0.105,143.929,0.000,191.000,0.000,0.000
18,OFRA_PS_OGT3.jpg,0.043,136.401,0.000,191.000,0.000,0.000
19,OFRA_PS_OGT3.jpg,2.980E-4,136.184,0.156,176.930,-84.242,0.326
20,OFRA_PS_OGT3.jpg,1.349E-4,109.328,0.000,170.333,-94.236,0.148
21,OFRA_PS_OGT3.jpg,3.212E-4,150.800,0.000,188.760,-2.220,0.352
22,OFRA_PS_OGT3.jpg,1.474E-4,122.871,0.000,174.542,2.911,0.161
23,OFRA_PS_OGT3.jpg,0.079,148.174,0.000,195.000,0.000,0.000
24,OFRA_PS_OGT3.jpg,0.034,140.937,0.000,195.000,0.000,0.000
25,OFRA_PS_OGT3.jpg,3.999E-4,156.496,5.243,193.278,-107.382,0.439
26,OFRA_PS_OGT3.jpg,1.838E-4,111.903,0.692,181.905,-94.677,0.201
27,OFRA_PS_OGT3.jpg,3.792E-4,145.612,0.233,188.659,12.393,0.415
28,OFRA_PS_OGT3.jpg,1.979E-4,132.474,0.424,185.851,18.130,0.216
29,OFRA_PS_OGT3.jpg,0.125,151.537,0.000,200.000,0.000,0.000
30,OFRA_PS_OGT3.jpg,0.055,143.506,0.000,200.000,0.000,0.000
