 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFRA_PS_OGT5_P1.jpg,4.259E-4,180.073,0.398,229.229,-83.454,0.457
2,OFRA_PS_OGT5_P1.jpg,2.528E-4,172.945,122.836,217.473,-82.093,0.271
3,OFRA_PS_OGT5_P1.jpg,3.965E-4,195.920,115.361,233.000,4.514,0.426
4,OFRA_PS_OGT5_P1.jpg,2.121E-4,176.910,0.000,228.356,14.265,0.227
5,OFRA_PS_OGT5_P1.jpg,0.160,200.458,0.000,241.000,0.000,0.000
6,OFRA_PS_OGT5_P1.jpg,0.064,187.066,0.000,241.000,0.000,0.000
7,OFRA_PS_OGT5_P1.jpg,3.099E-4,173.977,0.429,223.333,-71.870,0.332
8,OFRA_PS_OGT5_P1.jpg,1.982E-4,134.839,0.061,214.000,-88.493,0.212
9,OFRA_PS_OGT5_P1.jpg,3.965E-4,177.443,0.603,225.576,-3.013,0.425
10,OFRA_PS_OGT5_P1.jpg,1.575E-4,143.302,1.415,213.641,4.764,0.168
11,OFRA_PS_OGT5_P1.jpg,0.102,195.130,0.000,238.000,0.000,0.000
12,OFRA_PS_OGT5_P1.jpg,0.043,172.434,0.000,227.000,0.000,0.000
13,OFRA_PS_OGT5_P1.jpg,3.913E-4,188.682,1.517,232.396,-76.149,0.420
14,OFRA_PS_OGT5_P1.jpg,2.268E-4,152.567,122.801,216.333,-77.400,0.243
15,OFRA_PS_OGT5_P1.jpg,3.514E-4,184.204,0.667,233.993,1.273,0.377
16,OFRA_PS_OGT5_P1.jpg,1.627E-4,161.385,2.320,227.132,12.031,0.174
17,OFRA_PS_OGT5_P1.jpg,0.125,192.302,0.000,236.000,0.000,0.000
18,OFRA_PS_OGT5_P1.jpg,0.050,178.132,0.000,231.000,0.000,0.000
19,OFRA_PS_OGT5_P1.jpg,4.025E-4,155.075,65.869,216.747,-78.302,0.431
20,OFRA_PS_OGT5_P1.jpg,2.329E-4,124.025,0.724,198.463,-70.346,0.249
21,OFRA_PS_OGT5_P1.jpg,4.570E-4,166.421,1.141,205.333,2.830,0.490
22,OFRA_PS_OGT5_P1.jpg,1.826E-4,97.616,0.057,184.333,0.546,0.195
23,OFRA_PS_OGT5_P1.jpg,0.130,176.202,0.000,222.000,0.000,0.000
24,OFRA_PS_OGT5_P1.jpg,0.047,154.111,0.000,215.000,0.000,0.000
25,OFRA_PS_OGT5_P1.jpg,3.151E-4,147.628,0.761,198.000,-82.249,0.338
26,OFRA_PS_OGT5_P1.jpg,1.688E-4,150.927,0.567,194.326,-79.616,0.181
27,OFRA_PS_OGT5_P1.jpg,4.034E-4,164.289,0.422,210.796,2.715,0.432
28,OFRA_PS_OGT5_P1.jpg,1.411E-4,137.286,0.333,180.340,1.768,0.151
29,OFRA_PS_OGT5_P1.jpg,0.129,181.103,0.000,232.000,0.000,0.000
30,OFRA_PS_OGT5_P1.jpg,0.036,166.332,0.000,228.000,0.000,0.000
