 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFRA_PP_2HS17_P2.jpg,4.193E-4,123.878,81.108,145.567,-99.866,0.419
2,OFRA_PP_2HS17_P2.jpg,2.590E-4,114.559,81.367,144.916,-110.323,0.259
3,OFRA_PP_2HS17_P2.jpg,4.313E-4,125.642,64.458,147.750,-1.193,0.431
4,OFRA_PP_2HS17_P2.jpg,2.400E-4,128.555,97.017,146.000,2.148,0.240
5,OFRA_PP_2HS17_P2.jpg,0.158,124.734,45.000,156.000,0.000,0.000
6,OFRA_PP_2HS17_P2.jpg,0.059,123.219,66.000,156.000,0.000,0.000
7,OFRA_PP_2HS17_P2.jpg,3.615E-4,116.966,82.234,143.731,-107.835,0.362
8,OFRA_PP_2HS17_P2.jpg,1.763E-4,127.455,95.504,146.572,-97.853,0.175
9,OFRA_PP_2HS17_P2.jpg,3.237E-4,123.265,91.556,140.630,-7.980,0.323
10,OFRA_PP_2HS17_P2.jpg,1.833E-4,129.201,88.678,144.383,-2.816,0.183
11,OFRA_PP_2HS17_P2.jpg,0.103,125.253,77.000,153.000,0.000,0.000
12,OFRA_PP_2HS17_P2.jpg,0.022,125.478,77.000,153.000,0.000,0.000
13,OFRA_PP_2HS17_P2.jpg,4.103E-4,137.169,94.333,154.618,-100.380,0.410
14,OFRA_PP_2HS17_P2.jpg,2.510E-4,138.393,81.383,158.529,-101.041,0.250
15,OFRA_PP_2HS17_P2.jpg,4.442E-4,134.188,93.441,155.498,-10.098,0.444
16,OFRA_PP_2HS17_P2.jpg,2.141E-4,134.235,91.402,155.065,-2.675,0.214
17,OFRA_PP_2HS17_P2.jpg,0.141,135.067,74.000,168.000,0.000,0.000
18,OFRA_PP_2HS17_P2.jpg,0.052,138.768,74.000,165.000,0.000,0.000
19,OFRA_PP_2HS17_P2.jpg,3.934E-4,105.157,56.230,135.467,-113.962,0.393
20,OFRA_PP_2HS17_P2.jpg,2.510E-4,91.868,68.792,117.763,-114.520,0.250
21,OFRA_PP_2HS17_P2.jpg,4.193E-4,107.034,66.571,133.667,1.364,0.419
22,OFRA_PP_2HS17_P2.jpg,2.400E-4,92.594,66.083,130.844,-0.955,0.240
23,OFRA_PP_2HS17_P2.jpg,0.152,110.228,39.000,141.000,0.000,0.000
24,OFRA_PP_2HS17_P2.jpg,0.051,98.715,39.000,141.000,0.000,0.000
25,OFRA_PP_2HS17_P2.jpg,4.711E-4,117.931,74.153,141.619,-99.143,0.471
26,OFRA_PP_2HS17_P2.jpg,2.978E-4,104.305,71.661,138.595,-102.404,0.297
27,OFRA_PP_2HS17_P2.jpg,4.213E-4,120.523,80.731,149.000,-2.713,0.422
28,OFRA_PP_2HS17_P2.jpg,2.490E-4,101.385,63.667,144.759,-2.759,0.249
29,OFRA_PP_2HS17_P2.jpg,0.166,121.387,55.000,156.000,0.000,0.000
30,OFRA_PP_2HS17_P2.jpg,0.061,114.582,55.000,156.000,0.000,0.000
