 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFRA_PP_4CX12.jpg,4.766E-4,142.325,53.379,182.590,-86.389,0.543
2,OFRA_PP_4CX12.jpg,3.267E-4,127.801,63.154,179.869,-94.461,0.372
3,OFRA_PP_4CX12.jpg,4.074E-4,147.641,56.930,188.602,3.252,0.464
4,OFRA_PP_4CX12.jpg,2.429E-4,133.829,68.324,173.333,2.182,0.276
5,OFRA_PP_4CX12.jpg,0.196,145.134,51.000,203.000,0.000,0.000
6,OFRA_PP_4CX12.jpg,0.089,141.945,51.000,203.000,0.000,0.000
7,OFRA_PP_4CX12.jpg,4.305E-4,130.063,63.712,178.618,-93.487,0.490
8,OFRA_PP_4CX12.jpg,2.783E-4,121.149,77.907,158.373,-94.764,0.317
9,OFRA_PP_4CX12.jpg,3.382E-4,140.662,61.169,182.819,3.136,0.385
10,OFRA_PP_4CX12.jpg,1.484E-4,123.333,84.167,173.750,3.576,0.169
11,OFRA_PP_4CX12.jpg,0.136,144.297,56.000,201.000,0.000,0.000
12,OFRA_PP_4CX12.jpg,0.070,137.027,56.000,201.000,0.000,0.000
13,OFRA_PP_4CX12.jpg,5.396E-4,126.291,60.820,168.730,-94.418,0.615
14,OFRA_PP_4CX12.jpg,3.290E-4,106.924,56.987,155.937,-97.674,0.374
15,OFRA_PP_4CX12.jpg,4.420E-4,128.940,49.830,184.882,3.894,0.504
16,OFRA_PP_4CX12.jpg,2.406E-4,144.577,86.974,188.628,1.102,0.274
17,OFRA_PP_4CX12.jpg,0.276,135.602,40.000,201.000,0.000,0.000
18,OFRA_PP_4CX12.jpg,0.094,121.227,40.000,201.000,0.000,0.000
19,OFRA_PP_4CX12.jpg,5.342E-4,140.265,59.018,192.012,-92.231,0.608
20,OFRA_PP_4CX12.jpg,3.475E-4,125.366,69.316,177.395,-93.434,0.395
21,OFRA_PP_4CX12.jpg,4.666E-4,131.970,54.287,187.457,1.418,0.531
22,OFRA_PP_4CX12.jpg,3.006E-4,143.003,79.615,185.649,-0.441,0.342
23,OFRA_PP_4CX12.jpg,0.249,147.591,31.000,211.000,0.000,0.000
24,OFRA_PP_4CX12.jpg,0.107,131.802,31.000,211.000,0.000,0.000
