 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFRA_PP_8HS24.jpg,5.816E-4,128.298,49.628,185.711,-103.894,0.584
2,OFRA_PP_8HS24.jpg,3.511E-4,118.401,62.322,171.705,-108.281,0.352
3,OFRA_PP_8HS24.jpg,5.450E-4,112.558,45.440,171.000,12.597,0.547
4,OFRA_PP_8HS24.jpg,3.076E-4,85.914,48.122,130.644,4.441,0.308
5,OFRA_PP_8HS24.jpg,0.174,128.963,27.000,197.000,0.000,0.000
6,OFRA_PP_8HS24.jpg,0.095,113.984,27.000,195.000,0.000,0.000
7,OFRA_PP_8HS24.jpg,5.470E-4,123.081,68.827,170.357,-103.205,0.549
8,OFRA_PP_8HS24.jpg,3.828E-4,94.060,55.613,166.000,-107.168,0.384
9,OFRA_PP_8HS24.jpg,5.371E-4,134.741,65.494,220.639,7.951,0.539
10,OFRA_PP_8HS24.jpg,3.373E-4,111.252,69.023,164.282,3.545,0.338
11,OFRA_PP_8HS24.jpg,0.216,142.255,19.000,220.000,0.000,0.000
12,OFRA_PP_8HS24.jpg,0.104,118.868,19.000,211.000,0.000,0.000
13,OFRA_PP_8HS24.jpg,5.341E-4,127.999,52.505,192.140,-95.425,0.536
14,OFRA_PP_8HS24.jpg,3.402E-4,109.994,56.615,193.079,-94.014,0.341
15,OFRA_PP_8HS24.jpg,5.084E-4,135.012,74.009,166.793,8.746,0.510
16,OFRA_PP_8HS24.jpg,2.789E-4,116.459,72.307,146.000,6.746,0.279
17,OFRA_PP_8HS24.jpg,0.203,133.236,39.000,199.000,0.000,0.000
18,OFRA_PP_8HS24.jpg,0.070,114.878,41.000,199.000,0.000,0.000
19,OFRA_PP_8HS24.jpg,5.677E-4,119.131,57.416,178.540,-100.251,0.570
20,OFRA_PP_8HS24.jpg,3.590E-4,128.358,54.269,187.129,-105.880,0.360
21,OFRA_PP_8HS24.jpg,4.975E-4,119.399,56.695,173.414,7.210,0.499
22,OFRA_PP_8HS24.jpg,2.591E-4,105.436,54.874,177.368,0.659,0.260
23,OFRA_PP_8HS24.jpg,0.233,136.849,31.000,200.000,0.000,0.000
24,OFRA_PP_8HS24.jpg,0.105,122.236,31.000,200.000,0.000,0.000
25,OFRA_PP_8HS24.jpg,6.043E-4,103.081,36.872,158.303,-96.216,0.606
26,OFRA_PP_8HS24.jpg,3.205E-4,69.323,35.876,115.209,-93.200,0.321
27,OFRA_PP_8HS24.jpg,5.539E-4,97.242,30.319,144.585,3.077,0.556
28,OFRA_PP_8HS24.jpg,3.571E-4,79.511,40.363,133.759,-0.318,0.358
29,OFRA_PP_8HS24.jpg,0.263,116.459,17.000,183.000,0.000,0.000
30,OFRA_PP_8HS24.jpg,0.109,91.706,17.000,159.000,0.000,0.000
