 ,Label,Area,Mean,Min,Max,Angle,Length
1,OFRA_PP_9CX5_P2.jpg,5.096E-4,134.549,50.047,207.273,-97.001,0.592
2,OFRA_PP_9CX5_P2.jpg,2.548E-4,93.404,50.434,146.221,-102.583,0.296
3,OFRA_PP_9CX5_P2.jpg,3.449E-4,127.772,56.091,197.527,9.644,0.400
4,OFRA_PP_9CX5_P2.jpg,2.253E-4,101.534,39.669,173.509,5.654,0.262
5,OFRA_PP_9CX5_P2.jpg,0.191,154.019,31.000,228.000,0.000,0.000
6,OFRA_PP_9CX5_P2.jpg,0.065,114.283,31.000,203.000,0.000,0.000
7,OFRA_PP_9CX5_P2.jpg,4.121E-4,117.975,39.281,190.020,-97.737,0.479
8,OFRA_PP_9CX5_P2.jpg,2.230E-4,106.119,52.992,151.778,-94.574,0.259
9,OFRA_PP_9CX5_P2.jpg,3.818E-4,121.015,33.081,175.469,1.665,0.444
10,OFRA_PP_9CX5_P2.jpg,2.046E-4,99.737,51.063,163.470,-8.130,0.237
11,OFRA_PP_9CX5_P2.jpg,0.169,140.612,24.000,200.000,0.000,0.000
12,OFRA_PP_9CX5_P2.jpg,0.058,112.572,24.000,184.000,0.000,0.000
13,OFRA_PP_9CX5_P2.jpg,4.380E-4,137.480,86.987,185.189,-94.844,0.509
14,OFRA_PP_9CX5_P2.jpg,2.504E-4,129.441,85.284,191.000,-96.116,0.290
15,OFRA_PP_9CX5_P2.jpg,3.604E-4,143.199,78.000,177.750,3.767,0.419
16,OFRA_PP_9CX5_P2.jpg,1.987E-4,122.952,82.214,172.801,0.855,0.230
17,OFRA_PP_9CX5_P2.jpg,0.162,156.052,71.000,200.000,0.000,0.000
18,OFRA_PP_9CX5_P2.jpg,0.075,143.190,71.000,198.000,0.000,0.000
19,OFRA_PP_9CX5_P2.jpg,4.114E-4,147.594,67.747,209.791,-99.530,0.478
20,OFRA_PP_9CX5_P2.jpg,2.341E-4,103.121,58.935,169.667,-101.310,0.272
21,OFRA_PP_9CX5_P2.jpg,3.553E-4,130.613,73.018,175.276,4.545,0.412
22,OFRA_PP_9CX5_P2.jpg,2.009E-4,109.459,70.662,177.319,3.814,0.233
23,OFRA_PP_9CX5_P2.jpg,0.176,151.412,56.000,214.000,0.000,0.000
24,OFRA_PP_9CX5_P2.jpg,0.061,128.902,56.000,205.000,0.000,0.000
25,OFRA_PP_9CX5_P2.jpg,4.188E-4,115.063,53.427,181.275,-99.362,0.486
26,OFRA_PP_9CX5_P2.jpg,2.452E-4,85.521,56.479,164.003,-99.747,0.284
27,OFRA_PP_9CX5_P2.jpg,3.124E-4,110.325,45.318,172.599,4.899,0.362
28,OFRA_PP_9CX5_P2.jpg,2.090E-4,79.247,39.232,166.156,1.625,0.242
29,OFRA_PP_9CX5_P2.jpg,0.147,132.910,28.000,187.000,0.000,0.000
30,OFRA_PP_9CX5_P2.jpg,0.056,105.219,28.000,184.000,0.000,0.000
