"","Row.names","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1","OFAV_SS_2EV44",0.0002713,154.152,2.888,201.718,-89.449,0.291,"C1","H"
"2","10","OFAV_SS_2EV44",0.0001066,99.821,0.492,180.667,11.31,0.114,"C2","CW"
"3","11","OFAV_SS_2EV44",0.098,150.49,0,215,0,0,"C2","A"
"4","12","OFAV_SS_2EV44",0.026,133.961,0,215,0,0,"C2","CA"
"5","13","OFAV_SS_2EV44",0.0002315,136.206,0.091,196.234,-101.056,0.248,"C3","H"
"6","14","OFAV_SS_2EV44",0.0001292,112.93,0.3,193.292,-96.981,0.138,"C3","CH"
"7","15","OFAV_SS_2EV44",0.0002514,141.691,0.841,195.311,4.764,0.269,"C3","W"
"8","16","OFAV_SS_2EV44",0.0001075,130.108,0.756,182.667,1.397,0.115,"C3","CW"
"9","17","OFAV_SS_2EV44",0.054,156.623,0,210,0,0,"C3","A"
"10","18","OFAV_SS_2EV44",0.013,124.313,0,206,0,0,"C3","CA"
"11","19","OFAV_SS_2EV44",0.0002063,148.328,0.208,209.512,-95.807,0.221,"C4","H"
"12","2","OFAV_SS_2EV44",0.0001829,131.587,0.741,177.265,-103.241,0.195,"C1","CH"
"13","20","OFAV_SS_2EV44",0.0001413,136.293,0,181.667,-94.236,0.151,"C4","CH"
"14","21","OFAV_SS_2EV44",0.0002193,165.743,0.19,211.381,0.909,0.235,"C4","W"
"15","22","OFAV_SS_2EV44",0.000124,96.157,0,206,-4.028,0.133,"C4","CW"
"16","23","OFAV_SS_2EV44",0.044,175.388,0,219,0,0,"C4","A"
"17","24","OFAV_SS_2EV44",0.017,156.134,0,219,0,0,"C4","CA"
"18","25","OFAV_SS_2EV44",0.0001769,134.935,0.22,187.007,-109.597,0.189,"C5","H"
"19","26","OFAV_SS_2EV44",0.0001309,106.411,0.418,170.004,-102.281,0.14,"C5","CH"
"20","27","OFAV_SS_2EV44",0.0002228,157.991,0.966,193.011,-6.958,0.238,"C5","W"
"21","28","OFAV_SS_2EV44",8.496e-05,89.889,0.318,165.333,-8.297,0.09,"C5","CW"
"22","29","OFAV_SS_2EV44",0.037,162.133,0,203,0,0,"C5","A"
"23","3","OFAV_SS_2EV44",0.0002479,149.9,0,201.137,1.809,0.265,"C1","W"
"24","30","OFAV_SS_2EV44",0.013,141.923,0,194,0,0,"C5","CA"
"25","4","OFAV_SS_2EV44",0.0001075,105.88,0,179.333,-2.793,0.115,"C1","CW"
"26","5","OFAV_SS_2EV44",0.064,162.757,0,211,0,0,"C1","A"
"27","6","OFAV_SS_2EV44",0.014,134.96,0,210,0,0,"C1","CA"
"28","7","OFAV_SS_2EV44",0.0003632,132.752,0.083,197.445,-94.115,0.389,"C2","H"
"29","8","OFAV_SS_2EV44",0.0002167,121.571,57.675,191.422,-87.241,0.232,"C2","CH"
"30","9","OFAV_SS_2EV44",0.0002523,148.332,1.005,202.333,13.173,0.27,"C2","W"
