"","Row.names","X","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1",1,"OFAV_PP_2HS6",0.0003549,165.481,1.396,199.929,-84.579,0.382,"C1","H"
"2","10",10,"OFAV_PP_2HS6",0.0002418,165.735,0.809,195.9,16.113,0.26,"C2","CW"
"3","11",11,"OFAV_PP_2HS6",0.152,178.42,0,222,0,0,"C2","A"
"4","12",12,"OFAV_PP_2HS6",0.055,165.021,0,204,0,0,"C2","CA"
"5","13",13,"OFAV_PP_2HS6",0.0004081,170.374,0.028,202.296,-93.26,0.44,"C3","H"
"6","14",14,"OFAV_PP_2HS6",0.0002358,166.941,0.059,202.659,-100.081,0.254,"C3","CH"
"7","15",15,"OFAV_PP_2HS6",0.0003789,179.095,148.555,199,17.819,0.408,"C3","W"
"8","16",16,"OFAV_PP_2HS6",0.0001955,157.333,0.644,194.766,15.322,0.21,"C3","CW"
"9","17",17,"OFAV_PP_2HS6",0.112,183.995,0,213,0,0,"C3","A"
"10","18",18,"OFAV_PP_2HS6",0.046,175.953,0,213,0,0,"C3","CA"
"11","19",19,"OFAV_PP_2HS6",0.0004089,172.261,1.491,213.667,-95.782,0.441,"C4","H"
"12","2",2,"OFAV_PP_2HS6",0.0002203,138.033,0.696,196.488,-73.686,0.237,"C1","CH"
"13","20",20,"OFAV_PP_2HS6",0.0002118,158.075,0.285,191,-88.603,0.228,"C4","CH"
"14","21",21,"OFAV_PP_2HS6",0.0003686,179.508,0.238,218.059,38.472,0.397,"C4","W"
"15","22",22,"OFAV_PP_2HS6",0.0002186,156.782,0.075,187.845,11.575,0.235,"C4","CW"
"16","23",23,"OFAV_PP_2HS6",0.123,177.599,0,223,0,0,"C4","A"
"17","24",24,"OFAV_PP_2HS6",0.05,166.387,0,210,0,0,"C4","CA"
"18","25",25,"OFAV_PP_2HS6",0.0004158,160.087,109,197.129,-82.875,0.448,"C5","H"
"19","26",26,"OFAV_PP_2HS6",0.0002581,152.641,109.733,194.25,-87.138,0.278,"C5","CH"
"20","27",27,"OFAV_PP_2HS6",0.0004595,159.545,0.561,195.052,-3.215,0.495,"C5","W"
"21","28",28,"OFAV_PP_2HS6",0.0002323,150.665,109.767,185.556,1.909,0.25,"C5","CW"
"22","29",29,"OFAV_PP_2HS6",0.148,168.173,0,212,0,0,"C5","A"
"23","3",3,"OFAV_PP_2HS6",0.0004089,183.088,139.084,220.053,31.088,0.441,"C1","W"
"24","30",30,"OFAV_PP_2HS6",0.063,152.19,0,200,0,0,"C5","CA"
"25","4",4,"OFAV_PP_2HS6",0.0002143,157.912,0.582,189.325,31.201,0.231,"C1","CW"
"26","5",5,"OFAV_PP_2HS6",0.102,181.342,0,222,0,0,"C1","A"
"27","6",6,"OFAV_PP_2HS6",0.052,172.275,0,206,0,0,"C1","CA"
"28","7",7,"OFAV_PP_2HS6",0.0004098,177.972,0,214,-91.441,0.442,"C2","H"
"29","8",8,"OFAV_PP_2HS6",0.0002409,143.331,0.357,188.102,-93.691,0.259,"C2","CH"
"30","9",9,"OFAV_PP_2HS6",0.0004192,165.351,0.547,202.012,26.25,0.452,"C2","W"
