"","Row.names","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1","OFAV_PP_366",0.0003626,173.092,95.21,205,-91.377,0.388,"C1","H"
"2","10","OFAV_PP_366",0.0001791,155.219,1.801,186.38,4.485,0.191,"C2","CW"
"3","11","OFAV_PP_366",0.092,184.381,0,229,0,0,"C2","A"
"4","12","OFAV_PP_366",0.038,167.707,0,223,0,0,"C2","CA"
"5","13","OFAV_PP_366",0.0003609,156.939,95.386,196,-89.17,0.386,"C3","H"
"6","14","OFAV_PP_366",0.0002426,137.781,0.333,195.077,-89.588,0.259,"C3","CH"
"7","15","OFAV_PP_366",0.0003548,168.356,0.399,210.873,9.046,0.38,"C3","W"
"8","16","OFAV_PP_366",0.0002452,147.664,1.116,210.725,4.086,0.262,"C3","CW"
"9","17","OFAV_PP_366",0.146,184.729,0,220,0,0,"C3","A"
"10","18","OFAV_PP_366",0.056,162.682,0,219,0,0,"C3","CA"
"11","19","OFAV_PP_366",0.0003157,153.757,0.333,199.333,-89.05,0.338,"C4","H"
"12","2","OFAV_PP_366",0.0002009,119.465,0.339,182,-106.699,0.214,"C1","CH"
"13","20","OFAV_PP_366",0.0001357,123.359,1.083,188.755,-84.806,0.144,"C4","CH"
"14","21","OFAV_PP_366",0.00036,161.073,0.756,213.62,4.165,0.385,"C4","W"
"15","22","OFAV_PP_366",0.0001104,115.809,1,157.333,2.726,0.118,"C4","CW"
"16","23","OFAV_PP_366",0.109,170.733,0,217,0,0,"C4","A"
"17","24","OFAV_PP_366",0.022,142.244,0,213,0,0,"C4","CA"
"18","25","OFAV_PP_366",0.0003122,131.182,71.679,181.911,-98.039,0.333,"C5","H"
"19","26","OFAV_PP_366",0.0001565,115.269,80.425,159.667,-95.774,0.167,"C5","CH"
"20","27","OFAV_PP_366",0.0002496,121.503,0.484,162.333,15.009,0.266,"C5","W"
"21","28","OFAV_PP_366",0.0001035,90.322,0.554,147.667,4.844,0.11,"C5","CW"
"22","29","OFAV_PP_366",0.087,146.649,0,210,0,0,"C5","A"
"23","3","OFAV_PP_366",0.000347,142.045,0.881,176.213,17.251,0.371,"C1","W"
"24","30","OFAV_PP_366",0.025,122.12,0,194,0,0,"C5","CA"
"25","4","OFAV_PP_366",0.0002009,140.994,0.333,186.116,2.49,0.215,"C1","CW"
"26","5","OFAV_PP_366",0.122,167.765,0,224,0,0,"C1","A"
"27","6","OFAV_PP_366",0.047,151.644,0,216,0,0,"C1","CA"
"28","7","OFAV_PP_366",0.0003261,162.848,0.762,219.333,-109.695,0.349,"C2","H"
"29","8","OFAV_PP_366",0.000173,141.214,0.345,205.333,-102.216,0.185,"C2","CH"
"30","9","OFAV_PP_366",0.0003409,176.853,0.931,220.057,11.195,0.365,"C2","W"
