"","Row.names","X","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1",1,"OFAV_PP_371",0.0003515,148.554,0.099,202.235,-67.413,0.377,"C1","H"
"2","10",10,"OFAV_PP_371",0.0002151,137.378,0.455,204.341,14.708,0.231,"C2","CW"
"3","11",11,"OFAV_PP_371",0.139,172.125,0,225,0,0,"C2","A"
"4","12",12,"OFAV_PP_371",0.049,156.848,0,225,0,0,"C2","CA"
"5","13",13,"OFAV_PP_371",0.0002919,126.19,0.655,202.392,-101.976,0.314,"C3","H"
"6","14",14,"OFAV_PP_371",0.0001805,131.034,2.167,190.59,-105.642,0.193,"C3","CH"
"7","15",15,"OFAV_PP_371",0.0003541,144.241,87.063,201.911,9.278,0.38,"C3","W"
"8","16",16,"OFAV_PP_371",0.0001943,104.381,2.333,157.732,12.918,0.208,"C3","CW"
"9","17",17,"OFAV_PP_371",0.097,141.643,0,215,0,0,"C3","A"
"10","18",18,"OFAV_PP_371",0.033,121.499,0,214,0,0,"C3","CA"
"11","19",19,"OFAV_PP_371",0.0004431,170.711,0.333,216.104,-88.21,0.476,"C4","H"
"12","2",2,"OFAV_PP_371",0.0002064,145.946,98.43,176.062,-70.88,0.221,"C1","CH"
"13","20",20,"OFAV_PP_371",0.0002392,138.237,0.159,192.647,-92.904,0.257,"C4","CH"
"14","21",21,"OFAV_PP_371",0.0004007,164.329,0.361,219.146,25.017,0.431,"C4","W"
"15","22",22,"OFAV_PP_371",0.0002392,135.382,0.462,209,19.486,0.256,"C4","CW"
"16","23",23,"OFAV_PP_371",0.146,171.075,0,229,19.486,0.256,"C4","A"
"17","24",24,"OFAV_PP_371",0.055,160.137,0,229,0,0,"C4","CA"
"18","25",25,"OFAV_PP_371",0.0004552,175.728,1.034,218.333,-67.43,0.489,"C5","H"
"19","26",26,"OFAV_PP_371",0.0002453,127.291,0.333,181.169,-82.271,0.263,"C5","CH"
"20","27",27,"OFAV_PP_371",0.0003878,166.642,100.489,206.333,26.794,0.416,"C5","W"
"21","28",28,"OFAV_PP_371",0.0002237,143.758,0.394,179.023,12.095,0.24,"C5","CW"
"22","29",29,"OFAV_PP_371",0.15,165.964,0,231,0,0,"C5","A"
"23","3",3,"OFAV_PP_371",0.0004293,152.886,0.583,183.18,12.943,0.461,"C1","W"
"24","30",30,"OFAV_PP_371",0.051,151.074,0,224,0,0,"C5","CA"
"25","4",4,"OFAV_PP_371",0.0002064,143.779,88.064,184.35,19.12,0.221,"C1","CW"
"26","5",5,"OFAV_PP_371",0.119,151.46,0,224,0,0,"C1","A"
"27","6",6,"OFAV_PP_371",0.048,146.793,0,217,0,0,"C1","CA"
"28","7",7,"OFAV_PP_371",0.0004146,154.269,0.163,216.677,-84.611,0.445,"C2","H"
"29","8",8,"OFAV_PP_371",0.0002289,138.64,76.652,183.284,-86.748,0.246,"C2","CH"
"30","9",9,"OFAV_PP_371",0.0003714,165.359,1.966,214.333,15.009,0.398,"C2","W"
