"","Row.names","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1","OFAV_PP_91R44",0.000346,186.274,139,222,-91.39,0.377,"C1","H"
"2","10","OFAV_PP_91R44",0.0002539,156.82,1.625,202.634,-0.759,0.276,"C2","CW"
"3","11","OFAV_PP_91R44",0.128,151.762,0,211,0,0,"C2","A"
"4","12","OFAV_PP_91R44",0.063,143.926,0,211,0,0,"C2","CA"
"5","13","OFAV_PP_91R44",0.0004122,174.5,102.36,219.402,-69.499,0.45,"C3","H"
"6","14","OFAV_PP_91R44",0.0002279,144.282,3.073,189.837,-95.921,0.248,"C3","CH"
"7","15","OFAV_PP_91R44",0.0002933,153.21,1.219,216,5.254,0.32,"C3","W"
"8","16","OFAV_PP_91R44",0.0001969,142.033,1.667,186.821,2.936,0.214,"C3","CW"
"9","17","OFAV_PP_91R44",0.133,169.23,0,223,0,0,"C3","A"
"10","18","OFAV_PP_91R44",0.065,155.934,0,221,0,0,"C3","CA"
"11","19","OFAV_PP_91R44",0.0004491,155.439,0.288,207.436,-104.504,0.49,"C4","H"
"12","2","OFAV_PP_91R44",0.000181,133.591,0.039,199.545,-99.638,0.197,"C1","CH"
"13","20","OFAV_PP_91R44",0.0002539,110.304,1.171,161.443,-103.392,0.277,"C4","CH"
"14","21","OFAV_PP_91R44",0.0003653,138.066,0.221,192.326,-4.217,0.398,"C4","W"
"15","22","OFAV_PP_91R44",0.0002572,140.434,1.059,189.013,-1.123,0.28,"C4","CW"
"16","23","OFAV_PP_91R44",0.179,156.462,0,212,0,0,"C4","A"
"17","24","OFAV_PP_91R44",0.065,138.928,0,212,0,0,"C4","CA"
"18","25","OFAV_PP_91R44",0.0004013,152.479,0.063,215.965,-90.24,0.438,"C5","H"
"19","26","OFAV_PP_91R44",0.0002723,144.893,1.457,188.512,-88.939,0.297,"C5","CH"
"20","27","OFAV_PP_91R44",0.0003226,146.059,0.307,187.604,7.792,0.351,"C5","W"
"21","28","OFAV_PP_91R44",0.0002053,142.294,0.757,205.098,3.284,0.224,"C5","CW"
"22","29","OFAV_PP_91R44",0.124,165.186,0,223,0,0,"C5","A"
"23","3","OFAV_PP_91R44",0.0003611,174.064,0.546,220,9.638,0.394,"C1","W"
"24","30","OFAV_PP_91R44",0.058,151.549,0,223,0,0,"C5","CA"
"25","4","OFAV_PP_91R44",0.0002279,167.097,0.374,197.536,14.55,0.248,"C1","CW"
"26","5","OFAV_PP_91R44",0.125,183.42,0,227,0,0,"C1","A"
"27","6","OFAV_PP_91R44",0.049,172.507,0,223,0,0,"C1","CA"
"28","7","OFAV_PP_91R44",0.0003888,145.419,79.498,176.055,-96.941,0.424,"C2","H"
"29","8","OFAV_PP_91R44",0.0002254,129.175,0.814,191.37,-109.654,0.245,"C2","CH"
"30","9","OFAV_PP_91R44",0.0004055,148.277,95.451,191.942,3.325,0.442,"C2","W"
