"","Row.names","X","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1",1,"OFAV_PP_9A75",0.0003272,179.803,119.407,218.86,-74.954,0.355,"C1","H"
"2","10",10,"OFAV_PP_9A75",0.000228,105.614,0.602,174.129,-3.417,0.247,"C2","CW"
"3","11",11,"OFAV_PP_9A75",0.145,142.153,0,219,0,0,"C2","A"
"4","12",12,"OFAV_PP_9A75",0.071,135.774,0,216,0,0,"C2","CA"
"5","13",13,"OFAV_PP_9A75",0.0002484,157.135,0.464,214.569,-80.538,0.269,"C3","H"
"6","14",14,"OFAV_PP_9A75",0.0001822,162.608,111.572,211,-82.476,0.197,"C3","CH"
"7","15",15,"OFAV_PP_9A75",0.0004857,176.359,0.531,221.788,6.429,0.526,"C3","W"
"8","16",16,"OFAV_PP_9A75",0.0002772,142.577,0.346,206.198,10.62,0.3,"C3","CW"
"9","17",17,"OFAV_PP_9A75",0.124,172.819,0,236,0,0,"C3","A"
"10","18",18,"OFAV_PP_9A75",0.068,164.417,0,236,0,0,"C3","CA"
"11","19",19,"OFAV_PP_9A75",0.0003408,190.602,0.333,228.667,-60.113,0.37,"C4","H"
"12","2",2,"OFAV_PP_9A75",0.0001814,168.849,134.845,214.992,-84.611,0.196,"C1","CH"
"13","20",20,"OFAV_PP_9A75",0.0002365,157.254,99.477,212.323,-96.613,0.256,"C4","CH"
"14","21",21,"OFAV_PP_9A75",0.0005027,191.646,0.333,222.333,0,0.545,"C4","W"
"15","22",22,"OFAV_PP_9A75",0.0003001,154.124,0.317,216.055,13.092,0.325,"C4","CW"
"16","23",23,"OFAV_PP_9A75",0.139,172.983,0,235,0,0,"C4","A"
"17","24",24,"OFAV_PP_9A75",0.063,155.832,0,230,0,0,"C4","CA"
"18","25",25,"OFAV_PP_9A75",0.0003645,154.165,0.101,220.858,-67.504,0.395,"C5","H"
"19","26",26,"OFAV_PP_9A75",0.0002636,125.377,0.663,188.15,-75.069,0.286,"C5","CH"
"20","27",27,"OFAV_PP_9A75",0.0004187,137.528,0.836,197.317,10.763,0.454,"C5","W"
"21","28",28,"OFAV_PP_9A75",0.0002594,140.107,1.209,199.56,4.514,0.281,"C5","CW"
"22","29",29,"OFAV_PP_9A75",0.155,143.124,0,231,0,0,"C5","A"
"23","3",3,"OFAV_PP_9A75",0.0005179,170.441,47.353,212,-7.918,0.561,"C1","W"
"24","30",30,"OFAV_PP_9A75",0.07,131.082,0,225,0,0,"C5","CA"
"25","4",4,"OFAV_PP_9A75",0.0002653,140.521,0.59,177.897,1.469,0.287,"C1","CW"
"26","5",5,"OFAV_PP_9A75",0.129,168.585,0,233,0,0,"C1","A"
"27","6",6,"OFAV_PP_9A75",0.045,159.393,0,233,0,0,"C1","CA"
"28","7",7,"OFAV_PP_9A75",0.0003247,146.404,0.551,199.666,-79.749,0.352,"C2","H"
"29","8",8,"OFAV_PP_9A75",0.0002145,118.789,0.619,172.201,-88.182,0.232,"C2","CH"
"30","9",9,"OFAV_PP_9A75",0.0005171,152.335,87.149,202.204,-15.222,0.561,"C2","W"
