"","Row.names","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1","OFAV_PP_9AZ5",0.0003048,168.566,0.333,222,-92.545,0.331,"C1","H"
"2","10","OFAV_PP_9AZ5",0.0002575,125.729,0.081,176.235,-7.172,0.28,"C2","CW"
"3","11","OFAV_PP_9AZ5",0.151,141.488,0,217,0,0,"C2","A"
"4","12","OFAV_PP_9AZ5",0.059,132.71,0,214,0,0,"C2","CA"
"5","13","OFAV_PP_9AZ5",0.0002457,161.425,0.968,208.725,-83.267,0.266,"C3","H"
"6","14","OFAV_PP_9AZ5",0.0001579,162.087,110.308,203.753,-92.463,0.171,"C3","CH"
"7","15","OFAV_PP_9AZ5",0.0004635,177.181,1.779,222.027,2.09,0.504,"C3","W"
"8","16","OFAV_PP_9AZ5",0.0002989,130.161,1.449,199.257,3.9,0.324,"C3","CW"
"9","17","OFAV_PP_9AZ5",0.135,173.403,0,236,0,0,"C3","A"
"10","18","OFAV_PP_9AZ5",0.064,162.471,0,236,0,0,"C3","CA"
"11","19","OFAV_PP_9AZ5",0.0003453,180.391,0.36,225.79,-63.372,0.375,"C4","H"
"12","2","OFAV_PP_9AZ5",0.0001629,174.391,138.042,220.583,-86.424,0.177,"C1","CH"
"13","20","OFAV_PP_9AZ5",0.000222,130.196,0.333,193.529,-89.344,0.241,"C4","CH"
"14","21","OFAV_PP_9AZ5",0.0004398,168.285,0.147,220.52,4.745,0.478,"C4","W"
"15","22","OFAV_PP_9AZ5",0.0003005,165.6,0,212.971,12.704,0.326,"C4","CW"
"16","23","OFAV_PP_9AZ5",0.167,174.167,0,236,0,0,"C4","A"
"17","24","OFAV_PP_9AZ5",0.062,153.718,0,227,0,0,"C4","CA"
"18","25","OFAV_PP_9AZ5",0.0003563,149.709,0.488,207.404,-101.096,0.387,"C5","H"
"19","26","OFAV_PP_9AZ5",0.0002457,115.592,69.066,175.25,-96.34,0.266,"C5","CH"
"20","27","OFAV_PP_9AZ5",0.0004601,158.205,0.419,210.045,-11.455,0.5,"C5","W"
"21","28","OFAV_PP_9AZ5",0.000271,131.423,1.46,208.419,-3.23,0.294,"C5","CW"
"22","29","OFAV_PP_9AZ5",0.166,143.155,0,230,0,0,"C5","A"
"23","3","OFAV_PP_9AZ5",0.0004677,164.898,101.226,201.667,-2.49,0.508,"C1","W"
"24","30","OFAV_PP_9AZ5",0.065,129.253,0,222,0,0,"C5","CA"
"25","4","OFAV_PP_9AZ5",0.0002474,138.056,0.333,178.333,1.569,0.268,"C1","CW"
"26","5","OFAV_PP_9AZ5",0.125,169.264,0,233,0,0,"C1","A"
"27","6","OFAV_PP_9AZ5",0.063,166.34,0,233,0,0,"C1","CA"
"28","7","OFAV_PP_9AZ5",0.0003233,141.885,0.079,186,-78.513,0.351,"C2","H"
"29","8","OFAV_PP_9AZ5",0.0001672,109.37,0.274,178.804,-94.667,0.181,"C2","CH"
"30","9","OFAV_PP_9AZ5",0.0005065,136.209,3.374,193.471,-2.681,0.55,"C2","W"
