"","Row.names","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1","OFAV_PP_9EV40",0.0003262,197.693,157.498,233.739,-88.819,0.355,"C1","H"
"2","10","OFAV_PP_9EV40",0.0002969,147.381,0.552,209.667,7.165,0.323,"C2","CW"
"3","11","OFAV_PP_9EV40",0.163,169.143,0,227,0,0,"C2","A"
"4","12","OFAV_PP_9EV40",0.076,153.141,0,227,0,0,"C2","CA"
"5","13","OFAV_PP_9EV40",0.0004159,180.538,0.527,223.733,-92.781,0.453,"C3","H"
"6","14","OFAV_PP_9EV40",0.0002583,155.252,0.425,233.667,-85.888,0.281,"C3","CH"
"7","15","OFAV_PP_9EV40",0.0005342,186.53,104.034,228.109,6.678,0.583,"C3","W"
"8","16","OFAV_PP_9EV40",0.0002902,158.169,1.051,226.991,5.315,0.316,"C3","CW"
"9","17","OFAV_PP_9EV40",0.203,185.395,0,241,0,0,"C3","A"
"10","18","OFAV_PP_9EV40",0.082,177.262,0,241,0,0,"C3","CA"
"11","19","OFAV_PP_9EV40",0.0004034,179.175,68.667,220.956,-88.091,0.44,"C4","H"
"12","2","OFAV_PP_9EV40",0.0002055,187.803,106.762,228.127,-100.85,0.224,"C1","CH"
"13","20","OFAV_PP_9EV40",0.0002709,146.598,0.333,210.667,-90.356,0.295,"C4","CH"
"14","21","OFAV_PP_9EV40",0.0004755,159.693,0,216.125,6.497,0.518,"C4","W"
"15","22","OFAV_PP_9EV40",0.0002751,143.718,0.477,221.333,3.511,0.299,"C4","CW"
"16","23","OFAV_PP_9EV40",0.18,185.652,0,234,0,0,"C4","A"
"17","24","OFAV_PP_9EV40",0.073,168.545,0,234,0,0,"C4","CA"
"18","25","OFAV_PP_9EV40",0.0004159,173.554,0.248,212.119,-93.244,0.453,"C5","H"
"19","26","OFAV_PP_9EV40",0.0002482,179.459,105.847,226.067,-100.548,0.27,"C5","CH"
"20","27","OFAV_PP_9EV40",0.0004663,186.989,0.764,225.613,2.893,0.508,"C5","W"
"21","28","OFAV_PP_9EV40",0.00027,152.753,0.251,226.313,3.219,0.294,"C5","CW"
"22","29","OFAV_PP_9EV40",0.164,191.436,0,238,0,0,"C5","A"
"23","3","OFAV_PP_9EV40",0.0005006,202.314,0.036,234,9.273,0.546,"C1","W"
"24","30","OFAV_PP_9EV40",0.061,178.194,0,237,0,0,"C5","CA"
"25","4","OFAV_PP_9EV40",0.0002843,197.752,0.036,233.698,5.44,0.309,"C1","CW"
"26","5","OFAV_PP_9EV40",0.159,206.651,0,240,0,0,"C1","A"
"27","6","OFAV_PP_9EV40",0.061,194.829,0,240,0,0,"C1","CA"
"28","7","OFAV_PP_9EV40",0.0004201,148.618,1,199.722,-82.648,0.458,"C2","H"
"29","8","OFAV_PP_9EV40",0.0002667,129.138,0,186.29,-86.74,0.29,"C2","CH"
"30","9","OFAV_PP_9EV40",0.0004621,161.83,0.614,215.303,12.823,0.503,"C2","W"
