"","Row.names","X","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1",1,"OFAV_PP_9GT35",0.0002999,150.137,58.895,191.667,-84.242,0.327,"C1","H"
"2","10",10,"OFAV_PP_9GT35",0.0001758,132.85,1.19,170.267,-0.818,0.192,"C2","CW"
"3","11",11,"OFAV_PP_9GT35",0.088,159.338,0,204,0,0,"C2","A"
"4","12",12,"OFAV_PP_9GT35",0.035,140.918,0,197,0,0,"C2","CA"
"5","13",13,"OFAV_PP_9GT35",0.0003132,119.524,0.333,179.667,-92.291,0.343,"C3","H"
"6","14",14,"OFAV_PP_9GT35",0.0001882,104.623,0.386,136.8,-99.211,0.205,"C3","CH"
"7","15",15,"OFAV_PP_9GT35",0.0002724,143.046,1.367,180.451,6.864,0.298,"C3","W"
"8","16",16,"OFAV_PP_9GT35",0.0001574,118.534,0.55,155.664,13.815,0.172,"C3","CW"
"9","17",17,"OFAV_PP_9GT35",0.079,144.165,0,196,0,0,"C3","A"
"10","18",18,"OFAV_PP_9GT35",0.028,123.253,0,189,0,0,"C3","CA"
"11","19",19,"OFAV_PP_9GT35",0.0003465,155.775,98.937,194.141,-93.318,0.378,"C4","H"
"12","2",2,"OFAV_PP_9GT35",0.0002107,85.355,0.095,152.857,-87.274,0.23,"C1","CH"
"13","20",20,"OFAV_PP_9GT35",0.0002016,102.876,0.36,163.396,-105.88,0.22,"C4","CH"
"14","21",21,"OFAV_PP_9GT35",0.0003007,141.312,1.126,173.957,8.625,0.329,"C4","W"
"15","22",22,"OFAV_PP_9GT35",0.0001508,122.378,0.356,163,8.31,0.164,"C4","CW"
"16","23",23,"OFAV_PP_9GT35",0.098,152.232,0,206,0,0,"C4","A"
"17","24",24,"OFAV_PP_9GT35",0.031,135.197,0,206,0,0,"C4","CA"
"18","25",25,"OFAV_PP_9GT35",0.0003573,152.977,1.096,196.456,-106.827,0.391,"C5","H"
"19","26",26,"OFAV_PP_9GT35",0.0002124,122.602,0.532,177.233,-107.865,0.232,"C5","CH"
"20","27",27,"OFAV_PP_9GT35",0.0003165,154.59,0.139,218.667,7.275,0.346,"C5","W"
"21","28",28,"OFAV_PP_9GT35",0.0002241,145.416,0.095,195.333,6.86,0.245,"C5","CW"
"22","29",29,"OFAV_PP_9GT35",0.083,160.414,0,218,0,0,"C5","A"
"23","3",3,"OFAV_PP_9GT35",0.0003232,134.149,0.217,177.667,-2.663,0.354,"C1","W"
"24","30",30,"OFAV_PP_9GT35",0.036,146.994,0,203,0,0,"C5","CA"
"25","4",4,"OFAV_PP_9GT35",0.0001766,126.91,0.491,164,10.67,0.192,"C1","CW"
"26","5",5,"OFAV_PP_9GT35",0.072,144.776,0,194,0,0,"C1","A"
"27","6",6,"OFAV_PP_9GT35",0.031,127.577,0,186,0,0,"C1","CA"
"28","7",7,"OFAV_PP_9GT35",0.0003165,140.142,0.622,188.486,-108.004,0.345,"C2","H"
"29","8",8,"OFAV_PP_9GT35",0.0001683,100.606,0.256,160.326,-103.829,0.183,"C2","CH"
"30","9",9,"OFAV_PP_9GT35",0.0003623,154.089,0.06,197.7,-5.553,0.396,"C2","W"
