"","Row.names","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1","OFAV_PP_9IR44",0.0003765,187.706,158,210.589,-69.034,0.415,"C1","H"
"2","10","OFAV_PP_9IR44",0.0002764,150.655,1.218,199.492,0.682,0.304,"C2","CW"
"3","11","OFAV_PP_9IR44",0.135,152.056,0,213,0,0,"C2","A"
"4","12","OFAV_PP_9IR44",0.055,144.547,0,213,0,0,"C2","CA"
"5","13","OFAV_PP_9IR44",0.000406,153.767,92.979,216.333,-64.058,0.447,"C3","H"
"6","14","OFAV_PP_9IR44",0.0002436,146.732,1.333,193.34,-73.523,0.268,"C3","CH"
"7","15","OFAV_PP_9IR44",0.0003781,164.212,101.333,213.667,0,0.417,"C3","W"
"8","16","OFAV_PP_9IR44",0.0002313,156.287,121.63,191.695,4.086,0.254,"C3","CW"
"9","17","OFAV_PP_9IR44",0.123,168.027,0,223,0,0,"C3","A"
"10","18","OFAV_PP_9IR44",0.064,156.233,0,221,0,0,"C3","CA"
"11","19","OFAV_PP_9IR44",0.0003502,176.356,13.919,200.393,-89.462,0.386,"C4","H"
"12","2","OFAV_PP_9IR44",0.0001887,152.9,0.452,200.6,-65.225,0.207,"C1","CH"
"13","20","OFAV_PP_9IR44",0.0001928,162.85,0.59,202.427,-89.51,0.212,"C4","CH"
"14","21","OFAV_PP_9IR44",0.0004027,172.307,0.544,227,18.065,0.444,"C4","W"
"15","22","OFAV_PP_9IR44",0.0002165,167.167,0.667,207.584,3.93,0.238,"C4","CW"
"16","23","OFAV_PP_9IR44",0.122,184.628,0,226,0,0,"C4","A"
"17","24","OFAV_PP_9IR44",0.047,175.637,0,226,0,0,"C4","CA"
"18","25","OFAV_PP_9IR44",0.000415,145.325,0.189,196.064,-102.111,0.458,"C5","H"
"19","26","OFAV_PP_9IR44",0.00026,117.919,72.441,158.067,-104.3,0.286,"C5","CH"
"20","27","OFAV_PP_9IR44",0.0004397,168.299,0.474,203.615,16.74,0.484,"C5","W"
"21","28","OFAV_PP_9IR44",0.0002543,120.454,0.116,174.559,17.731,0.28,"C5","CW"
"22","29","OFAV_PP_9IR44",0.16,156.902,0,212,0,0,"C5","A"
"23","3","OFAV_PP_9IR44",0.0003535,178.462,0.333,221.162,4.808,0.389,"C1","W"
"24","30","OFAV_PP_9IR44",0.064,139.01,0,210,0,0,"C5","CA"
"25","4","OFAV_PP_9IR44",0.000178,175.188,149.5,207.111,3.18,0.196,"C1","CW"
"26","5","OFAV_PP_9IR44",0.129,184.333,0,233,0,0,"C1","A"
"27","6","OFAV_PP_9IR44",0.051,173.9,0,223,0,0,"C1","CA"
"28","7","OFAV_PP_9IR44",0.0003297,144.105,88.112,189.989,-94.004,0.363,"C2","H"
"29","8","OFAV_PP_9IR44",0.0002305,130.291,1.022,184.205,-99.866,0.254,"C2","CH"
"30","9","OFAV_PP_9IR44",0.0003658,160.297,116.019,188.255,27.255,0.403,"C2","W"
