"","Row.names","X","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1",1,"OFAV_PP_9JQ43",0.0003315,133.927,0.242,162.07,-100.187,0.359,"C1","H"
"2","10",10,"OFAV_PP_9JQ43",0.0002357,115.037,17.438,165,15.69,0.255,"C2","CW"
"3","11",11,"OFAV_PP_9JQ43",0.123,141.136,0,191,0,0,"C2","A"
"4","12",12,"OFAV_PP_9JQ43",0.061,130.962,0,190,0,0,"C2","CA"
"5","13",13,"OFAV_PP_9JQ43",0.0002984,123.812,79.783,158.464,-97.853,0.323,"C3","H"
"6","14",14,"OFAV_PP_9JQ43",0.0001967,91.392,0,143.303,-87.769,0.213,"C3","CH"
"7","15",15,"OFAV_PP_9JQ43",0.0003671,132.576,0.87,177.986,0.796,0.398,"C3","W"
"8","16",16,"OFAV_PP_9JQ43",0.0002128,112.844,0.473,152.629,5.505,0.23,"C3","CW"
"9","17",17,"OFAV_PP_9JQ43",0.098,130.57,0,182,0,0,"C3","A"
"10","18",18,"OFAV_PP_9JQ43",0.045,114.44,0,182,0,0,"C3","CA"
"11","19",19,"OFAV_PP_9JQ43",0.0003603,126.443,0.42,160.606,-80.227,0.391,"C4","H"
"12","2",2,"OFAV_PP_9JQ43",0.0002247,128.767,109.032,165.182,-102.458,0.243,"C1","CH"
"13","20",20,"OFAV_PP_9JQ43",0.0002145,118.987,0,158.857,-91.364,0.232,"C4","CH"
"14","21",21,"OFAV_PP_9JQ43",0.0003798,126.85,1.236,164.029,8.746,0.412,"C4","W"
"15","22",22,"OFAV_PP_9JQ43",0.0002509,109.387,0.581,166.638,8.569,0.272,"C4","CW"
"16","23",23,"OFAV_PP_9JQ43",0.105,129.372,0,182,0,0,"C4","A"
"17","24",24,"OFAV_PP_9JQ43",0.055,123.963,0,182,0,0,"C4","CA"
"18","25",25,"OFAV_PP_9JQ43",0.0002679,147.846,109.273,180.169,-84.723,0.29,"C5","H"
"19","26",26,"OFAV_PP_9JQ43",0.0001687,121.961,73.712,171.303,-87.397,0.182,"C5","CH"
"20","27",27,"OFAV_PP_9JQ43",0.000273,119.866,0.333,176.008,23.527,0.295,"C5","W"
"21","28",28,"OFAV_PP_9JQ43",0.0001585,116.787,74.526,161,24.775,0.171,"C5","CW"
"22","29",29,"OFAV_PP_9JQ43",0.07,137.593,0,187,0,0,"C5","A"
"23","3",3,"OFAV_PP_9JQ43",0.0004375,136.255,0.521,165.855,5.013,0.474,"C1","W"
"24","30",30,"OFAV_PP_9JQ43",0.031,119.014,0,181,0,0,"C5","CA"
"25","4",4,"OFAV_PP_9JQ43",0.000256,132.001,0.141,161.617,9.181,0.277,"C1","CW"
"26","5",5,"OFAV_PP_9JQ43",0.111,139.485,0,174,0,0,"C1","A"
"27","6",6,"OFAV_PP_9JQ43",0.061,131.783,0,174,0,0,"C1","CA"
"28","7",7,"OFAV_PP_9JQ43",0.0003934,132.23,0.324,167.542,-76.144,0.427,"C2","H"
"29","8",8,"OFAV_PP_9JQ43",0.0002577,118.978,1.018,159.333,-75.689,0.279,"C2","CH"
"30","9",9,"OFAV_PP_9JQ43",0.0003807,134.535,0.105,176.944,11.988,0.412,"C2","W"
