"","Row.names","X","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1",1,"OFAV_PP_AZ",0.0004184,188.023,8,208,-91.818,0.459,"C1","H"
"2","10",10,"OFAV_PP_AZ",0.0002138,145.769,0.093,191.766,11.222,0.234,"C2","CW"
"3","11",11,"OFAV_PP_AZ",0.099,177.391,0,212,0,0,"C2","A"
"4","12",12,"OFAV_PP_AZ",0.049,163.13,0,209,0,0,"C2","CA"
"5","13",13,"OFAV_PP_AZ",0.0004441,174.34,89.383,215.453,-77.262,0.487,"C3","H"
"6","14",14,"OFAV_PP_AZ",0.0002535,159.643,97.398,181.078,-85.486,0.278,"C3","CH"
"7","15",15,"OFAV_PP_AZ",0.0003762,158.948,0.264,195.333,8.13,0.412,"C3","W"
"8","16",16,"OFAV_PP_AZ",0.0002204,141.786,0.652,179.399,11.31,0.241,"C3","CW"
"9","17",17,"OFAV_PP_AZ",0.133,170.265,0,219,0,0,"C3","A"
"10","18",18,"OFAV_PP_AZ",0.065,152.516,0,202,0,0,"C3","CA"
"11","19",19,"OFAV_PP_AZ",0.0003596,165.771,0.333,212.475,-93.972,0.394,"C4","H"
"12","2",2,"OFAV_PP_AZ",0.0002221,171.29,11.155,202.743,-83.991,0.243,"C1","CH"
"13","20",20,"OFAV_PP_AZ",0.0002353,154.653,116.263,195.517,-98.931,0.258,"C4","CH"
"14","21",21,"OFAV_PP_AZ",0.0003811,166.167,0.271,210.037,7.001,0.418,"C4","W"
"15","22",22,"OFAV_PP_AZ",0.0002287,139.299,0.264,195.893,20.678,0.25,"C4","CW"
"16","23",23,"OFAV_PP_AZ",0.105,168.54,0,218,0,0,"C4","A"
"17","24",24,"OFAV_PP_AZ",0.06,158.369,0,208,0,0,"C4","CA"
"18","25",25,"OFAV_PP_AZ",0.0005096,170.697,75.299,196,-100.138,0.559,"C5","H"
"19","26",26,"OFAV_PP_AZ",0.0002245,144.876,0.812,197.44,-104.139,0.246,"C5","CH"
"20","27",27,"OFAV_PP_AZ",0.0003787,165.66,0.37,202.964,7.312,0.415,"C5","W"
"21","28",28,"OFAV_PP_AZ",0.0002519,135.884,0.263,201.731,17.658,0.276,"C5","CW"
"22","29",29,"OFAV_PP_AZ",0.162,175.07,0,214,0,0,"C5","A"
"23","3",3,"OFAV_PP_AZ",0.00044,188.648,0,209.296,1.945,0.483,"C1","W"
"24","30",30,"OFAV_PP_AZ",0.064,159.101,0,214,0,0,"C5","CA"
"25","4",4,"OFAV_PP_AZ",0.0002403,161.88,0.355,208.529,11.155,0.263,"C1","CW"
"26","5",5,"OFAV_PP_AZ",0.162,185.98,0,224,0,0,"C1","A"
"27","6",6,"OFAV_PP_AZ",0.049,172.829,0,214,0,0,"C1","CA"
"28","7",7,"OFAV_PP_AZ",0.0003613,179.302,0.259,212.333,-81.534,0.396,"C2","H"
"29","8",8,"OFAV_PP_AZ",0.0002328,157.909,110.716,197.29,-74.673,0.255,"C2","CH"
"30","9",9,"OFAV_PP_AZ",0.0003265,170.78,0.705,207.845,6.727,0.357,"C2","W"
