"","Row.names","X","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1",1,"OFAV_PP_CX",0.0003168,167.897,2.097,218.093,-106.504,0.353,"C1","H"
"2","10",10,"OFAV_PP_CX",0.0002318,175.796,3.241,216.111,11.193,0.258,"C2","CW"
"3","11",11,"OFAV_PP_CX",0.166,190.611,0,240,0,0,"C2","A"
"4","12",12,"OFAV_PP_CX",0.068,173.743,0,239,0,0,"C2","CA"
"5","13",13,"OFAV_PP_CX",0.0004419,164.592,0.738,226.375,-75.357,0.492,"C3","H"
"6","14",14,"OFAV_PP_CX",0.0002519,133.528,0.859,199.623,-82.466,0.28,"C3","CH"
"7","15",15,"OFAV_PP_CX",0.0003232,187.091,0.735,228.507,12.792,0.36,"C3","W"
"8","16",16,"OFAV_PP_CX",0.0001877,134.998,1.527,198.439,18.745,0.209,"C3","CW"
"9","17",17,"OFAV_PP_CX",0.141,178.886,0,236,0,0,"C3","A"
"10","18",18,"OFAV_PP_CX",0.052,152.143,0,236,0,0,"C3","CA"
"11","19",19,"OFAV_PP_CX",0.0004147,184.092,12.381,221.393,-67.559,0.462,"C4","H"
"12","2",2,"OFAV_PP_CX",0.0002085,154.452,118.369,196.667,-108.015,0.232,"C1","CH"
"13","20",20,"OFAV_PP_CX",0.0002382,131.239,0,186.251,-89.419,0.265,"C4","CH"
"14","21",21,"OFAV_PP_CX",0.0003617,175.354,0.272,213.889,2.805,0.403,"C4","W"
"15","22",22,"OFAV_PP_CX",0.0002118,127.703,0.982,180.881,3.712,0.235,"C4","CW"
"16","23",23,"OFAV_PP_CX",0.145,165.495,0,237,0,0,"C4","A"
"17","24",24,"OFAV_PP_CX",0.057,150.361,0,237,0,0,"C4","CA"
"18","25",25,"OFAV_PP_CX",0.0004756,156.202,0.73,205.889,-78.709,0.531,"C5","H"
"19","26",26,"OFAV_PP_CX",0.0002607,131.241,0.778,192.283,-82.919,0.291,"C5","CH"
"20","27",27,"OFAV_PP_CX",0.0003112,143.989,88.209,184.178,17.266,0.347,"C5","W"
"21","28",28,"OFAV_PP_CX",0.0002013,112.915,0.741,172.732,4.364,0.224,"C5","CW"
"22","29",29,"OFAV_PP_CX",0.16,158.864,0,235,0,0,"C5","A"
"23","3",3,"OFAV_PP_CX",0.0003746,163.592,0.333,229.073,27.884,0.417,"C1","W"
"24","30",30,"OFAV_PP_CX",0.057,137.676,0,235,0,0,"C5","CA"
"25","4",4,"OFAV_PP_CX",0.0001909,127.438,0.333,186.685,17.671,0.212,"C1","CW"
"26","5",5,"OFAV_PP_CX",0.103,173.026,0,235,0,0,"C1","A"
"27","6",6,"OFAV_PP_CX",0.046,155.776,0,222,0,0,"C1","CA"
"28","7",7,"OFAV_PP_CX",0.0004291,195.243,0.379,232.038,-79.09,0.478,"C2","H"
"29","8",8,"OFAV_PP_CX",0.0002663,129.289,0.253,216.565,-80.082,0.296,"C2","CH"
"30","9",9,"OFAV_PP_CX",0.0003938,202.524,0.581,231.667,7.038,0.439,"C2","W"
