"","Row.names","X","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1",1,"OFAV_PP_DW",0.0003788,171.904,4.673,217.837,-97.907,0.406,"C1","H"
"2","10",10,"OFAV_PP_DW",0.0001864,143.359,0.304,207.351,17.928,0.2,"C2","CW"
"3","11",11,"OFAV_PP_DW",0.123,184.116,0,230,0,0,"C2","A"
"4","12",12,"OFAV_PP_DW",0.049,164.79,0,224,0,0,"C2","CA"
"5","13",13,"OFAV_PP_DW",0.0003858,170.502,0.658,215.495,-91.548,0.414,"C3","H"
"6","14",14,"OFAV_PP_DW",0.0002609,155.945,115.8,187.92,-92.291,0.28,"C3","CH"
"7","15",15,"OFAV_PP_DW",0.0003346,155.263,0.447,196.694,4.022,0.358,"C3","W"
"8","16",16,"OFAV_PP_DW",0.0002401,143.88,1.12,194.333,19.026,0.257,"C3","CW"
"9","17",17,"OFAV_PP_DW",0.118,166.536,0,231,0,0,"C3","A"
"10","18",18,"OFAV_PP_DW",0.052,155.247,0,224,0,0,"C3","CA"
"11","19",19,"OFAV_PP_DW",0.0003953,152.833,0.616,207.237,-85.079,0.423,"C4","H"
"12","2",2,"OFAV_PP_DW",0.0002462,162.142,107.429,198.031,-85.135,0.264,"C1","CH"
"13","20",20,"OFAV_PP_DW",0.0002644,133.57,76.163,190.543,-84.346,0.283,"C4","CH"
"14","21",21,"OFAV_PP_DW",0.0003312,165.505,0.333,217.667,0,0.355,"C4","W"
"15","22",22,"OFAV_PP_DW",0.0001951,127.049,0.19,202.785,7.696,0.209,"C4","CW"
"16","23",23,"OFAV_PP_DW",0.128,168.987,0,225,0,0,"C4","A"
"17","24",24,"OFAV_PP_DW",0.06,152.916,0,225,0,0,"C4","CA"
"18","25",25,"OFAV_PP_DW",0.0004205,152.524,0.548,204.592,-67.671,0.451,"C5","H"
"19","26",26,"OFAV_PP_DW",0.000267,137.631,0.788,191.282,-67.782,0.286,"C5","CH"
"20","27",27,"OFAV_PP_DW",0.0002826,152.679,0.225,213.594,22.457,0.302,"C5","W"
"21","28",28,"OFAV_PP_DW",0.0001959,122.431,0,201.309,45.36,0.209,"C5","CW"
"22","29",29,"OFAV_PP_DW",0.126,158.411,0,223,0,0,"C5","A"
"23","3",3,"OFAV_PP_DW",0.0003728,179.73,0.333,211.333,-0.401,0.399,"C1","W"
"24","30",30,"OFAV_PP_DW",0.054,143.701,0,223,0,0,"C5","CA"
"25","4",4,"OFAV_PP_DW",0.0002089,162.153,0.333,210,-0.716,0.223,"C1","CW"
"26","5",5,"OFAV_PP_DW",0.126,173.197,0,229,0,0,"C1","A"
"27","6",6,"OFAV_PP_DW",0.053,164.757,0,229,0,0,"C1","CA"
"28","7",7,"OFAV_PP_DW",0.0003884,161.743,0,216.438,-89.231,0.416,"C2","H"
"29","8",8,"OFAV_PP_DW",0.0002107,136.353,0.614,205.926,-97.829,0.226,"C2","CH"
"30","9",9,"OFAV_PP_DW",0.000319,168.608,1.64,214.433,8.924,0.342,"C2","W"
