"","Row.names","X","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1",1,"OFAV_PP_OGT1",0.000462,170.171,2.601,203.955,-93.128,0.503,"C1","H"
"2","10",10,"OFAV_PP_OGT1",0.0001769,132.309,0.962,187.076,14.036,0.193,"C2","CW"
"3","11",11,"OFAV_PP_OGT1",0.135,167.057,0,206,0,0,"C2","A"
"4","12",12,"OFAV_PP_OGT1",0.05,154.677,0,206,0,0,"C2","CA"
"5","13",13,"OFAV_PP_OGT1",0.0004109,159.175,84.333,205.618,-87.892,0.448,"C3","H"
"6","14",14,"OFAV_PP_OGT1",0.000249,139.821,2.572,193.039,-100.513,0.271,"C3","CH"
"7","15",15,"OFAV_PP_OGT1",0.0005023,161.68,0.305,198.682,13.339,0.548,"C3","W"
"8","16",16,"OFAV_PP_OGT1",0.0002373,137.067,0.854,198.967,23.839,0.258,"C3","CW"
"9","17",17,"OFAV_PP_OGT1",0.182,166.933,0,215,0,0,"C3","A"
"10","18",18,"OFAV_PP_OGT1",0.065,153.313,0,215,0,0,"C3","CA"
"11","19",19,"OFAV_PP_OGT1",0.0004662,151.931,77.877,189.297,-88.142,0.508,"C4","H"
"12","2",2,"OFAV_PP_OGT1",0.0002021,141.457,78.667,185.908,-88.568,0.22,"C1","CH"
"13","20",20,"OFAV_PP_OGT1",0.0002423,121.234,0.56,167,-102.011,0.264,"C4","CH"
"14","21",21,"OFAV_PP_OGT1",0.0003974,148.869,0.495,188.344,18.09,0.433,"C4","W"
"15","22",22,"OFAV_PP_OGT1",0.0002432,128.213,0.616,181.958,17.496,0.265,"C4","CW"
"16","23",23,"OFAV_PP_OGT1",0.173,161.675,0,202,0,0,"C4","A"
"17","24",24,"OFAV_PP_OGT1",0.067,150.633,0,202,0,0,"C4","CA"
"18","25",25,"OFAV_PP_OGT1",0.0005291,161.796,75.208,208.561,-95.738,0.577,"C5","H"
"19","26",26,"OFAV_PP_OGT1",0.000291,116.302,0.293,205.303,-107.65,0.317,"C5","CH"
"20","27",27,"OFAV_PP_OGT1",0.0003983,142.868,0.641,194.275,20.386,0.434,"C5","W"
"21","28",28,"OFAV_PP_OGT1",0.0002147,120.157,1.279,193.667,15.018,0.233,"C5","CW"
"22","29",29,"OFAV_PP_OGT1",0.207,167.283,0,215,0,0,"C5","A"
"23","3",3,"OFAV_PP_OGT1",0.0003488,151.309,0.136,190.84,10.823,0.38,"C1","W"
"24","30",30,"OFAV_PP_OGT1",0.079,152.993,0,215,0,0,"C5","CA"
"25","4",4,"OFAV_PP_OGT1",0.000192,120.431,0.421,172.546,16.049,0.209,"C1","CW"
"26","5",5,"OFAV_PP_OGT1",0.149,167.064,0,205,0,0,"C1","A"
"27","6",6,"OFAV_PP_OGT1",0.041,147.901,0,203,0,0,"C1","CA"
"28","7",7,"OFAV_PP_OGT1",0.0004251,158.216,1.151,194.057,-59.328,0.463,"C2","H"
"29","8",8,"OFAV_PP_OGT1",0.0001861,132.974,7.581,181.869,-67.62,0.202,"C2","CH"
"30","9",9,"OFAV_PP_OGT1",0.0003505,162.342,0,194.24,9.53,0.382,"C2","W"
