"","Row.names","X","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1",1,"OFAV_PP_OHS3",0.0003464,122.478,0.333,197.707,-74.445,0.373,"C1","H"
"2","10",10,"OFAV_PP_OHS3",0.0001792,138.611,1.974,186.615,1.102,0.193,"C2","CW"
"3","11",11,"OFAV_PP_OHS3",0.114,147.198,0,213,0,0,"C2","A"
"4","12",12,"OFAV_PP_OHS3",0.02,147.166,0,212,0,0,"C2","CA"
"5","13",13,"OFAV_PP_OHS3",0.0003404,102.46,0,154.318,-92.603,0.367,"C3","H"
"6","14",14,"OFAV_PP_OHS3",0.0002366,77.029,0.048,154.352,-94.175,0.254,"C3","CH"
"7","15",15,"OFAV_PP_OHS3",0.0003935,108.265,1.033,174,0.25,0.424,"C3","W"
"8","16",16,"OFAV_PP_OHS3",0.0002495,86.86,0.559,148.74,-1.58,0.269,"C3","CW"
"9","17",17,"OFAV_PP_OHS3",0.121,109.926,0,194,0,0,"C3","A"
"10","18",18,"OFAV_PP_OHS3",0.065,108.889,0,194,0,0,"C3","CA"
"11","19",19,"OFAV_PP_OHS3",0.0004192,114.169,71.598,165.825,-109.622,0.452,"C4","H"
"12","2",2,"OFAV_PP_OHS3",0.0002083,143.306,87.314,203.7,-88.107,0.224,"C1","CH"
"13","20",20,"OFAV_PP_OHS3",0.0003009,90.266,1,154,-92.291,0.324,"C4","CH"
"14","21",21,"OFAV_PP_OHS3",0.000415,124.789,2.023,173.544,4.035,0.447,"C4","W"
"15","22",22,"OFAV_PP_OHS3",0.0002675,103.426,0.071,160.495,7.765,0.288,"C4","CW"
"16","23",23,"OFAV_PP_OHS3",0.143,109.39,0,196,0,0,"C4","A"
"17","24",24,"OFAV_PP_OHS3",0.081,110.039,0,196,0,0,"C4","CA"
"18","25",25,"OFAV_PP_OHS3",0.0003515,168.274,0.811,215.556,-79.294,0.379,"C5","H"
"19","26",26,"OFAV_PP_OHS3",0.0002375,116.779,0.055,223.622,-71.171,0.255,"C5","CH"
"20","27",27,"OFAV_PP_OHS3",0.0003335,146.022,0.669,203.602,6.063,0.359,"C5","W"
"21","28",28,"OFAV_PP_OHS3",0.0002443,129.926,3.077e-11,195.46,-2.42,0.263,"C5","CW"
"22","29",29,"OFAV_PP_OHS3",0.115,139.665,0,227,0,0,"C5","A"
"23","3",3,"OFAV_PP_OHS3",0.0003592,145.486,0.475,217.147,-1.644,0.387,"C1","W"
"24","30",30,"OFAV_PP_OHS3",0.062,146.121,0,227,0,0,"C5","CA"
"25","4",4,"OFAV_PP_OHS3",0.0002289,127.874,0.333,201.333,0,0.246,"C1","CW"
"26","5",5,"OFAV_PP_OHS3",0.112,139.44,0,222,0,0,"C1","A"
"27","6",6,"OFAV_PP_OHS3",0.061,143.943,0,222,0,0,"C1","CA"
"28","7",7,"OFAV_PP_OHS3",0.0003644,166.882,95.013,207.333,-91.891,0.393,"C2","H"
"29","8",8,"OFAV_PP_OHS3",0.0001955,140.197,0.385,195.966,-104.281,0.21,"C2","CH"
"30","9",9,"OFAV_PP_OHS3",0.0003318,162.16,3.339,207.594,-10.146,0.357,"C2","W"
