"","Row.names","X","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1",1,"OFAV_PS_2HS6",0.0004001,185.436,2.338,235.621,-79.101,0.443,"C1","H"
"2","10",10,"OFAV_PS_2HS6",0.000198,154.429,0.959,197.094,20.225,0.219,"C2","CW"
"3","11",11,"OFAV_PS_2HS6",0.114,169.61,0,240,0,0,"C2","A"
"4","12",12,"OFAV_PS_2HS6",0.041,145.829,0,240,0,0,"C2","CA"
"5","13",13,"OFAV_PS_2HS6",0.0003757,152.68,0.602,213.221,-92.231,0.417,"C3","H"
"6","14",14,"OFAV_PS_2HS6",0.000224,103.313,0.201,188.602,-98.366,0.248,"C3","CH"
"7","15",15,"OFAV_PS_2HS6",0.0003392,129.204,0.631,196.281,12.171,0.376,"C3","W"
"8","16",16,"OFAV_PS_2HS6",0.000198,93.676,0.861,172.355,8.997,0.219,"C3","CW"
"9","17",17,"OFAV_PS_2HS6",0.114,139.816,0,232,0,0,"C3","A"
"10","18",18,"OFAV_PS_2HS6",0.05,126.637,0,232,0,0,"C3","CA"
"11","19",19,"OFAV_PS_2HS6",0.0003376,137.152,0,193.524,-98.872,0.374,"C4","H"
"12","2",2,"OFAV_PS_2HS6",0.0002289,162.975,80.984,215.966,-78.93,0.253,"C1","CH"
"13","20",20,"OFAV_PS_2HS6",0.0002126,121.989,68.993,188.694,-102.863,0.235,"C4","CH"
"14","21",21,"OFAV_PS_2HS6",0.0003579,154.354,0.386,214.667,12.077,0.396,"C4","W"
"15","22",22,"OFAV_PS_2HS6",0.0001899,143.811,1.379,188.636,11.407,0.21,"C4","CW"
"16","23",23,"OFAV_PS_2HS6",0.104,145.844,0,225,0,0,"C4","A"
"17","24",24,"OFAV_PS_2HS6",0.047,131.831,0,223,0,0,"C4","CA"
"18","25",25,"OFAV_PS_2HS6",0.0003871,154.483,0.176,217.997,-105.846,0.429,"C5","H"
"19","26",26,"OFAV_PS_2HS6",0.0002329,127.545,54.809,205.057,-101.31,0.257,"C5","CH"
"20","27",27,"OFAV_PS_2HS6",0.0004301,161.617,0,209.163,17.819,0.477,"C5","W"
"21","28",28,"OFAV_PS_2HS6",0.0002426,138.793,2.167,206.657,22.946,0.268,"C5","CW"
"22","29",29,"OFAV_PS_2HS6",0.154,159.781,0,238,0,0,"C5","A"
"23","3",3,"OFAV_PS_2HS6",0.0004041,185.452,0.362,229.744,11.853,0.447,"C1","W"
"24","30",30,"OFAV_PS_2HS6",0.056,142.489,0,238,0,0,"C5","CA"
"25","4",4,"OFAV_PS_2HS6",0.0002402,162.052,0.131,226.661,25.263,0.266,"C1","CW"
"26","5",5,"OFAV_PS_2HS6",0.138,184.685,0,251,0,0,"C1","A"
"27","6",6,"OFAV_PS_2HS6",0.053,166.727,0,240,0,0,"C1","CA"
"28","7",7,"OFAV_PS_2HS6",0.0003944,169.322,52.782,235.333,-85.384,0.437,"C2","H"
"29","8",8,"OFAV_PS_2HS6",0.0001931,147.846,0.034,204.481,-89.275,0.214,"C2","CH"
"30","9",9,"OFAV_PS_2HS6",0.0003222,147.826,0.492,218.424,2.169,0.357,"C2","W"
