"","Row.names","X","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1",1,"OFAV_PS_310",0.0004255,174.824,0.03,223.895,-79.089,0.464,"C1","H"
"2","10",10,"OFAV_PS_310",0.0001851,143.495,75.83,217.267,14.982,0.202,"C2","CW"
"3","11",11,"OFAV_PS_310",0.1,179.983,0,229,0,0,"C2","A"
"4","12",12,"OFAV_PS_310",0.045,157.338,0,229,0,0,"C2","CA"
"5","13",13,"OFAV_PS_310",0.0004188,171.234,2.404,224.884,-67.751,0.457,"C3","H"
"6","14",14,"OFAV_PS_310",0.0002354,155.848,71.198,204.805,-86.309,0.256,"C3","CH"
"7","15",15,"OFAV_PS_310",0.00032,177.474,60.596,225.333,12.284,0.348,"C3","W"
"8","16",16,"OFAV_PS_310",0.0001843,159.91,0,214,9.462,0.2,"C3","CW"
"9","17",17,"OFAV_PS_310",0.129,189.308,0,229,0,0,"C3","A"
"10","18",18,"OFAV_PS_310",0.05,175.746,0,229,0,0,"C3","CA"
"11","19",19,"OFAV_PS_310",0.0003661,180.631,0.613,221.002,-80.083,0.399,"C4","H"
"12","2",2,"OFAV_PS_310",0.0002044,160.963,110.889,198.996,-74.249,0.223,"C1","CH"
"13","20",20,"OFAV_PS_310",0.0002086,156.215,0.738,217.581,-63.435,0.227,"C4","CH"
"14","21",21,"OFAV_PS_310",0.0004021,186.178,128.75,224.539,8.282,0.438,"C4","W"
"15","22",22,"OFAV_PS_310",0.0001918,133.77,0,205.333,-0.754,0.209,"C4","CW"
"16","23",23,"OFAV_PS_310",0.127,183.079,0,230,0,0,"C4","A"
"17","24",24,"OFAV_PS_310",0.039,167.468,0,230,0,0,"C4","CA"
"18","25",25,"OFAV_PS_310",0.0004406,162.355,0.377,206.131,-83.443,0.481,"C5","H"
"19","26",26,"OFAV_PS_310",0.000227,138.458,63.6,205.407,-92.545,0.247,"C5","CH"
"20","27",27,"OFAV_PS_310",0.0004683,171.355,0.649,220.892,-0.616,0.511,"C5","W"
"21","28",28,"OFAV_PS_310",0.0002144,130.282,0.314,196.667,3.366,0.234,"C5","CW"
"22","29",29,"OFAV_PS_310",0.166,171.575,0,231,0,0,"C5","A"
"23","3",3,"OFAV_PS_310",0.0004247,194.19,1.001,227.202,24.894,0.463,"C1","W"
"24","30",30,"OFAV_PS_310",0.056,155.443,0,229,0,0,"C5","CA"
"25","4",4,"OFAV_PS_310",0.0002103,147.865,0.139,200.014,4.135,0.228,"C1","CW"
"26","5",5,"OFAV_PS_310",0.124,196.478,0,232,0,0,"C1","A"
"27","6",6,"OFAV_PS_310",0.053,182.547,0,232,0,0,"C1","CA"
"28","7",7,"OFAV_PS_310",0.0003719,179.944,0.848,223.378,-95.054,0.405,"C2","H"
"29","8",8,"OFAV_PS_310",0.0002094,142.719,62.08,194.333,-93.447,0.228,"C2","CH"
"30","9",9,"OFAV_PS_310",0.0003267,178.497,0.843,222.524,9.317,0.356,"C2","W"
