"","Row.names","X","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1",1,"OFAV_PS_365_P1",0.0003606,182.181,115.875,221.717,-66.485,0.392,"C1","H"
"2","10",10,"OFAV_PS_365_P1",0.0002247,128.929,56.006,195.333,22.917,0.245,"C2","CW"
"3","11",11,"OFAV_PS_365_P1",0.126,159.837,0,226,0,0,"C2","A"
"4","12",12,"OFAV_PS_365_P1",0.057,146.162,0,225,0,0,"C2","CA"
"5","13",13,"OFAV_PS_365_P1",0.0003505,169.213,1.392,221.736,-81.442,0.382,"C3","H"
"6","14",14,"OFAV_PS_365_P1",0.0002373,120.865,0.661,213.072,-96.116,0.258,"C3","CH"
"7","15",15,"OFAV_PS_365_P1",0.0004361,162.327,0.876,221.57,21.719,0.475,"C3","W"
"8","16",16,"OFAV_PS_365_P1",0.0002767,117.915,0.333,209.333,26.721,0.301,"C3","CW"
"9","17",17,"OFAV_PS_365_P1",0.148,161.963,0,227,0,0,"C3","A"
"10","18",18,"OFAV_PS_365_P1",0.064,147.521,0,227,0,0,"C3","CA"
"11","19",19,"OFAV_PS_365_P1",0.0004193,173.094,0.77,227.989,-101.085,0.457,"C4","H"
"12","2",2,"OFAV_PS_365_P1",0.0002013,138.232,0.056,215.333,-109.799,0.219,"C1","CH"
"13","20",20,"OFAV_PS_365_P1",0.0002507,153.735,1.069,211.076,-107.583,0.273,"C4","CH"
"14","21",21,"OFAV_PS_365_P1",0.0004218,164.297,0.333,211.009,17.136,0.46,"C4","W"
"15","22",22,"OFAV_PS_365_P1",0.0002289,134.05,0.309,183.333,21.098,0.249,"C4","CW"
"16","23",23,"OFAV_PS_365_P1",0.156,172.068,0,232,0,0,"C4","A"
"17","24",24,"OFAV_PS_365_P1",0.057,156.027,0,226,0,0,"C4","CA"
"18","25",25,"OFAV_PS_365_P1",0.0003153,140.094,0.021,192.674,-63.708,0.343,"C5","H"
"19","26",26,"OFAV_PS_365_P1",0.0001602,84.957,0,183.628,-80.933,0.174,"C5","CH"
"20","27",27,"OFAV_PS_365_P1",0.0003824,142.503,0.018,208.667,12.815,0.417,"C5","W"
"21","28",28,"OFAV_PS_365_P1",0.0002415,111.081,0.031,162.267,17.425,0.263,"C5","CW"
"22","29",29,"OFAV_PS_365_P1",0.121,159.038,0,224,0,0,"C5","A"
"23","3",3,"OFAV_PS_365_P1",0.0004151,164.597,0.221,219.832,11.925,0.452,"C1","W"
"24","30",30,"OFAV_PS_365_P1",0.04,139.851,0,219,0,0,"C5","CA"
"25","4",4,"OFAV_PS_365_P1",0.0002549,155.259,90.671,206.241,21.485,0.278,"C1","CW"
"26","5",5,"OFAV_PS_365_P1",0.133,175.199,0,232,0,0,"C1","A"
"27","6",6,"OFAV_PS_365_P1",0.043,151.692,0,225,0,0,"C1","CA"
"28","7",7,"OFAV_PS_365_P1",0.0003388,157.532,0.01,214.709,-63.816,0.369,"C2","H"
"29","8",8,"OFAV_PS_365_P1",0.0002147,120.542,0.703,167.685,-84.155,0.234,"C2","CH"
"30","9",9,"OFAV_PS_365_P1",0.0004419,159.434,0.11,213.573,20.709,0.482,"C2","W"
