"","Row.names","X","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1",1,"OFAV_PS_9IR44",0.0004891,136.05,0,202.166,-84.319,0.53,"C1","H"
"2","10",10,"OFAV_PS_9IR44",0.0001738,115.881,2.717,155.255,9.324,0.188,"C2","CW"
"3","11",11,"OFAV_PS_9IR44",0.14,155.051,0,213,0,0,"C2","A"
"4","12",12,"OFAV_PS_9IR44",0.048,128.499,0,210,0,0,"C2","CA"
"5","13",13,"OFAV_PS_9IR44",0.0004976,122.221,55.184,160.968,-94.504,0.539,"C3","H"
"6","14",14,"OFAV_PS_9IR44",0.0002526,90.944,0.201,153.355,-86.135,0.273,"C3","CH"
"7","15",15,"OFAV_PS_9IR44",0.0003781,138.106,0.629,188.146,20.225,0.41,"C3","W"
"8","16",16,"OFAV_PS_9IR44",0.0002119,109.2,0.213,171.864,3.691,0.229,"C3","CW"
"9","17",17,"OFAV_PS_9IR44",0.173,148.528,0,210,0,0,"C3","A"
"10","18",18,"OFAV_PS_9IR44",0.066,128.927,0,210,0,0,"C3","CA"
"11","19",19,"OFAV_PS_9IR44",0.0003348,155.043,89.333,198.154,-93.059,0.362,"C4","H"
"12","2",2,"OFAV_PS_9IR44",0.0002077,123.316,0.552,169.888,-79.38,0.225,"C1","CH"
"13","20",20,"OFAV_PS_9IR44",0.0002195,99.91,0.185,167.08,-103.444,0.238,"C4","CH"
"14","21",21,"OFAV_PS_9IR44",0.0003314,146.552,0.761,189.058,13.929,0.36,"C4","W"
"15","22",22,"OFAV_PS_9IR44",0.0001933,94.468,0.698,177.667,14.036,0.209,"C4","CW"
"16","23",23,"OFAV_PS_9IR44",0.09,148.672,0,215,0,0,"C4","A"
"17","24",24,"OFAV_PS_9IR44",0.04,128.207,0,211,0,0,"C4","CA"
"18","25",25,"OFAV_PS_9IR44",0.0004738,126.543,0,185.208,-88.358,0.514,"C5","H"
"19","26",26,"OFAV_PS_9IR44",0.0002645,72.741,0.291,144.284,-77.751,0.286,"C5","CH"
"20","27",27,"OFAV_PS_9IR44",0.0003586,141.038,0.464,218.654,14.826,0.389,"C5","W"
"21","28",28,"OFAV_PS_9IR44",0.0002145,91.386,35.342,174,7.294,0.232,"C5","CW"
"22","29",29,"OFAV_PS_9IR44",0.168,138.159,0,223,0,0,"C5","A"
"23","3",3,"OFAV_PS_9IR44",0.0003475,150.372,69.852,206.074,32.407,0.376,"C1","W"
"24","30",30,"OFAV_PS_9IR44",0.06,111.708,0,223,0,0,"C5","CA"
"25","4",4,"OFAV_PS_9IR44",0.0001806,123.438,84.173,166.24,20.746,0.195,"C1","CW"
"26","5",5,"OFAV_PS_9IR44",0.117,156.261,0,219,0,0,"C1","A"
"27","6",6,"OFAV_PS_9IR44",0.044,133.132,0,211,0,0,"C1","CA"
"28","7",7,"OFAV_PS_9IR44",0.0004298,145.008,0.649,206.051,-84.56,0.466,"C2","H"
"29","8",8,"OFAV_PS_9IR44",0.0002475,115.322,49,192,-90,0.268,"C2","CH"
"30","9",9,"OFAV_PS_9IR44",0.0003119,136.939,1.638,198,7.997,0.337,"C2","W"
