"","Row.names","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1","OFAV_PS_9AZ5",0.0002843,197.025,5.38,224.682,-88.497,0.312,"C1","H"
"2","10","OFAV_PS_9AZ5",0.0002463,144.842,1.038,187.96,4.251,0.27,"C2","CW"
"3","11","OFAV_PS_9AZ5",0.134,174.034,0,234,0,0,"C2","A"
"4","12","OFAV_PS_9AZ5",0.047,145.118,0,217,0,0,"C2","CA"
"5","13","OFAV_PS_9AZ5",0.0003355,180.389,68.678,218.163,-96.528,0.368,"C3","H"
"6","14","OFAV_PS_9AZ5",0.0001917,142.639,0.687,201.482,-97.463,0.21,"C3","CH"
"7","15","OFAV_PS_9AZ5",0.0003901,162.216,0.378,211.577,3.288,0.428,"C3","W"
"8","16","OFAV_PS_9AZ5",0.0002512,156.066,0.339,213.813,5.485,0.276,"C3","CW"
"9","17","OFAV_PS_9AZ5",0.122,174.763,0,226,0,0,"C3","A"
"10","18","OFAV_PS_9AZ5",0.05,166.759,0,226,0,0,"C3","CA"
"11","2","OFAV_PS_9AZ5",0.0001711,149.726,0.333,222.371,-111.956,0.187,"C1","CH"
"12","3","OFAV_PS_9AZ5",0.0003446,180.349,98.126,215.88,3.31,0.378,"C1","W"
"13","4","OFAV_PS_9AZ5",0.0002182,164.613,0.03,213.283,9.642,0.239,"C1","CW"
"14","5","OFAV_PS_9AZ5",0.098,190.647,0,229,0,0,"C1","A"
"15","6","OFAV_PS_9AZ5",0.033,171.974,0,229,0,0,"C1","CA"
"16","7","OFAV_PS_9AZ5",0.000395,161.233,72.148,230.744,-95.173,0.434,"C2","H"
"17","8","OFAV_PS_9AZ5",0.0001909,147.432,85.187,201.748,-96.477,0.21,"C2","CH"
"18","9","OFAV_PS_9AZ5",0.0003421,165.165,2.542,227.14,4.579,0.376,"C2","W"
