"","Row.names","X","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1",1,"OFAV_PS_9AZ9",0.0003222,195.361,176.464,212.667,-94.538,0.349,"C1","H"
"2","10",10,"OFAV_PS_9AZ9",0.0002492,159.479,0.575,207.063,25.514,0.269,"C2","CW"
"3","11",11,"OFAV_PS_9AZ9",0.145,188.964,0,230,0,0,"C2","A"
"4","12",12,"OFAV_PS_9AZ9",0.064,183.218,0,229,0,0,"C2","CA"
"5","13",13,"OFAV_PS_9AZ9",0.0004782,158.74,0.728,209.234,-97.958,0.519,"C3","H"
"6","14",14,"OFAV_PS_9AZ9",0.0002806,137.185,5.912e-12,189.195,-105.803,0.304,"C3","CH"
"7","15",15,"OFAV_PS_9AZ9",0.0003425,152.402,0.324,197.647,12.035,0.371,"C3","W"
"8","16",16,"OFAV_PS_9AZ9",0.000234,122.558,0.09,182.796,14.34,0.253,"C3","CW"
"9","17",17,"OFAV_PS_9AZ9",0.135,165.715,0,214,0,0,"C3","A"
"10","18",18,"OFAV_PS_9AZ9",0.064,150.008,0,211,0,0,"C3","CA"
"11","19",19,"OFAV_PS_9AZ9",0.0004646,157.298,0.683,194.473,-92.726,0.503,"C4","H"
"12","2",2,"OFAV_PS_9AZ9",0.0001874,177.876,0.843,213.699,-104.226,0.202,"C1","CH"
"13","20",20,"OFAV_PS_9AZ9",0.0002789,128.05,0,196.705,-93.141,0.302,"C4","CH"
"14","21",21,"OFAV_PS_9AZ9",0.0003425,163.34,0.398,197.755,22.751,0.371,"C4","W"
"15","22",22,"OFAV_PS_9AZ9",0.0002467,118.079,0.32,182.034,25.327,0.267,"C4","CW"
"16","23",23,"OFAV_PS_9AZ9",0.131,166.951,0,214,0,0,"C4","A"
"17","24",24,"OFAV_PS_9AZ9",0.067,155.192,0,214,0,0,"C4","CA"
"18","25",25,"OFAV_PS_9AZ9",0.0004502,157.734,0.325,191.029,-96.722,0.488,"C5","H"
"19","26",26,"OFAV_PS_9AZ9",0.0002755,147.643,43,174.909,-98.881,0.298,"C5","CH"
"20","27",27,"OFAV_PS_9AZ9",0.0005019,152.376,60.279,188.883,30.731,0.544,"C5","W"
"21","28",28,"OFAV_PS_9AZ9",0.0002798,129.193,0.357,181.667,25.942,0.303,"C5","CW"
"22","29",29,"OFAV_PS_9AZ9",0.175,161.584,0,206,0,0,"C5","A"
"23","3",3,"OFAV_PS_9AZ9",0.0003535,179.217,0.794,217.639,21.571,0.383,"C1","W"
"24","30",30,"OFAV_PS_9AZ9",0.073,149.653,0,205,0,0,"C5","CA"
"25","4",4,"OFAV_PS_9AZ9",0.0002281,170.338,0.174,206.59,19.654,0.246,"C1","CW"
"26","5",5,"OFAV_PS_9AZ9",0.09,188.88,0,223,0,0,"C1","A"
"27","6",6,"OFAV_PS_9AZ9",0.036,177.534,0,220,0,0,"C1","CA"
"28","7",7,"OFAV_PS_9AZ9",0.0004324,172.187,0.145,224,-93.829,0.469,"C2","H"
"29","8",8,"OFAV_PS_9AZ9",0.0002289,168.156,0.488,204.808,-85.307,0.248,"C2","CH"
"30","9",9,"OFAV_PS_9AZ9",0.0004205,173.322,102.614,212.594,22.317,0.456,"C2","W"
