"","Row.names","X","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1",1,"OFAV_PS_9EV35",0.0004054,185.903,0.196,228.434,-76.072,0.457,"C1","H"
"2","10",10,"OFAV_PS_9EV35",0.0002027,163.663,109.994,211.851,20.973,0.228,"C2","CW"
"3","11",11,"OFAV_PS_9EV35",0.151,187.668,0,231,0,0,"C2","A"
"4","12",12,"OFAV_PS_9EV35",0.065,170.558,0,229,0,0,"C2","CA"
"5","13",13,"OFAV_PS_9EV35",0.0004031,153.375,0.051,200.288,-95.042,0.454,"C3","H"
"6","14",14,"OFAV_PS_9EV35",0.0002271,131.397,0.333,183.375,-87.614,0.256,"C3","CH"
"7","15",15,"OFAV_PS_9EV35",0.0003001,145.159,0.685,195.333,21.718,0.338,"C3","W"
"8","16",16,"OFAV_PS_9EV35",0.0002255,136.76,0.343,181,19.006,0.253,"C3","CW"
"9","17",17,"OFAV_PS_9EV35",0.145,153.389,0,212,0,0,"C3","A"
"10","18",18,"OFAV_PS_9EV35",0.054,142.001,0,203,0,0,"C3","CA"
"11","19",19,"OFAV_PS_9EV35",0.0004353,176.841,110.466,212.45,-83.145,0.49,"C4","H"
"12","2",2,"OFAV_PS_9EV35",0.0002624,188.473,6.443,217.667,-100.366,0.296,"C1","CH"
"13","20",20,"OFAV_PS_9EV35",0.0002687,156.139,0.715,208.667,-95.56,0.302,"C4","CH"
"14","21",21,"OFAV_PS_9EV35",0.0004706,175.174,0.041,210.478,31.457,0.53,"C4","W"
"15","22",22,"OFAV_PS_9EV35",0.0002601,170.978,103.469,212.476,31.232,0.292,"C4","CW"
"16","23",23,"OFAV_PS_9EV35",0.152,179.295,0,227,0,0,"C4","A"
"17","24",24,"OFAV_PS_9EV35",0.07,165.675,0,227,0,0,"C4","CA"
"18","25",25,"OFAV_PS_9EV35",0.0004282,180.346,0.638,229.525,-80.053,0.482,"C5","H"
"19","26",26,"OFAV_PS_9EV35",0.0002459,129.467,0.583,200.308,-83.741,0.276,"C5","CH"
"20","27",27,"OFAV_PS_9EV35",0.0004416,191.558,0.44,231.984,23.735,0.498,"C5","W"
"21","28",28,"OFAV_PS_9EV35",0.0002255,152.494,0.215,217.333,15.009,0.253,"C5","CW"
"22","29",29,"OFAV_PS_9EV35",0.185,190.622,0,235,0,0,"C5","A"
"23","3",3,"OFAV_PS_9EV35",0.0004046,206.208,0.333,227.339,23.374,0.456,"C1","W"
"24","30",30,"OFAV_PS_9EV35",0.064,174.286,0,230,0,0,"C5","CA"
"25","4",4,"OFAV_PS_9EV35",0.0002263,177.891,0.327,223.333,16.164,0.255,"C1","CW"
"26","5",5,"OFAV_PS_9EV35",0.151,201.576,0,233,0,0,"C1","A"
"27","6",6,"OFAV_PS_9EV35",0.055,188.852,0,227,0,0,"C1","CA"
"28","7",7,"OFAV_PS_9EV35",0.000429,179.555,0.765,219.899,-93.366,0.483,"C2","H"
"29","8",8,"OFAV_PS_9EV35",0.0002585,168.753,125.714,217,-98.427,0.29,"C2","CH"
"30","9",9,"OFAV_PS_9EV35",0.0004086,182.86,1.354,231.228,23.604,0.46,"C2","W"
