"","Row.names","X","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1",1,"OFAV_PS_9GT4",0.0002552,167.085,2.883,232.409,-102.288,0.281,"C1","H"
"2","10",10,"OFAV_PS_9GT4",0.000201,108.953,3.19,177.488,14.207,0.221,"C2","CW"
"3","11",11,"OFAV_PS_9GT4",0.079,140.285,0,221,0,0,"C2","A"
"4","12",12,"OFAV_PS_9GT4",0.034,114.868,0,213,0,0,"C2","CA"
"5","13",13,"OFAV_PS_9GT4",0.0002601,129.962,1.308,204.222,-86.73,0.286,"C3","H"
"6","14",14,"OFAV_PS_9GT4",0.0001526,98.427,0.386,169.293,-81.607,0.168,"C3","CH"
"7","15",15,"OFAV_PS_9GT4",0.0002888,126.3,58.813,180.835,7.853,0.318,"C3","W"
"8","16",16,"OFAV_PS_9GT4",0.000224,120.423,0.76,173.52,6.34,0.246,"C3","CW"
"9","17",17,"OFAV_PS_9GT4",0.075,141.872,0,216,0,0,"C3","A"
"10","18",18,"OFAV_PS_9GT4",0.042,120.599,0,216,0,0,"C3","CA"
"11","19",19,"OFAV_PS_9GT4",0.000311,138.964,0.297,209.104,-98.216,0.342,"C4","H"
"12","2",2,"OFAV_PS_9GT4",0.0001551,131.27,0.163,197.886,-112.479,0.171,"C1","CH"
"13","20",20,"OFAV_PS_9GT4",0.000192,115.605,53.564,165.925,-93.945,0.211,"C4","CH"
"14","21",21,"OFAV_PS_9GT4",0.000288,125.035,0.084,217.758,5.58,0.317,"C4","W"
"15","22",22,"OFAV_PS_9GT4",0.0001969,127.316,0.333,190.218,4.803,0.216,"C4","CW"
"16","23",23,"OFAV_PS_9GT4",0.086,146.461,0,226,0,0,"C4","A"
"17","24",24,"OFAV_PS_9GT4",0.044,130.97,0,219,0,0,"C4","CA"
"18","25",25,"OFAV_PS_9GT4",0.0003134,118.162,0.333,204.774,-93.614,0.345,"C5","H"
"19","26",26,"OFAV_PS_9GT4",0.0002035,99.336,0.75,187.149,-81.607,0.223,"C5","CH"
"20","27",27,"OFAV_PS_9GT4",0.000306,117.88,1.223,191.739,8.805,0.337,"C5","W"
"21","28",28,"OFAV_PS_9GT4",0.0001961,92.046,0.075,190.333,5.543,0.216,"C5","CW"
"22","29",29,"OFAV_PS_9GT4",0.087,144.912,0,222,0,0,"C5","A"
"23","3",3,"OFAV_PS_9GT4",0.0003306,143.987,0,208.836,-0.855,0.364,"C1","W"
"24","30",30,"OFAV_PS_9GT4",0.04,122.313,0,222,0,0,"C5","CA"
"25","4",4,"OFAV_PS_9GT4",0.0002035,126.266,0.31,204.164,5.572,0.224,"C1","CW"
"26","5",5,"OFAV_PS_9GT4",0.082,159.519,0,233,0,0,"C1","A"
"27","6",6,"OFAV_PS_9GT4",0.035,136.083,0,223,0,0,"C1","CA"
"28","7",7,"OFAV_PS_9GT4",0.0002642,125.606,0.218,191.067,-98.054,0.291,"C2","H"
"29","8",8,"OFAV_PS_9GT4",0.0001715,98.104,0.35,191.356,-96.613,0.189,"C2","CH"
"30","9",9,"OFAV_PS_9GT4",0.0003249,125.614,0,203.631,25.201,0.357,"C2","W"
