"","Row.names","X","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1",1,"OFAV_PS_9JQ431",0.0003942,135.689,3.315,153.998,-86.379,0.432,"C1","H"
"2","10",10,"OFAV_PS_9JQ431",0.0001615,133.04,2.983,163.247,13.392,0.177,"C2","CW"
"3","11",11,"OFAV_PS_9JQ431",0.076,149.865,0,185,0,0,"C2","A"
"4","12",12,"OFAV_PS_9JQ431",0.03,135.961,0,180,0,0,"C2","CA"
"5","13",13,"OFAV_PS_9JQ431",0.0003595,142.554,0.152,165.42,-94.764,0.395,"C3","H"
"6","14",14,"OFAV_PS_9JQ431",0.0001922,124.116,78.273,150.866,-93.715,0.211,"C3","CH"
"7","15",15,"OFAV_PS_9JQ431",0.0003636,137.325,0.38,164.26,11.848,0.399,"C3","W"
"8","16",16,"OFAV_PS_9JQ431",0.0002095,126.215,0.321,157.333,15.195,0.229,"C3","CW"
"9","17",17,"OFAV_PS_9JQ431",0.109,140.804,0,179,0,0,"C3","A"
"10","18",18,"OFAV_PS_9JQ431",0.04,129.583,0,171,0,0,"C3","CA"
"11","19",19,"OFAV_PS_9JQ431",0.0003694,128.003,0,163.414,-79.523,0.405,"C4","H"
"12","2",2,"OFAV_PS_9JQ431",0.0002559,103.191,0.017,154.524,-100.105,0.28,"C1","CH"
"13","20",20,"OFAV_PS_9JQ431",0.0002029,137.297,103.093,158.932,-85.764,0.222,"C4","CH"
"14","21",21,"OFAV_PS_9JQ431",0.0003959,148.383,86.236,187.786,17.182,0.434,"C4","W"
"15","22",22,"OFAV_PS_9JQ431",0.000198,116.605,0.154,166.63,16.837,0.217,"C4","CW"
"16","23",23,"OFAV_PS_9JQ431",0.125,149.83,0,190,0,0,"C4","A"
"17","24",24,"OFAV_PS_9JQ431",0.054,140.295,0,184,0,0,"C4","CA"
"18","25",25,"OFAV_PS_9JQ431",0.0003363,134.895,0.158,175.4,-90.849,0.369,"C5","H"
"19","26",26,"OFAV_PS_9JQ431",0.0001971,134.034,98.662,166,-87.825,0.216,"C5","CH"
"20","27",27,"OFAV_PS_9JQ431",0.0003785,131.013,0.162,172.215,17.601,0.415,"C5","W"
"21","28",28,"OFAV_PS_9JQ431",0.000193,119.147,2.983,157.884,16.557,0.211,"C5","CW"
"22","29",29,"OFAV_PS_9JQ431",0.114,148.142,0,179,0,0,"C5","A"
"23","3",3,"OFAV_PS_9JQ431",0.0003611,125.52,0.138,156.903,13.557,0.396,"C1","W"
"24","30",30,"OFAV_PS_9JQ431",0.049,134.794,0,179,0,0,"C5","CA"
"25","4",4,"OFAV_PS_9JQ431",0.0002269,118.407,0.044,146.867,19.231,0.249,"C1","CW"
"26","5",5,"OFAV_PS_9JQ431",0.13,136.22,0,169,0,0,"C1","A"
"27","6",6,"OFAV_PS_9JQ431",0.055,130.191,0,169,0,0,"C1","CA"
"28","7",7,"OFAV_PS_9JQ431",0.0002833,129.815,0.118,172.254,-96.563,0.311,"C2","H"
"29","8",8,"OFAV_PS_9JQ431",0.0001483,116.373,0,166.118,-96.766,0.162,"C2","CH"
"30","9",9,"OFAV_PS_9JQ431",0.0003031,138.625,0.48,177.843,11.864,0.332,"C2","W"
