"","Row.names","X","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1",1,"OFAV_PS_AZ",0.0003562,204.266,113.868,229.667,-88.324,0.382,"C1","H"
"2","10",10,"OFAV_PS_AZ",0.0002375,175.178,0.26,222.775,11.392,0.255,"C2","CW"
"3","11",11,"OFAV_PS_AZ",0.128,195.981,0,236,0,0,"C2","A"
"4","12",12,"OFAV_PS_AZ",0.059,173.016,0,233,0,0,"C2","CA"
"5","13",13,"OFAV_PS_AZ",0.0003831,168.794,0.701,218.257,-74.197,0.41,"C3","H"
"6","14",14,"OFAV_PS_AZ",0.0002453,141.598,0,203.667,-90,0.263,"C3","CH"
"7","15",15,"OFAV_PS_AZ",0.0004212,183.699,0.469,213.782,17.016,0.452,"C3","W"
"8","16",16,"OFAV_PS_AZ",0.0002253,164.048,89.505,210.003,23.199,0.241,"C3","CW"
"9","17",17,"OFAV_PS_AZ",0.114,188.455,0,230,0,0,"C3","A"
"10","18",18,"OFAV_PS_AZ",0.055,169.891,0,229,0,0,"C3","CA"
"11","19",19,"OFAV_PS_AZ",0.0003545,186.736,0.206,226.882,-72.897,0.38,"C4","H"
"12","2",2,"OFAV_PS_AZ",0.000221,192.697,3.845,225.979,-93.155,0.237,"C1","CH"
"13","20",20,"OFAV_PS_AZ",0.0002479,156.465,0.502,216.952,-94.83,0.265,"C4","CH"
"14","21",21,"OFAV_PS_AZ",0.0003467,176.904,0.105,236.571,28.748,0.372,"C4","W"
"15","22",22,"OFAV_PS_AZ",0.0002141,164.767,0,219.667,26.565,0.229,"C4","CW"
"16","23",23,"OFAV_PS_AZ",0.095,191.885,0,239,0,0,"C4","A"
"17","24",24,"OFAV_PS_AZ",0.049,173.793,0,226,0,0,"C4","CA"
"18","25",25,"OFAV_PS_AZ",0.0003718,163.671,1.306,216.578,-94.83,0.398,"C5","H"
"19","26",26,"OFAV_PS_AZ",0.000234,140.651,91.269,198.211,-95.964,0.251,"C5","CH"
"20","27",27,"OFAV_PS_AZ",0.00039,178.024,0.734,215.992,4.086,0.418,"C5","W"
"21","28",28,"OFAV_PS_AZ",0.0002288,142.089,0.482,209.576,5.667,0.245,"C5","CW"
"22","29",29,"OFAV_PS_AZ",0.101,181.518,0,226,0,0,"C5","A"
"23","3",3,"OFAV_PS_AZ",0.0004568,198.079,0.141,228.667,15.332,0.489,"C1","W"
"24","30",30,"OFAV_PS_AZ",0.052,163.321,0,221,0,0,"C5","CA"
"25","4",4,"OFAV_PS_AZ",0.0002331,170.605,0,229.892,11.184,0.25,"C1","CW"
"26","5",5,"OFAV_PS_AZ",0.104,204.751,0,241,0,0,"C1","A"
"27","6",6,"OFAV_PS_AZ",0.05,187.405,0,239,0,0,"C1","CA"
"28","7",7,"OFAV_PS_AZ",0.0004282,189.367,0.615,227.333,-86.975,0.459,"C2","H"
"29","8",8,"OFAV_PS_AZ",0.0002617,153.179,92.829,208.966,-85.426,0.28,"C2","CH"
"30","9",9,"OFAV_PS_AZ",0.0003805,196.924,0.406,222.017,12.131,0.408,"C2","W"
