"","Row.names","X","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1",1,"OFAV_PS_CX",0.0004085,154.202,0.2,225.429,-87.184,0.446,"C1","H"
"2","10",10,"OFAV_PS_CX",0.0001967,163.997,1.104,210.583,11.31,0.214,"C2","CW"
"3","11",11,"OFAV_PS_CX",0.131,197.432,0,240,0,0,"C2","A"
"4","12",12,"OFAV_PS_CX",0.052,178.877,0,240,0,0,"C2","CA"
"5","13",13,"OFAV_PS_CX",0.0004794,174.107,2.099,231.726,-96.406,0.524,"C3","H"
"6","14",14,"OFAV_PS_CX",0.0002643,121.98,0.333,214.342,-92.537,0.289,"C3","CH"
"7","15",15,"OFAV_PS_CX",0.0003276,170.865,0.49,219.932,14.178,0.358,"C3","W"
"8","16",16,"OFAV_PS_CX",0.0001851,148.433,0.167,217.26,12.529,0.202,"C3","CW"
"9","17",17,"OFAV_PS_CX",0.132,189.773,0,235,0,0,"C3","A"
"10","18",18,"OFAV_PS_CX",0.049,162.306,0,234,0,0,"C3","CA"
"11","19",19,"OFAV_PS_CX",0.000406,190.772,0.657,222.148,-88.114,0.444,"C4","H"
"12","2",2,"OFAV_PS_CX",0.0002076,150.978,8.909,209.667,-88.614,0.227,"C1","CH"
"13","20",20,"OFAV_PS_CX",0.0002584,153.035,81.504,218.337,-94.086,0.282,"C4","CH"
"14","21",21,"OFAV_PS_CX",0.0003585,182.708,0.208,228.152,10.472,0.392,"C4","W"
"15","22",22,"OFAV_PS_CX",0.0002118,123.888,2.406e-11,205,17.003,0.231,"C4","CW"
"16","23",23,"OFAV_PS_CX",0.127,184.183,0,236,0,0,"C4","A"
"17","24",24,"OFAV_PS_CX",0.057,160.107,0,236,0,0,"C4","CA"
"18","25",25,"OFAV_PS_CX",0.0004077,194.107,2.325,236.472,-84.359,0.446,"C5","H"
"19","26",26,"OFAV_PS_CX",0.0002426,126.371,0.028,210.786,-90.395,0.265,"C5","CH"
"20","27",27,"OFAV_PS_CX",0.0003685,179.058,0.624,222.679,-15.803,0.402,"C5","W"
"21","28",28,"OFAV_PS_CX",0.0001917,148.137,0.703,201.313,5.013,0.209,"C5","CW"
"22","29",29,"OFAV_PS_CX",0.115,184.817,0,237,0,0,"C5","A"
"23","3",3,"OFAV_PS_CX",0.0003001,181.512,0.049,224.88,10.934,0.327,"C1","W"
"24","30",30,"OFAV_PS_CX",0.05,159.348,0,237,0,0,"C5","CA"
"25","4",4,"OFAV_PS_CX",0.0001651,150.883,0.374,221,19.537,0.18,"C1","CW"
"26","5",5,"OFAV_PS_CX",0.104,194.201,0,231,0,0,"C1","A"
"27","6",6,"OFAV_PS_CX",0.042,174.573,0,230,0,0,"C1","CA"
"28","7",7,"OFAV_PS_CX",0.0003802,182.55,0.656,222.489,-94.283,0.416,"C2","H"
"29","8",8,"OFAV_PS_CX",0.0002551,166.985,95.862,215.667,-100.574,0.279,"C2","CH"
"30","9",9,"OFAV_PS_CX",0.000346,186.464,0.304,225,4.994,0.378,"C2","W"
