"","Row.names","X","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1",1,"OFAV_PS_DW",0.0003762,194.896,124.563,224.333,-85.112,0.414,"C1","H"
"2","10",10,"OFAV_PS_DW",0.0002139,142.884,0.113,216.963,20.943,0.236,"C2","CW"
"3","11",11,"OFAV_PS_DW",0.104,185.769,0,232,0,0,"C2","A"
"4","12",12,"OFAV_PS_DW",0.039,179.582,0,232,0,0,"C2","CA"
"5","13",13,"OFAV_PS_DW",0.0003172,180.342,0.536,217,-81.954,0.349,"C3","H"
"6","14",14,"OFAV_PS_DW",0.0001844,163.215,79.173,211.44,-86.934,0.203,"C3","CH"
"7","15",15,"OFAV_PS_DW",0.000309,181.631,86.173,215.077,13.223,0.34,"C3","W"
"8","16",16,"OFAV_PS_DW",0.0001828,159.518,0.525,201.801,13.536,0.201,"C3","CW"
"9","17",17,"OFAV_PS_DW",0.091,188.854,0,229,0,0,"C3","A"
"10","18",18,"OFAV_PS_DW",0.037,172.02,0,229,0,0,"C3","CA"
"11","19",19,"OFAV_PS_DW",0.0003721,187.453,0.478,219,-77.499,0.41,"C4","H"
"12","2",2,"OFAV_PS_DW",0.0001951,160.194,6.527,183.333,-86.379,0.215,"C1","CH"
"13","20",20,"OFAV_PS_DW",0.0002156,127.934,7.503e-12,208.66,-78.089,0.237,"C4","CH"
"14","21",21,"OFAV_PS_DW",0.0003385,183.655,0.499,218.09,12.89,0.373,"C4","W"
"15","22",22,"OFAV_PS_DW",0.0002033,135.961,0.559,209.462,13.586,0.224,"C4","CW"
"16","23",23,"OFAV_PS_DW",0.121,183.387,0,237,0,0,"C4","A"
"17","24",24,"OFAV_PS_DW",0.048,168.545,0,234,0,0,"C4","CA"
"18","25",25,"OFAV_PS_DW",0.0003582,181.56,0.333,217.505,-91.577,0.395,"C5","H"
"19","26",26,"OFAV_PS_DW",0.0002123,172.533,134.333,205.064,-102.529,0.234,"C5","CH"
"20","27",27,"OFAV_PS_DW",0.0003418,172.877,0.423,212.667,2.203,0.377,"C5","W"
"21","28",28,"OFAV_PS_DW",0.0001926,124.947,0.453,196.103,1.469,0.212,"C5","CW"
"22","29",29,"OFAV_PS_DW",0.111,177.06,0,227,0,0,"C5","A"
"23","3",3,"OFAV_PS_DW",0.0003369,163.996,0.343,216.538,6.294,0.372,"C1","W"
"24","30",30,"OFAV_PS_DW",0.042,164.389,0,222,0,0,"C5","CA"
"25","4",4,"OFAV_PS_DW",0.0002041,170.015,0.368,204.664,16.899,0.224,"C1","CW"
"26","5",5,"OFAV_PS_DW",0.103,184.163,0,232,0,0,"C1","A"
"27","6",6,"OFAV_PS_DW",0.042,168.656,0,232,0,0,"C1","CA"
"28","7",7,"OFAV_PS_DW",0.000318,189.993,0.876,225.333,-92.663,0.351,"C2","H"
"29","8",8,"OFAV_PS_DW",0.0001959,170.23,115.757,210.457,-100.176,0.215,"C2","CH"
"30","9",9,"OFAV_PS_DW",0.0003254,177.854,0.545,221.236,19.946,0.358,"C2","W"
