"","Row.names","X","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1",1,"OFAV_PS_EV",0.0003595,116.44,0.029,187.453,-83.904,0.386,"C1","H"
"2","10",10,"OFAV_PS_EV",0.0002192,110.831,52.603,167.714,12.824,0.235,"C2","CW"
"3","11",11,"OFAV_PS_EV",0.124,141.135,0,184,0,0,"C2","A"
"4","12",12,"OFAV_PS_EV",0.058,123.287,0,184,0,0,"C2","CA"
"5","13",13,"OFAV_PS_EV",0.0003093,135.965,0.479,173.809,-89.356,0.331,"C3","H"
"6","14",14,"OFAV_PS_EV",0.0002027,114.227,0.712,150.12,-84.583,0.217,"C3","CH"
"7","15",15,"OFAV_PS_EV",0.0003846,130.604,0.333,167.127,17.616,0.412,"C3","W"
"8","16",16,"OFAV_PS_EV",0.0002382,100.953,0.961,145.259,13.528,0.255,"C3","CW"
"9","17",17,"OFAV_PS_EV",0.134,145.67,0,184,0,0,"C3","A"
"10","18",18,"OFAV_PS_EV",0.057,123.381,0,181,0,0,"C3","CA"
"11","19",19,"OFAV_PS_EV",0.0003734,145.809,0.463,211.355,-95.87,0.4,"C4","H"
"12","2",2,"OFAV_PS_EV",0.0002244,94,0.333,168.667,-91.776,0.24,"C1","CH"
"13","20",20,"OFAV_PS_EV",0.0002348,134.156,0.519,178.333,-87.455,0.252,"C4","CH"
"14","21",21,"OFAV_PS_EV",0.0003993,153.717,0.018,202.475,9.503,0.428,"C4","W"
"15","22",22,"OFAV_PS_EV",0.0002192,132.872,0.444,170.333,2.726,0.235,"C4","CW"
"16","23",23,"OFAV_PS_EV",0.116,157.52,0,205,0,0,"C4","A"
"17","24",24,"OFAV_PS_EV",0.061,144.323,0,203,0,0,"C4","CA"
"18","25",25,"OFAV_PS_EV",0.0003188,133.012,0.439,180.183,-103.241,0.341,"C5","H"
"19","26",26,"OFAV_PS_EV",0.0002131,128.42,0.112,172.592,-89.065,0.228,"C5","CH"
"20","27",27,"OFAV_PS_EV",0.0003335,133.956,0.296,179.922,8.088,0.357,"C5","W"
"21","28",28,"OFAV_PS_EV",0.0002079,102.384,0.667,173.234,3.113,0.223,"C5","CW"
"22","29",29,"OFAV_PS_EV",0.121,155.884,0,191,0,0,"C5","A"
"23","3",3,"OFAV_PS_EV",0.0003968,133.556,0.104,171,11.605,0.426,"C1","W"
"24","30",30,"OFAV_PS_EV",0.05,136.071,0,191,0,0,"C5","CA"
"25","4",4,"OFAV_PS_EV",0.0002599,117.53,0.049,156.288,12.362,0.278,"C1","CW"
"26","5",5,"OFAV_PS_EV",0.139,151.041,0,196,0,0,"C1","A"
"27","6",6,"OFAV_PS_EV",0.057,131.28,0,184,0,0,"C1","CA"
"28","7",7,"OFAV_PS_EV",0.0004071,120.714,0.029,164.441,-79.935,0.437,"C2","H"
"29","8",8,"OFAV_PS_EV",0.0002452,110.934,2.442,149.44,-89.187,0.262,"C2","CH"
"30","9",9,"OFAV_PS_EV",0.0003742,131.661,0.141,178.572,19.529,0.401,"C2","W"
