"","Row.names","X","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1",1,"OFAV_PS_OHS12",0.0003897,187.597,129.84,221.333,-74.088,0.429,"C1","H"
"2","10",10,"OFAV_PS_OHS12",0.0001895,133.159,3.79e-13,214.101,1.992,0.208,"C2","CW"
"3","11",11,"OFAV_PS_OHS12",0.119,185.555,0,235,0,0,"C2","A"
"4","12",12,"OFAV_PS_OHS12",0.052,166.713,0,224,0,0,"C2","CA"
"5","13",13,"OFAV_PS_OHS12",0.0004455,157.439,2.195,217.751,-76.99,0.491,"C3","H"
"6","14",14,"OFAV_PS_OHS12",0.000233,153.03,92.371,202.047,-85.135,0.256,"C3","CH"
"7","15",15,"OFAV_PS_OHS12",0.0002543,169.287,0.333,217.858,-10.072,0.28,"C3","W"
"8","16",16,"OFAV_PS_OHS12",0.0001592,145.205,0.897,201.852,12.593,0.174,"C3","CW"
"9","17",17,"OFAV_PS_OHS12",0.101,165.865,0,224,0,0,"C3","A"
"10","18",18,"OFAV_PS_OHS12",0.04,148.828,0,222,0,0,"C3","CA"
"11","19",19,"OFAV_PS_OHS12",0.0004266,156.057,75.657,216.296,-86.685,0.47,"C4","H"
"12","2",2,"OFAV_PS_OHS12",0.0002207,140.654,3.214,204.667,-88.29,0.243,"C1","CH"
"13","20",20,"OFAV_PS_OHS12",0.0002683,132.81,0,196.949,-88.594,0.295,"C4","CH"
"14","21",21,"OFAV_PS_OHS12",0.0002748,155.262,80.288,199.44,-8.616,0.302,"C4","W"
"15","22",22,"OFAV_PS_OHS12",0.0001854,124.478,0.302,205.868,-6.116,0.204,"C4","CW"
"16","23",23,"OFAV_PS_OHS12",0.115,160.898,0,221,0,0,"C4","A"
"17","24",24,"OFAV_PS_OHS12",0.053,146.652,0,219,0,0,"C4","CA"
"18","25",25,"OFAV_PS_OHS12",0.0004307,167.676,0.315,206.732,-93.938,0.475,"C5","H"
"19","26",26,"OFAV_PS_OHS12",0.000242,110.276,0.093,181.251,-94.877,0.266,"C5","CH"
"20","27",27,"OFAV_PS_OHS12",0.000306,164.268,0.302,210.387,2.001,0.337,"C5","W"
"21","28",28,"OFAV_PS_OHS12",0.0001813,147.949,99.523,198.586,3.382,0.2,"C5","CW"
"22","29",29,"OFAV_PS_OHS12",0.112,166.394,0,229,0,0,"C5","A"
"23","3",3,"OFAV_PS_OHS12",0.0003011,174.066,0.149,213.27,-21.801,0.332,"C1","W"
"24","30",30,"OFAV_PS_OHS12",0.052,150.45,0,227,0,0,"C5","CA"
"25","4",4,"OFAV_PS_OHS12",0.0001633,144.638,0.027,218.398,16.422,0.179,"C1","CW"
"26","5",5,"OFAV_PS_OHS12",0.09,178.312,0,226,0,0,"C1","A"
"27","6",6,"OFAV_PS_OHS12",0.041,164.38,0,224,0,0,"C1","CA"
"28","7",7,"OFAV_PS_OHS12",0.0004045,168.89,0.1,218.159,-89.767,0.446,"C2","H"
"29","8",8,"OFAV_PS_OHS12",0.0002256,153.66,97.943,206.446,-96.71,0.248,"C2","CH"
"30","9",9,"OFAV_PS_OHS12",0.0003495,186.383,0.9,217.122,3.778,0.385,"C2","W"
