"","Row.names","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1","OFAV_SP_0AZ4",0.000315,168.288,13.811,205.644,-98.194,0.345,"C1","H"
"2","10","OFAV_SP_0AZ4",0.0002006,136.598,0.523,191,13.69,0.219,"C2","CW"
"3","11","OFAV_SP_0AZ4",0.094,150.612,0,212,0,0,"C2","A"
"4","12","OFAV_SP_0AZ4",0.043,134.366,0,210,0,0,"C2","CA"
"5","13","OFAV_SP_0AZ4",0.0003423,167.715,0,227,-108.962,0.375,"C3","H"
"6","14","OFAV_SP_0AZ4",0.000213,119.83,0.367,191.456,-102.626,0.233,"C3","CH"
"7","15","OFAV_SP_0AZ4",0.0003025,170.375,0.624,213.993,10.136,0.331,"C3","W"
"8","16","OFAV_SP_0AZ4",0.000218,125.835,0.891,201.962,0.875,0.239,"C3","CW"
"9","17","OFAV_SP_0AZ4",0.1,163,0,231,0,0,"C3","A"
"10","18","OFAV_SP_0AZ4",0.054,147.885,0,230,0,0,"C3","CA"
"11","19","OFAV_SP_0AZ4",0.000334,168.729,0.29,215.882,-95.852,0.366,"C4","H"
"12","2","OFAV_SP_0AZ4",0.0002147,108.831,0.008,191,-102.095,0.235,"C1","CH"
"13","20","OFAV_SP_0AZ4",0.0002495,99.397,0.133,200.642,-93.827,0.273,"C4","CH"
"14","21","OFAV_SP_0AZ4",0.0003398,143.897,0.132,216.913,14.444,0.372,"C4","W"
"15","22","OFAV_SP_0AZ4",0.0002362,148.494,0.213,218.171,5.45,0.259,"C4","CW"
"16","23","OFAV_SP_0AZ4",0.109,167.881,0,230,0,0,"C4","A"
"17","24","OFAV_SP_0AZ4",0.056,155.045,0,230,0,0,"C4","CA"
"18","25","OFAV_SP_0AZ4",0.0004012,157.56,0.245,214.785,-83.581,0.44,"C5","H"
"19","26","OFAV_SP_0AZ4",0.0002362,130.091,0,188.643,-89.395,0.259,"C5","CH"
"20","27","OFAV_SP_0AZ4",0.0003199,165.709,0.32,201.077,8.973,0.35,"C5","W"
"21","28","OFAV_SP_0AZ4",0.0002246,141.749,0.359,191.268,7.89,0.245,"C5","CW"
"22","29","OFAV_SP_0AZ4",0.117,163.048,0,228,0,0,"C5","A"
"23","3","OFAV_SP_0AZ4",0.0003299,147.797,0.079,188.035,7.824,0.361,"C1","W"
"24","30","OFAV_SP_0AZ4",0.052,155.189,0,228,0,0,"C5","CA"
"25","4","OFAV_SP_0AZ4",0.0002147,147.547,0.407,196.202,9.353,0.235,"C1","CW"
"26","5","OFAV_SP_0AZ4",0.113,158.91,0,220,0,0,"C1","A"
"27","6","OFAV_SP_0AZ4",0.053,149.122,0,220,0,0,"C1","CA"
"28","7","OFAV_SP_0AZ4",0.0003349,153.69,68.267,191.333,-79.276,0.367,"C2","H"
"29","8","OFAV_SP_0AZ4",0.0002122,132.454,68.522,180.369,-92.021,0.232,"C2","CH"
"30","9","OFAV_SP_0AZ4",0.000286,153.653,0.277,188.21,18.277,0.314,"C2","W"
