"","Row.names","X","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1",1,"OFAV_SP_2AZ7_P4",0.0002555,87.054,0.414,117.939,-88.264,0.275,"C1","H"
"2","10",10,"OFAV_SP_2AZ7_P4",0.000174,91.159,0,117.602,11.143,0.187,"C2","CW"
"3","11",11,"OFAV_SP_2AZ7_P4",0.061,105.08,0,129,0,0,"C2","A"
"4","12",12,"OFAV_SP_2AZ7_P4",0.03,100.009,0,129,0,0,"C2","CA"
"5","13",13,"OFAV_SP_2AZ7_P4",0.0003712,101.072,0.741,121.037,-92.121,0.4,"C3","H"
"6","14",14,"OFAV_SP_2AZ7_P4",0.0002537,84.639,1.412,113,-104.507,0.274,"C3","CH"
"7","15",15,"OFAV_SP_2AZ7_P4",0.000294,101.923,0.667,120.667,0,0.317,"C3","W"
"8","16",16,"OFAV_SP_2AZ7_P4",0.0001929,87.713,0.333,115.542,3.576,0.208,"C3","CW"
"9","17",17,"OFAV_SP_2AZ7_P4",0.097,102.704,0,127,0,0,"C3","A"
"10","18",18,"OFAV_SP_2AZ7_P4",0.044,95.184,0,127,0,0,"C3","CA"
"11","19",19,"OFAV_SP_2AZ7_P4",0.0003343,91.706,0.168,110.871,-94.421,0.36,"C4","H"
"12","2",2,"OFAV_SP_2AZ7_P4",0.0001449,102.991,91.333,114.065,-93.066,0.156,"C1","CH"
"13","20",20,"OFAV_SP_2AZ7_P4",0.0002237,81.862,1.94e-11,107.328,-96.194,0.24,"C4","CH"
"14","21",21,"OFAV_SP_2AZ7_P4",0.00027,78.03,0,109.085,1.095,0.291,"C4","W"
"15","22",22,"OFAV_SP_2AZ7_P4",0.0002169,88.062,0.333,116.394,14.257,0.233,"C4","CW"
"16","23",23,"OFAV_SP_2AZ7_P4",0.098,97.883,0,120,0,0,"C4","A"
"17","24",24,"OFAV_SP_2AZ7_P4",0.051,99.899,0,124,0,0,"C4","CA"
"18","25",25,"OFAV_SP_2AZ7_P4",0.0003103,88.353,0.333,111.632,-93.814,0.334,"C5","H"
"19","26",26,"OFAV_SP_2AZ7_P4",0.0002186,80.324,0,105,-93.155,0.236,"C5","CH"
"20","27",27,"OFAV_SP_2AZ7_P4",0.0003009,93.474,4.34,114.21,17.295,0.324,"C5","W"
"21","28",28,"OFAV_SP_2AZ7_P4",0.0002117,83.488,0.059,113.467,13.134,0.228,"C5","CW"
"22","29",29,"OFAV_SP_2AZ7_P4",0.104,97.899,0,119,0,0,"C5","A"
"23","3",3,"OFAV_SP_2AZ7_P4",0.0002615,104.608,0.606,121.312,11.976,0.281,"C1","W"
"24","30",30,"OFAV_SP_2AZ7_P4",0.045,90.901,0,118,0,0,"C5","CA"
"25","4",4,"OFAV_SP_2AZ7_P4",0.0001577,97.082,0.038,116.653,14.265,0.169,"C1","CW"
"26","5",5,"OFAV_SP_2AZ7_P4",0.073,105.602,0,126,0,0,"C1","A"
"27","6",6,"OFAV_SP_2AZ7_P4",0.027,100.342,0,124,0,0,"C1","CA"
"28","7",7,"OFAV_SP_2AZ7_P4",0.0002957,93.144,0,112.766,-96.506,0.319,"C2","H"
"29","8",8,"OFAV_SP_2AZ7_P4",0.0001577,100.562,74.585,124.667,-92.816,0.17,"C2","CH"
"30","9",9,"OFAV_SP_2AZ7_P4",0.0002923,106.887,79.739,118.576,9.13,0.315,"C2","W"
