"","Row.names","X","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1",1,"OFAV_SP_2EV24",0.0004169,202.741,123.6,236.667,-89.284,0.447,"C1","H"
"2","10",10,"OFAV_SP_2EV24",0.0002011,175.284,1.576,222.437,13.496,0.215,"C2","CW"
"3","11",11,"OFAV_SP_2EV24",0.127,191.997,0,241,0,0,"C2","A"
"4","12",12,"OFAV_SP_2EV24",0.055,182.792,0,238,0,0,"C2","CA"
"5","13",13,"OFAV_SP_2EV24",0.0003623,196.405,134.784,233.667,-91.236,0.388,"C3","H"
"6","14",14,"OFAV_SP_2EV24",0.0001829,186.522,0.509,244.421,-119.134,0.195,"C3","CH"
"7","15",15,"OFAV_SP_2EV24",0.0003788,202.638,1.875,240.85,-22.681,0.406,"C3","W"
"8","16",16,"OFAV_SP_2EV24",0.0001907,182.746,0.333,241.32,-3.136,0.204,"C3","CW"
"9","17",17,"OFAV_SP_2EV24",0.125,199.062,0,246,0,0,"C3","A"
"10","18",18,"OFAV_SP_2EV24",0.044,199.418,0,246,0,0,"C3","CA"
"11","19",19,"OFAV_SP_2EV24",0.0003684,179.105,0.352,233.635,-92.701,0.395,"C4","H"
"12","2",2,"OFAV_SP_2EV24",0.0002514,154.412,0.347,216.494,-95.356,0.269,"C1","CH"
"13","20",20,"OFAV_SP_2EV24",0.0002184,147.631,1.05,231,-94.118,0.233,"C4","CH"
"14","21",21,"OFAV_SP_2EV24",0.0003346,198.774,82.072,241.476,3.873,0.358,"C4","W"
"15","22",22,"OFAV_SP_2EV24",0.0001985,127.449,0.14,238.667,3.013,0.213,"C4","CW"
"16","23",23,"OFAV_SP_2EV24",0.12,188.858,0,244,0,0,"C4","A"
"17","24",24,"OFAV_SP_2EV24",0.045,173.76,0,244,0,0,"C4","CA"
"18","25",25,"OFAV_SP_2EV24",0.0003407,188.994,0,237.762,-90.585,0.365,"C5","H"
"19","26",26,"OFAV_SP_2EV24",0.0002202,163.458,0.524,223.274,-84.109,0.236,"C5","CH"
"20","27",27,"OFAV_SP_2EV24",0.0003407,199.801,1.022,240.667,5.856,0.365,"C5","W"
"21","28",28,"OFAV_SP_2EV24",0.0001604,183.649,0.607,232.578,12.529,0.172,"C5","CW"
"22","29",29,"OFAV_SP_2EV24",0.114,201.616,0,247,0,0,"C5","A"
"23","3",3,"OFAV_SP_2EV24",0.0003545,188.521,0.333,234.074,14.036,0.38,"C1","W"
"24","30",30,"OFAV_SP_2EV24",0.043,189.949,0,245,0,0,"C5","CA"
"25","4",4,"OFAV_SP_2EV24",0.0002011,186.64,0,232.965,18.199,0.215,"C1","CW"
"26","5",5,"OFAV_SP_2EV24",0.142,191.805,0,242,0,0,"C1","A"
"27","6",6,"OFAV_SP_2EV24",0.052,189.336,0,242,0,0,"C1","CA"
"28","7",7,"OFAV_SP_2EV24",0.0003693,192.687,1.429,234.394,-79.007,0.396,"C2","H"
"29","8",8,"OFAV_SP_2EV24",0.0002288,176.181,0.658,227.183,-82.147,0.245,"C2","CH"
"30","9",9,"OFAV_SP_2EV24",0.0003892,190.629,0.333,230.015,10.03,0.417,"C2","W"
