"","Row.names","X","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1",1,"OFAV_SP_2JQ8",0.0003615,99.469,40.604,162.667,-71.307,0.39,"C1","H"
"2","10",10,"OFAV_SP_2JQ8",0.0002099,94.566,2.263,142.306,14.207,0.226,"C2","CW"
"3","11",11,"OFAV_SP_2JQ8",0.143,125.824,0,228,0,0,"C2","A"
"4","12",12,"OFAV_SP_2JQ8",0.047,116.31,0,216,0,0,"C2","CA"
"5","13",13,"OFAV_SP_2JQ8",0.0002904,117.458,1.463,200.865,-65.934,0.313,"C3","H"
"6","14",14,"OFAV_SP_2JQ8",0.0001962,79.953,0.333,138.57,-88.493,0.211,"C3","CH"
"7","15",15,"OFAV_SP_2JQ8",0.0002853,106.69,0.676,170.597,16.798,0.307,"C3","W"
"8","16",16,"OFAV_SP_2JQ8",0.000185,100.159,0.423,154.11,20.462,0.199,"C3","CW"
"9","17",17,"OFAV_SP_2JQ8",0.092,113.126,0,208,0,0,"C3","A"
"10","18",18,"OFAV_SP_2JQ8",0.042,103.984,0,205,0,0,"C3","CA"
"11","19",19,"OFAV_SP_2JQ8",0.0003273,93.064,0.368,176.191,-68.282,0.353,"C4","H"
"12","2",2,"OFAV_SP_2JQ8",0.0002253,79.123,37.52,121.918,-76.759,0.242,"C1","CH"
"13","20",20,"OFAV_SP_2JQ8",0.0002202,65.543,0.333,142.473,-69.444,0.237,"C4","CH"
"14","21",21,"OFAV_SP_2JQ8",0.0003016,93.1,0.379,160.616,14.868,0.325,"C4","W"
"15","22",22,"OFAV_SP_2JQ8",0.0002236,86.64,0.393,172.321,18.853,0.241,"C4","CW"
"16","23",23,"OFAV_SP_2JQ8",0.109,99.959,0,210,0,0,"C4","A"
"17","24",24,"OFAV_SP_2JQ8",0.052,91.848,0,210,0,0,"C4","CA"
"18","25",25,"OFAV_SP_2JQ8",0.0003067,129.871,0.986,189.986,-74.914,0.331,"C5","H"
"19","26",26,"OFAV_SP_2JQ8",0.0001756,113.793,0,178.431,-87.474,0.189,"C5","CH"
"20","27",27,"OFAV_SP_2JQ8",0.0002956,121.031,57.378,196.089,19.855,0.319,"C5","W"
"21","28",28,"OFAV_SP_2JQ8",0.0001816,138.37,11.986,203.403,19.983,0.195,"C5","CW"
"22","29",29,"OFAV_SP_2JQ8",0.111,125.882,0,221,0,0,"C5","A"
"23","3",3,"OFAV_SP_2JQ8",0.0003067,107.546,36.091,155.463,19.654,0.33,"C1","W"
"24","30",30,"OFAV_SP_2JQ8",0.045,119.347,0,218,0,0,"C5","CA"
"25","4",4,"OFAV_SP_2JQ8",0.0002304,85.031,0.004,148.363,21.682,0.248,"C1","CW"
"26","5",5,"OFAV_SP_2JQ8",0.128,115.219,0,209,0,0,"C1","A"
"27","6",6,"OFAV_SP_2JQ8",0.052,101.44,0,202,0,0,"C1","CA"
"28","7",7,"OFAV_SP_2JQ8",0.0004095,108.8,0.182,180.156,-83.859,0.441,"C2","H"
"29","8",8,"OFAV_SP_2JQ8",0.0002347,116.876,0.333,215,-81.158,0.253,"C2","CH"
"30","9",9,"OFAV_SP_2JQ8",0.000317,138.748,0.931,203.019,14.601,0.341,"C2","W"
