"","Row.names","X","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1",1,"OFAV_SP_3EV30_P3",0.0002535,104.987,0.333,163.532,-95.301,0.272,"C1","H"
"2","10",10,"OFAV_SP_3EV30_P3",0.0002068,103.785,2.252,160.668,5.782,0.222,"C2","CW"
"3","11",11,"OFAV_SP_3EV30_P3",0.115,116.248,0,195,0,0,"C2","A"
"4","12",12,"OFAV_SP_3EV30_P3",0.052,108.607,0,195,0,0,"C2","CA"
"5","13",13,"OFAV_SP_3EV30_P3",0.0002976,118.657,67.837,170.329,-93.514,0.319,"C3","H"
"6","14",14,"OFAV_SP_3EV30_P3",0.0002111,110.576,46.687,161.494,-87.173,0.226,"C3","CH"
"7","15",15,"OFAV_SP_3EV30_P3",0.0002613,127.325,1.223,174.981,15.005,0.28,"C3","W"
"8","16",16,"OFAV_SP_3EV30_P3",0.0002077,119.031,2.816,155.663,12.295,0.223,"C3","CW"
"9","17",17,"OFAV_SP_3EV30_P3",0.075,120.667,0,185,0,0,"C3","A"
"10","18",18,"OFAV_SP_3EV30_P3",0.029,111.007,0,185,0,0,"C3","CA"
"11","19",19,"OFAV_SP_3EV30_P3",0.0003755,100.79,0.333,174.454,-94.764,0.403,"C4","H"
"12","2",2,"OFAV_SP_3EV30_P3",0.0001653,118.178,14.249,160.478,-94.538,0.176,"C1","CH"
"13","20",20,"OFAV_SP_3EV30_P3",0.0002561,66.592,0.485,129.957,-85.333,0.274,"C4","CH"
"14","21",21,"OFAV_SP_3EV30_P3",0.0002674,93.944,0.412,162.868,17.554,0.287,"C4","W"
"15","22",22,"OFAV_SP_3EV30_P3",0.0002016,83.895,0.511,145.525,23.587,0.216,"C4","CW"
"16","23",23,"OFAV_SP_3EV30_P3",0.096,102.262,0,203,0,0,"C4","A"
"17","24",24,"OFAV_SP_3EV30_P3",0.053,95.242,0,203,0,0,"C4","CA"
"18","25",25,"OFAV_SP_3EV30_P3",0.0002656,91.013,0,164.199,-89.438,0.285,"C5","H"
"19","26",26,"OFAV_SP_3EV30_P3",0.0001947,93.107,35.652,154.438,-81.545,0.209,"C5","CH"
"20","27",27,"OFAV_SP_3EV30_P3",0.000231,96.925,41.884,154.019,14.349,0.248,"C5","W"
"21","28",28,"OFAV_SP_3EV30_P3",0.0002059,88.777,1.025,141.641,0.725,0.22,"C5","CW"
"22","29",29,"OFAV_SP_3EV30_P3",0.062,104.838,0,184,0,0,"C5","A"
"23","3",3,"OFAV_SP_3EV30_P3",0.0002699,117.838,0.276,168.295,6.096,0.289,"C1","W"
"24","30",30,"OFAV_SP_3EV30_P3",0.031,94.717,0,182,0,0,"C5","CA"
"25","4",4,"OFAV_SP_3EV30_P3",0.0001808,120.895,0,162.072,6.613,0.194,"C1","CW"
"26","5",5,"OFAV_SP_3EV30_P3",0.06,121.682,0,184,0,0,"C1","A"
"27","6",6,"OFAV_SP_3EV30_P3",0.028,113.639,0,180,0,0,"C1","CA"
"28","7",7,"OFAV_SP_3EV30_P3",0.000334,94.852,0.509,162.377,-79.216,0.358,"C2","H"
"29","8",8,"OFAV_SP_3EV30_P3",0.0002172,81.764,0.952,144.1,-96.189,0.233,"C2","CH"
"30","9",9,"OFAV_SP_3EV30_P3",0.0003694,116.345,52.813,162.113,6.875,0.396,"C2","W"
