"","Row.names","X","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1",1,"OFAV_SP_3JQ1_P4",0.0003428,165.66,131,195.604,-86.186,0.373,"C1","H"
"2","10",10,"OFAV_SP_3JQ1_P4",0.0001744,113.274,0.798,166.635,7.539,0.189,"C2","CW"
"3","11",11,"OFAV_SP_3JQ1_P4",0.132,109.904,0,191,0,0,"C2","A"
"4","12",12,"OFAV_SP_3JQ1_P4",0.038,114.202,0,188,0,0,"C2","CA"
"5","13",13,"OFAV_SP_3JQ1_P4",0.0004035,127.422,0.21,179.824,-97.214,0.439,"C3","H"
"6","14",14,"OFAV_SP_3JQ1_P4",0.0002207,127.792,0.502,181.586,-88.683,0.24,"C3","CH"
"7","15",15,"OFAV_SP_3JQ1_P4",0.0003201,130.982,67.395,180.604,15.136,0.348,"C3","W"
"8","16",16,"OFAV_SP_3JQ1_P4",0.0001811,107.476,1.492,160,4.83,0.196,"C3","CW"
"9","17",17,"OFAV_SP_3JQ1_P4",0.113,124.632,0,185,0,0,"C3","A"
"10","18",18,"OFAV_SP_3JQ1_P4",0.043,123.713,0,185,0,0,"C3","CA"
"11","19",19,"OFAV_SP_3JQ1_P4",0.0003816,145.384,1.391,191.927,-85.047,0.415,"C4","H"
"12","2",2,"OFAV_SP_3JQ1_P4",0.0001702,117.15,0.831,183.438,-89.145,0.184,"C1","CH"
"13","20",20,"OFAV_SP_3JQ1_P4",0.0002712,101.148,0,181,-90,0.295,"C4","CH"
"14","21",21,"OFAV_SP_3JQ1_P4",0.0004288,137.283,0.622,197.867,17.899,0.466,"C4","W"
"15","22",22,"OFAV_SP_3JQ1_P4",0.000198,128.005,0.393,202.294,12.609,0.214,"C4","CW"
"16","23",23,"OFAV_SP_3JQ1_P4",0.158,138.215,0,212,0,0,"C4","A"
"17","24",24,"OFAV_SP_3JQ1_P4",0.054,150.26,0,212,0,0,"C4","CA"
"18","25",25,"OFAV_SP_3JQ1_P4",0.0003883,98.403,0.055,149.995,-86.26,0.422,"C5","H"
"19","26",26,"OFAV_SP_3JQ1_P4",0.0002485,91.74,0.041,130.497,-90.585,0.27,"C5","CH"
"20","27",27,"OFAV_SP_3JQ1_P4",0.0003917,113.235,60.18,185,8.183,0.426,"C5","W"
"21","28",28,"OFAV_SP_3JQ1_P4",0.0001786,120.596,1.053,169.858,6.52,0.194,"C5","CW"
"22","29",29,"OFAV_SP_3JQ1_P4",0.169,109.673,0,196,0,0,"C5","A"
"23","3",3,"OFAV_SP_3JQ1_P4",0.0002974,162.407,0,201.333,4.399,0.323,"C1","W"
"24","30",30,"OFAV_SP_3JQ1_P4",0.048,117.683,0,196,0,0,"C5","CA"
"25","4",4,"OFAV_SP_3JQ1_P4",0.0002224,156.589,0,199.517,7.206,0.241,"C1","CW"
"26","5",5,"OFAV_SP_3JQ1_P4",0.126,158.061,0,215,0,0,"C1","A"
"27","6",6,"OFAV_SP_3JQ1_P4",0.063,162.912,0,206,0,0,"C1","CA"
"28","7",7,"OFAV_SP_3JQ1_P4",0.0003218,115.849,45.68,164.84,-88.647,0.35,"C2","H"
"29","8",8,"OFAV_SP_3JQ1_P4",0.0002561,82.66,0.057,170.499,-97.97,0.278,"C2","CH"
"30","9",9,"OFAV_SP_3JQ1_P4",0.000358,107.668,0.333,179.001,10.196,0.389,"C2","W"
