"","Row.names","X","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1",1,"OFAV_SP_4DW11",0.0003736,110.367,49.676,167.492,-84.075,0.399,"C1","H"
"2","10",10,"OFAV_SP_4DW11",0.0002467,82.123,0.352,118.227,4.899,0.263,"C2","CW"
"3","11",11,"OFAV_SP_4DW11",0.181,122.093,0,196,0,0,"C2","A"
"4","12",12,"OFAV_SP_4DW11",0.067,109.323,0,196,0,0,"C2","CA"
"5","13",13,"OFAV_SP_4DW11",0.0001837,86.15,1.067,143.191,-71.565,0.195,"C3","H"
"6","14",14,"OFAV_SP_4DW11",8.399e-05,74.355,48.466,106.014,-77.276,0.089,"C3","CH"
"7","15",15,"OFAV_SP_4DW11",0.0002187,88.713,0.137,141.309,3.447,0.233,"C3","W"
"8","16",16,"OFAV_SP_4DW11",0.0001137,60.514,0.333,102.256,3.991,0.121,"C3","CW"
"9","17",17,"OFAV_SP_4DW11",0.041,93.184,0,168,0,0,"C3","A"
"10","18",18,"OFAV_SP_4DW11",0.014,80.068,0,168,0,0,"C3","CA"
"11","19",19,"OFAV_SP_4DW11",0.0004068,106.513,0.166,148.587,-66.753,0.434,"C4","H"
"12","2",2,"OFAV_SP_4DW11",0.0002205,88.068,0.772,154.445,-98.259,0.234,"C1","CH"
"13","20",20,"OFAV_SP_4DW11",0.0002599,72.527,0.5,129.861,-74.134,0.277,"C4","CH"
"14","21",21,"OFAV_SP_4DW11",0.0005337,74.839,0,124.54,1.975,0.57,"C4","W"
"15","22",22,"OFAV_SP_4DW11",0.0002529,66.744,0,157.333,0,0.269,"C4","CW"
"16","23",23,"OFAV_SP_4DW11",0.188,97.293,0,185,0,0,"C4","A"
"17","24",24,"OFAV_SP_4DW11",0.076,91.761,0,184,0,0,"C4","CA"
"18","25",25,"OFAV_SP_4DW11",0.0003937,111.83,44.101,169.332,-81.167,0.42,"C5","H"
"19","26",26,"OFAV_SP_4DW11",0.0002284,96.231,0.467,159.02,-75.964,0.243,"C5","CH"
"20","27",27,"OFAV_SP_4DW11",0.0004366,107.985,51.194,160.614,18.981,0.466,"C5","W"
"21","28",28,"OFAV_SP_4DW11",0.0002424,97.469,0.236,152.492,17.057,0.258,"C5","CW"
"22","29",29,"OFAV_SP_4DW11",0.147,113.678,0,189,0,0,"C5","A"
"23","3",3,"OFAV_SP_4DW11",0.0004252,109.583,56.043,162.619,13.349,0.454,"C1","W"
"24","30",30,"OFAV_SP_4DW11",0.058,105.027,0,189,0,0,"C5","CA"
"25","4",4,"OFAV_SP_4DW11",0.0002205,88.23,0.248,152.515,13.815,0.235,"C1","CW"
"26","5",5,"OFAV_SP_4DW11",0.133,115.115,0,199,0,0,"C1","A"
"27","6",6,"OFAV_SP_4DW11",0.047,106.893,0,199,0,0,"C1","CA"
"28","7",7,"OFAV_SP_4DW11",0.000441,127.243,0.053,178.547,-84.063,0.47,"C2","H"
"29","8",8,"OFAV_SP_4DW11",0.0002677,86.63,0.789,136.667,-84.738,0.286,"C2","CH"
"30","9",9,"OFAV_SP_4DW11",0.0004672,102.964,0.997,150.127,8.191,0.499,"C2","W"
