"","Row.names","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1","OFAV_SP_8EV24.JPG",0.0004032,202.383,169.667,227.333,-88.015,0.403,"C1","H"
"2","10","OFAV_SP_8EV24.JPG",0.000223,157.557,0.01,221.328,4.122,0.222,"C2","CW"
"3","11","OFAV_SP_8EV24.JPG",0.106,201.326,0,240,0,0,"C2","A"
"4","12","OFAV_SP_8EV24.JPG",0.055,193.65,0,238,0,0,"C2","CA"
"5","13","OFAV_SP_8EV24.JPG",0.0003444,185.738,1.029,218.371,-94.653,0.344,"C3","H"
"6","14","OFAV_SP_8EV24.JPG",0.0002319,194.285,139.776,223.81,-92.468,0.232,"C3","CH"
"7","15","OFAV_SP_8EV24.JPG",0.000429,191.133,156.992,220.186,5.87,0.429,"C3","W"
"8","16","OFAV_SP_8EV24.JPG",0.00021,184.92,0.333,220.333,2.726,0.21,"C3","CW"
"9","17","OFAV_SP_8EV24.JPG",0.133,197.667,0,243,0,0,"C3","A"
"10","18","OFAV_SP_8EV24.JPG",0.079,191.824,0,232,0,0,"C3","CA"
"11","19","OFAV_SP_8EV24.JPG",0.0003325,199.518,171.125,224,-108.217,0.332,"C4","H"
"12","2","OFAV_SP_8EV24.JPG",0.0003156,175.97,0,221.791,-105.796,0.315,"C1","CH"
"13","20","OFAV_SP_8EV24.JPG",0.0002728,197.81,163.964,221.633,-107.504,0.272,"C4","CH"
"14","21","OFAV_SP_8EV24.JPG",0.0003683,174.878,0.026,220.306,6.855,0.368,"C4","W"
"15","22","OFAV_SP_8EV24.JPG",0.0002658,189.553,0.469,225.779,7.339,0.266,"C4","CW"
"16","23","OFAV_SP_8EV24.JPG",0.114,196.944,0,239,0,0,"C4","A"
"17","24","OFAV_SP_8EV24.JPG",0.057,188.397,0,235,0,0,"C4","CA"
"18","25","OFAV_SP_8EV24.JPG",0.0003534,169.267,0.177,218.545,-98.771,0.353,"C5","H"
"19","26","OFAV_SP_8EV24.JPG",0.0002897,165.594,0.06,219.44,-97.516,0.29,"C5","CH"
"20","27","OFAV_SP_8EV24.JPG",0.0002638,191.351,158.444,221,3.468,0.264,"C5","W"
"21","28","OFAV_SP_8EV24.JPG",0.000208,190.169,0.615,217.436,2.203,0.208,"C5","CW"
"22","29","OFAV_SP_8EV24.JPG",0.098,190.131,0,233,0,0,"C5","A"
"23","3","OFAV_SP_8EV24.JPG",0.0004937,199.432,0,237,5.803,0.493,"C1","W"
"24","30","OFAV_SP_8EV24.JPG",0.057,184.864,0,224,0,0,"C5","CA"
"25","4","OFAV_SP_8EV24.JPG",0.0003106,199.43,172.02,224.847,4.059,0.31,"C1","CW"
"26","5","OFAV_SP_8EV24.JPG",0.13,203.238,0,244,0,0,"C1","A"
"27","6","OFAV_SP_8EV24.JPG",0.091,198.439,0,243,0,0,"C1","CA"
"28","7","OFAV_SP_8EV24.JPG",0.0004022,202.031,125.333,237.188,-99.135,0.402,"C2","H"
"29","8","OFAV_SP_8EV24.JPG",0.0002767,184.512,0.406,224.788,-111.186,0.276,"C2","CH"
"30","9","OFAV_SP_8EV24.JPG",0.0004151,200.571,139.598,226.949,2.478,0.415,"C2","W"
