"","Row.names","X","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1",1,"OFAV_SP_EV",0.0003701,108.555,0.019,207.333,-87.983,0.397,"C1","H"
"2","10",10,"OFAV_SP_EV",0.0002288,149.303,0.559,222.613,7.206,0.245,"C2","CW"
"3","11",11,"OFAV_SP_EV",0.137,191.355,0,237,0,0,"C2","A"
"4","12",12,"OFAV_SP_EV",0.065,183.078,0,237,0,0,"C2","CA"
"5","13",13,"OFAV_SP_EV",0.0004247,128.157,0,198.634,-89.297,0.455,"C3","H"
"6","14",14,"OFAV_SP_EV",0.0002999,148.149,2.333,208.565,-90.498,0.321,"C3","CH"
"7","15",15,"OFAV_SP_EV",0.0004169,155.416,75.917,204.448,17.076,0.447,"C3","W"
"8","16",16,"OFAV_SP_EV",0.0002653,131.143,0.396,203.389,10.758,0.284,"C3","CW"
"9","17",17,"OFAV_SP_EV",0.136,158.547,0,215,0,0,"C3","A"
"10","18",18,"OFAV_SP_EV",0.08,149.522,0,215,0,0,"C3","CA"
"11","19",19,"OFAV_SP_EV",0.0003901,167.828,0.674,210,-94.986,0.418,"C4","H"
"12","2",2,"OFAV_SP_EV",0.0002644,149.923,106.642,197.145,-95.654,0.283,"C1","CH"
"13","20",20,"OFAV_SP_EV",0.0002583,121.984,0.96,190,-91.736,0.277,"C4","CH"
"14","21",21,"OFAV_SP_EV",0.0003771,164.674,0.346,211.563,5.159,0.404,"C4","W"
"15","22",22,"OFAV_SP_EV",0.0002358,122.832,0.081,200.552,10.192,0.253,"C4","CW"
"16","23",23,"OFAV_SP_EV",0.146,163.089,0,230,0,0,"C4","A"
"17","24",24,"OFAV_SP_EV",0.067,147.935,0,230,0,0,"C4","CA"
"18","25",25,"OFAV_SP_EV",0.0004005,173.035,1.018,216.605,-80.251,0.429,"C5","H"
"19","26",26,"OFAV_SP_EV",0.0002644,140.598,0,217.667,-90,0.283,"C5","CH"
"20","27",27,"OFAV_SP_EV",0.0003684,191.429,0.333,223.453,11.151,0.395,"C5","W"
"21","28",28,"OFAV_SP_EV",0.0002817,151.859,0.333,213.519,8.881,0.302,"C5","CW"
"22","29",29,"OFAV_SP_EV",0.158,179.501,0,236,0,0,"C5","A"
"23","3",3,"OFAV_SP_EV",0.0002713,153.008,0.333,205.946,16.172,0.291,"C1","W"
"24","30",30,"OFAV_SP_EV",0.074,166.144,0,229,0,0,"C5","CA"
"25","4",4,"OFAV_SP_EV",0.0001864,153.781,101.381,201.05,4.83,0.199,"C1","CW"
"26","5",5,"OFAV_SP_EV",0.104,149.052,0,225,0,0,"C1","A"
"27","6",6,"OFAV_SP_EV",0.061,148.408,0,225,0,0,"C1","CA"
"28","7",7,"OFAV_SP_EV",0.0004256,195.009,112.836,225.412,-93.16,0.456,"C2","H"
"29","8",8,"OFAV_SP_EV",0.0002583,179.782,122,219.333,-88.843,0.277,"C2","CH"
"30","9",9,"OFAV_SP_EV",0.0003892,193.666,117.007,220.531,8.076,0.418,"C2","W"
