"","Row.names","X","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1",1,"OFAV_SP_OAZ24",0.0003514,162.955,83,227.333,-90,0.389,"C1","H"
"2","10",10,"OFAV_SP_OAZ24",0.0002621,173.797,2.09,223.571,8.584,0.29,"C2","CW"
"3","11",11,"OFAV_SP_OAZ24",0.136,181.284,0,243,0,0,"C2","A"
"4","12",12,"OFAV_SP_OAZ24",0.057,159.404,0,238,0,0,"C2","CA"
"5","13",13,"OFAV_SP_OAZ24",0.000405,179.679,74.683,239.679,-89.31,0.449,"C3","H"
"6","14",14,"OFAV_SP_OAZ24",0.0002419,122.944,0.113,197.975,-81.298,0.268,"C3","CH"
"7","15",15,"OFAV_SP_OAZ24",0.0004066,170.906,0.506,218.25,10.028,0.45,"C3","W"
"8","16",16,"OFAV_SP_OAZ24",0.0002094,156.85,0.274,231.056,10.784,0.231,"C3","CW"
"9","17",17,"OFAV_SP_OAZ24",0.154,181.458,0,240,0,0,"C3","A"
"10","18",18,"OFAV_SP_OAZ24",0.062,157.773,0,240,0,0,"C3","CA"
"11","19",19,"OFAV_SP_OAZ24",0.0003815,183.274,78.601,232.834,-93.668,0.422,"C4","H"
"12","2",2,"OFAV_SP_OAZ24",0.0002183,122.53,1.036,200.021,-93.857,0.241,"C1","CH"
"13","20",20,"OFAV_SP_OAZ24",0.0002597,160.365,0.411,218.357,-85.684,0.287,"C4","CH"
"14","21",21,"OFAV_SP_OAZ24",0.000392,196.712,0.828,231.664,14.036,0.435,"C4","W"
"15","22",22,"OFAV_SP_OAZ24",0.0002451,167.492,84.448,223.127,22.225,0.272,"C4","CW"
"16","23",23,"OFAV_SP_OAZ24",0.144,188.156,0,242,0,0,"C4","A"
"17","24",24,"OFAV_SP_OAZ24",0.064,169.987,0,241,0,0,"C4","CA"
"18","25",25,"OFAV_SP_OAZ24",0.0004131,159.251,0.045,216.414,-111.864,0.457,"C5","H"
"19","26",26,"OFAV_SP_OAZ24",0.0002313,142.138,76.266,215.667,-109.776,0.256,"C5","CH"
"20","27",27,"OFAV_SP_OAZ24",0.0004618,171.702,78.41,226.224,28.055,0.511,"C5","W"
"21","28",28,"OFAV_SP_OAZ24",0.0002719,162.664,0.236,206.714,14.036,0.301,"C5","CW"
"22","29",29,"OFAV_SP_OAZ24",0.145,171.046,0,236,0,0,"C5","A"
"23","3",3,"OFAV_SP_OAZ24",0.000409,171.343,0.366,227.065,22.436,0.453,"C1","W"
"24","30",30,"OFAV_SP_OAZ24",0.064,156.711,0,231,0,0,"C5","CA"
"25","4",4,"OFAV_SP_OAZ24",0.0002646,134.746,0.344,224.422,13.908,0.292,"C1","CW"
"26","5",5,"OFAV_SP_OAZ24",0.145,176.081,0,237,0,0,"C1","A"
"27","6",6,"OFAV_SP_OAZ24",0.058,155.317,0,237,0,0,"C1","CA"
"28","7",7,"OFAV_SP_OAZ24",0.0004001,163.897,0.083,235.552,-104.121,0.443,"C2","H"
"29","8",8,"OFAV_SP_OAZ24",0.0002135,127.661,1.445,222.162,-100.539,0.236,"C2","CH"
"30","9",9,"OFAV_SP_OAZ24",0.0003823,173.546,5.247,231.015,21.326,0.424,"C2","W"
