"","Row.names","X","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1",1,"OFAV_SP_OEV35",0.0001899,125.842,0.216,229.07,-87.99,0.208,"C1","H"
"2","10",10,"OFAV_SP_OEV35",0.000194,181.452,123.603,234,15.945,0.212,"C2","CW"
"3","11",11,"OFAV_SP_OEV35",0.077,196.935,0,246,0,0,"C2","A"
"4","12",12,"OFAV_SP_OEV35",0.04,184.973,0,240,0,0,"C2","CA"
"5","13",13,"OFAV_SP_OEV35",0.0002479,167.402,0.531,214.741,-75.403,0.271,"C3","H"
"6","14",14,"OFAV_SP_OEV35",0.0001708,156.608,1.249,204.465,-74.745,0.187,"C3","CH"
"7","15",15,"OFAV_SP_OEV35",0.0003142,199.03,0.068,248.333,19.011,0.344,"C3","W"
"8","16",16,"OFAV_SP_OEV35",0.0002031,183.598,0.367,232,20.886,0.222,"C3","CW"
"9","17",17,"OFAV_SP_OEV35",0.1,194.825,0,250,0,0,"C3","A"
"10","18",18,"OFAV_SP_OEV35",0.037,182.986,0,249,0,0,"C3","CA"
"11","19",19,"OFAV_SP_OEV35",0.0003184,207.234,140.89,236.333,-93.894,0.349,"C4","H"
"12","2",2,"OFAV_SP_OEV35",0.0001302,178.793,126.513,236.402,-88.531,0.142,"C1","CH"
"13","20",20,"OFAV_SP_OEV35",0.0001824,207.366,157.961,240.711,-108.104,0.199,"C4","CH"
"14","21",21,"OFAV_SP_OEV35",0.0003465,194.667,0.194,237.333,18.435,0.38,"C4","W"
"15","22",22,"OFAV_SP_OEV35",0.0002081,160.477,0.333,223.028,12.926,0.228,"C4","CW"
"16","23",23,"OFAV_SP_OEV35",0.111,201.32,0,245,0,0,"C4","A"
"17","24",24,"OFAV_SP_OEV35",0.044,189.215,0,245,0,0,"C4","CA"
"18","25",25,"OFAV_SP_OEV35",0.0003109,164.884,0,237.667,-90,0.341,"C5","H"
"19","26",26,"OFAV_SP_OEV35",0.0002073,150.842,0.333,228.235,-94.151,0.226,"C5","CH"
"20","27",27,"OFAV_SP_OEV35",0.0002943,165.611,0,236.221,18.127,0.322,"C5","W"
"21","28",28,"OFAV_SP_OEV35",0.0001774,147.815,0.162,232.986,16.39,0.194,"C5","CW"
"22","29",29,"OFAV_SP_OEV35",0.098,183.904,0,248,0,0,"C5","A"
"23","3",3,"OFAV_SP_OEV35",0.000267,195.428,0.154,238.559,10.049,0.292,"C1","W"
"24","30",30,"OFAV_SP_OEV35",0.044,169.463,0,247,0,0,"C5","CA"
"25","4",4,"OFAV_SP_OEV35",0.0001575,164.753,0.333,224.328,13.449,0.172,"C1","CW"
"26","5",5,"OFAV_SP_OEV35",0.052,197.268,0,247,0,0,"C1","A"
"27","6",6,"OFAV_SP_OEV35",0.013,178.426,0,244,0,0,"C1","CA"
"28","7",7,"OFAV_SP_OEV35",0.000296,179.09,0.333,232.019,-91.931,0.324,"C2","H"
"29","8",8,"OFAV_SP_OEV35",0.0001865,176.219,123.211,216.412,-101.31,0.204,"C2","CH"
"30","9",9,"OFAV_SP_OEV35",0.0003656,193.267,1.875,231.648,7.836,0.401,"C2","W"
