"","Row.names","X","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1",1,"OFAV_SS_2AZ7_P1",0.0002962,142.123,63.593,199.054,-102.672,0.392,"C1","H"
"2","10",10,"OFAV_SS_2AZ7_P1",0.0001603,104.902,63.331,147.667,13.591,0.212,"C2","CW"
"3","11",11,"OFAV_SS_2AZ7_P1",0.096,138.854,0,200,0,0,"C2","A"
"4","12",12,"OFAV_SS_2AZ7_P1",0.042,119.556,0,189,0,0,"C2","CA"
"5","13",13,"OFAV_SS_2AZ7_P1",0.0002649,124.911,0.333,183.424,-90.739,0.351,"C3","H"
"6","14",14,"OFAV_SS_2AZ7_P1",0.0001643,104.5,68.99,147.667,-92.981,0.217,"C3","CH"
"7","15",15,"OFAV_SS_2AZ7_P1",0.0002843,105.406,1.803,185.667,-7.253,0.376,"C3","W"
"8","16",16,"OFAV_SS_2AZ7_P1",0.0001745,91.895,0.686,138.941,2.246,0.231,"C3","CW"
"9","17",17,"OFAV_SS_2AZ7_P1",0.111,136.112,0,212,0,0,"C3","A"
"10","18",18,"OFAV_SS_2AZ7_P1",0.053,118.624,0,197,0,0,"C3","CA"
"11","19",19,"OFAV_SS_2AZ7_P1",0.0002888,158.803,0.333,207.646,-77.937,0.382,"C4","H"
"12","2",2,"OFAV_SS_2AZ7_P1",0.0001893,114.383,1.591,165.333,-99.888,0.25,"C1","CH"
"13","20",20,"OFAV_SS_2AZ7_P1",0.0001774,107.092,0.074,181.24,-94.794,0.235,"C4","CH"
"14","21",21,"OFAV_SS_2AZ7_P1",0.0002922,161.415,0.853,220.208,6.488,0.387,"C4","W"
"15","22",22,"OFAV_SS_2AZ7_P1",0.0001541,117.985,0.208,202.375,9.392,0.203,"C4","CW"
"16","23",23,"OFAV_SS_2AZ7_P1",0.119,176.092,0,237,0,0,"C4","A"
"17","24",24,"OFAV_SS_2AZ7_P1",0.044,152.749,0,232,0,0,"C4","CA"
"18","25",25,"OFAV_SS_2AZ7_P1",0.0002121,129.043,0.126,197.355,-83.524,0.281,"C5","H"
"19","26",26,"OFAV_SS_2AZ7_P1",0.0001109,116.967,90.704,149.333,-88.819,0.146,"C5","CH"
"20","27",27,"OFAV_SS_2AZ7_P1",0.0002479,136.137,0.032,183.979,6.34,0.328,"C5","W"
"21","28",28,"OFAV_SS_2AZ7_P1",0.0001291,121.744,88.189,145,7.125,0.17,"C5","CW"
"22","29",29,"OFAV_SS_2AZ7_P1",0.079,143.932,0,208,0,0,"C5","A"
"23","3",3,"OFAV_SS_2AZ7_P1",0.00029,144.644,0.101,207.333,13.627,0.384,"C1","W"
"24","30",30,"OFAV_SS_2AZ7_P1",0.036,132.09,0,204,0,0,"C5","CA"
"25","4",4,"OFAV_SS_2AZ7_P1",0.000174,141.46,4.832,171.083,22.533,0.23,"C1","CW"
"26","5",5,"OFAV_SS_2AZ7_P1",0.104,157.116,0,221,0,0,"C1","A"
"27","6",6,"OFAV_SS_2AZ7_P1",0.049,135.909,0,202,0,0,"C1","CA"
"28","7",7,"OFAV_SS_2AZ7_P1",0.0002672,127.775,61.546,185.362,-107.507,0.353,"C2","H"
"29","8",8,"OFAV_SS_2AZ7_P1",0.0001683,101.479,0.737,151.023,-107.146,0.223,"C2","CH"
"30","9",9,"OFAV_SS_2AZ7_P1",0.0002604,122.335,0.609,167.019,16.411,0.344,"C2","W"
