"","Row.names","X","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1",1,"OFAV_SS_2DW40",0.0003699,187.24,22.762,235.334,-86.73,0.394,"C1","H"
"2","10",10,"OFAV_SS_2DW40",0.0001359,114.951,0.35,221.333,12.407,0.144,"C2","CW"
"3","11",11,"OFAV_SS_2DW40",0.132,207.143,0,242,0,0,"C2","A"
"4","12",12,"OFAV_SS_2DW40",0.049,186.233,0,239,0,0,"C2","CA"
"5","13",13,"OFAV_SS_2DW40",0.000362,189.256,137.201,236.333,-68.663,0.386,"C3","H"
"6","14",14,"OFAV_SS_2DW40",0.0002358,150.581,0.531,195.357,-95.774,0.251,"C3","CH"
"7","15",15,"OFAV_SS_2DW40",0.0004347,189.053,0.103,236,-19.093,0.464,"C3","W"
"8","16",16,"OFAV_SS_2DW40",0.0001823,158.087,4.134,225,-23.962,0.194,"C3","CW"
"9","17",17,"OFAV_SS_2DW40",0.111,194.912,0,239,0,0,"C3","A"
"10","18",18,"OFAV_SS_2DW40",0.043,175.19,0,237,0,0,"C3","CA"
"11","19",19,"OFAV_SS_2DW40",0.000362,152.066,0.443,203.487,-72.621,0.386,"C4","H"
"12","2",2,"OFAV_SS_2DW40",0.0002165,154.48,109.496,188.081,-87.207,0.231,"C1","CH"
"13","20",20,"OFAV_SS_2DW40",0.0002472,119.165,0.043,182,-83.863,0.263,"C4","CH"
"14","21",21,"OFAV_SS_2DW40",0.0003488,148.693,0.714,187.411,4.332,0.372,"C4","W"
"15","22",22,"OFAV_SS_2DW40",0.0001876,126.395,79.915,179.54,-2.42,0.2,"C4","CW"
"16","23",23,"OFAV_SS_2DW40",0.105,159.487,0,216,0,0,"C4","A"
"17","24",24,"OFAV_SS_2DW40",0.054,144.846,0,215,0,0,"C4","CA"
"18","25",25,"OFAV_SS_2DW40",0.0002586,188.461,0.32,236.061,-92.337,0.275,"C5","H"
"19","26",26,"OFAV_SS_2DW40",0.0001499,147.796,0.408,200.188,-90.674,0.159,"C5","CH"
"20","27",27,"OFAV_SS_2DW40",0.0003287,189.047,0.333,223.333,0.613,0.35,"C5","W"
"21","28",28,"OFAV_SS_2DW40",0.0001411,185.698,171.483,210.333,2.862,0.15,"C5","CW"
"22","29",29,"OFAV_SS_2DW40",0.061,196.619,0,237,0,0,"C5","A"
"23","3",3,"OFAV_SS_2DW40",0.0003804,175.807,0.603,219.333,2.783,0.405,"C1","W"
"24","30",30,"OFAV_SS_2DW40",0.025,182.834,0,230,0,0,"C5","CA"
"25","4",4,"OFAV_SS_2DW40",0.0001832,148.341,0.144,212.333,4.97,0.195,"C1","CW"
"26","5",5,"OFAV_SS_2DW40",0.115,188.683,0,236,0,0,"C1","A"
"27","6",6,"OFAV_SS_2DW40",0.065,181.236,0,236,0,0,"C1","CA"
"28","7",7,"OFAV_SS_2DW40",0.0003927,210.199,166.385,233.387,-83.447,0.418,"C2","H"
"29","8",8,"OFAV_SS_2DW40",0.0002165,148.106,0.333,222.732,-92.095,0.23,"C2","CH"
"30","9",9,"OFAV_SS_2DW40",0.0003497,188.609,0.688,228.667,11.31,0.372,"C2","W"
