"","Row.names","X","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1",1,"OFAV_SS_2EV30",0.0003062,192.757,102.63,219.554,-90.317,0.332,"C1","H"
"2","10",10,"OFAV_SS_2EV30",0.0001569,131.739,0.667,177.18,6.203,0.17,"C2","CW"
"3","11",11,"OFAV_SS_2EV30",0.092,167.538,0,208,0,0,"C2","A"
"4","12",12,"OFAV_SS_2EV30",0.047,158.902,0,207,0,0,"C2","CA"
"5","13",13,"OFAV_SS_2EV30",0.0003146,167.167,0.784,225,-100.525,0.342,"C3","H"
"6","14",14,"OFAV_SS_2EV30",0.0001965,149.17,0.517,204.667,-93.453,0.213,"C3","CH"
"7","15",15,"OFAV_SS_2EV30",0.000356,170.589,0.45,214.711,3.814,0.387,"C3","W"
"8","16",16,"OFAV_SS_2EV30",0.0002024,151.794,0.333,210.883,6.234,0.22,"C3","CW"
"9","17",17,"OFAV_SS_2EV30",0.1,188.873,0,229,0,0,"C3","A"
"10","18",18,"OFAV_SS_2EV30",0.043,170.292,0,225,0,0,"C3","CA"
"11","19",19,"OFAV_SS_2EV30",0.0003872,168.668,123,190.667,-87.5,0.421,"C4","H"
"12","2",2,"OFAV_SS_2EV30",0.0001662,131.735,0.333,183.333,-93.504,0.18,"C1","CH"
"13","20",20,"OFAV_SS_2EV30",0.0002429,123.265,0.563,172.667,-86,0.263,"C4","CH"
"14","21",21,"OFAV_SS_2EV30",0.0003737,167.382,120.445,194.333,2.332,0.406,"C4","W"
"15","22",22,"OFAV_SS_2EV30",0.0001738,153.368,104.435,179.556,12.407,0.188,"C4","CW"
"16","23",23,"OFAV_SS_2EV30",0.138,172.041,0,209,0,0,"C4","A"
"17","24",24,"OFAV_SS_2EV30",0.048,154.594,0,203,0,0,"C4","CA"
"18","25",25,"OFAV_SS_2EV30",0.000431,155.936,84.962,211.184,-109.571,0.469,"C5","H"
"19","26",26,"OFAV_SS_2EV30",0.0002851,127.86,0.074,196.764,-111.074,0.309,"C5","CH"
"20","27",27,"OFAV_SS_2EV30",0.0004159,140.432,0.846,186.207,12.314,0.452,"C5","W"
"21","28",28,"OFAV_SS_2EV30",0.0002522,124.072,0.344,169.667,5.787,0.273,"C5","CW"
"22","29",29,"OFAV_SS_2EV30",0.143,145.68,0,213,0,0,"C5","A"
"23","3",3,"OFAV_SS_2EV30",0.0003231,175.585,0.044,216.058,-0.3,0.351,"C1","W"
"24","30",30,"OFAV_SS_2EV30",0.063,133.89,0,211,0,0,"C5","CA"
"25","4",4,"OFAV_SS_2EV30",0.0001417,148.243,0,194.667,11.712,0.154,"C1","CW"
"26","5",5,"OFAV_SS_2EV30",0.081,195.164,0,232,0,0,"C1","A"
"27","6",6,"OFAV_SS_2EV30",0.032,177.085,0,228,0,0,"C1","CA"
"28","7",7,"OFAV_SS_2EV30",0.0003028,146.047,0.568,192.896,-84.544,0.328,"C2","H"
"29","8",8,"OFAV_SS_2EV30",0.0002109,137.648,0.936,194,-94.151,0.228,"C2","CH"
"30","9",9,"OFAV_SS_2EV30",0.0003324,152.243,0.448,192.383,-4.086,0.361,"C2","W"
