"","Row.names","X","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1",1,"OFAV_SS_2JQ6",0.0003677,196.451,3.933,233,-97.06,0.402,"C1","H"
"2","10",10,"OFAV_SS_2JQ6",0.0002541,157.584,1.458,205.433,12.2,0.277,"C2","CW"
"3","11",11,"OFAV_SS_2JQ6",0.128,171.771,0,229,0,0,"C2","A"
"4","12",12,"OFAV_SS_2JQ6",0.057,145.731,0,224,0,0,"C2","CA"
"5","13",13,"OFAV_SS_2JQ6",0.0003694,136.425,0.833,192.63,-92.992,0.403,"C3","H"
"6","14",14,"OFAV_SS_2JQ6",0.0002282,132.259,1.39,183.904,-101.682,0.248,"C3","CH"
"7","15",15,"OFAV_SS_2JQ6",0.0004187,146.981,0.319,203.64,12.591,0.457,"C3","W"
"8","16",16,"OFAV_SS_2JQ6",0.0002658,117.155,0.369,171.712,16.492,0.29,"C3","CW"
"9","17",17,"OFAV_SS_2JQ6",0.131,150.569,0,211,0,0,"C3","A"
"10","18",18,"OFAV_SS_2JQ6",0.056,128.764,0,198,0,0,"C3","CA"
"11","19",19,"OFAV_SS_2JQ6",0.0003543,136.557,0.243,198.842,-95.697,0.387,"C4","H"
"12","2",2,"OFAV_SS_2JQ6",0.0002516,125.964,0,192.439,-99.588,0.274,"C1","CH"
"13","20",20,"OFAV_SS_2JQ6",0.0002574,134.213,52.692,189.126,-101.09,0.28,"C4","CH"
"14","21",21,"OFAV_SS_2JQ6",0.0004154,135.167,0.401,174.887,7.885,0.453,"C4","W"
"15","22",22,"OFAV_SS_2JQ6",0.000234,129.652,0.333,183.627,12.64,0.255,"C4","CW"
"16","23",23,"OFAV_SS_2JQ6",0.146,149.383,0,205,0,0,"C4","A"
"17","24",24,"OFAV_SS_2JQ6",0.066,133.831,0,205,0,0,"C4","CA"
"18","25",25,"OFAV_SS_2JQ6",0.0003594,172.685,0.102,220.167,-96.149,0.393,"C5","H"
"19","26",26,"OFAV_SS_2JQ6",0.0002348,131.886,0.583,196.411,-99.26,0.256,"C5","CH"
"20","27",27,"OFAV_SS_2JQ6",0.0003861,166.298,0.572,205.523,-1.243,0.422,"C5","W"
"21","28",28,"OFAV_SS_2JQ6",0.0002424,132.673,0.888,193.723,10.766,0.264,"C5","CW"
"22","29",29,"OFAV_SS_2JQ6",0.11,173.571,0,225,0,0,"C5","A"
"23","3",3,"OFAV_SS_2JQ6",0.0003936,174.688,0.231,218.201,10.784,0.43,"C1","W"
"24","30",30,"OFAV_SS_2JQ6",0.054,151.985,0,225,0,0,"C5","CA"
"25","4",4,"OFAV_SS_2JQ6",0.0002524,166.771,4.701,218.091,16.626,0.275,"C1","CW"
"26","5",5,"OFAV_SS_2JQ6",0.134,185.5,0,242,0,0,"C1","A"
"27","6",6,"OFAV_SS_2JQ6",0.059,159.414,0,238,0,0,"C1","CA"
"28","7",7,"OFAV_SS_2JQ6",0.000417,149.995,0.036,217.333,-94.611,0.455,"C2","H"
"29","8",8,"OFAV_SS_2JQ6",0.0002265,114.67,0,195.993,-92.968,0.247,"C2","CH"
"30","9",9,"OFAV_SS_2JQ6",0.0003861,158.475,0.614,221.415,12.286,0.421,"C2","W"
