"","Row.names","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1","OFAV_SS_3JQ1_P1.JPG",0.0002801,193.714,31.853,214.325,-95.194,0.283,"C1","H"
"2","10","OFAV_SS_3JQ1_P1.JPG",0.0001819,165.166,0.749,212.616,3.077,0.184,"C2","CW"
"3","11","OFAV_SS_3JQ1_P1.JPG",0.085,200.686,0,237,0,0,"C2","A"
"4","12","OFAV_SS_3JQ1_P1.JPG",0.027,186.766,0,235,0,0,"C2","CA"
"5","13","OFAV_SS_3JQ1_P1.JPG",0.0002597,178.892,0.595,214.301,-108.843,0.263,"C3","H"
"6","14","OFAV_SS_3JQ1_P1.JPG",0.0002072,182.159,81.445,205.569,-103.116,0.209,"C3","CH"
"7","15","OFAV_SS_3JQ1_P1.JPG",0.0003239,186.872,0.649,210.763,-0.345,0.327,"C3","W"
"8","16","OFAV_SS_3JQ1_P1.JPG",0.0002052,183.392,0.333,217.333,3.27,0.207,"C3","CW"
"9","17","OFAV_SS_3JQ1_P1.JPG",0.084,192.88,0,233,0,0,"C3","A"
"10","18","OFAV_SS_3JQ1_P1.JPG",0.039,183.061,0,233,0,0,"C3","CA"
"11","19","OFAV_SS_3JQ1_P1.JPG",0.0002645,183.463,0.399,224.968,-79.354,0.267,"C4","H"
"12","2","OFAV_SS_3JQ1_P1.JPG",0.0001828,191.54,134.863,218.281,-96.746,0.185,"C1","CH"
"13","20","OFAV_SS_3JQ1_P1.JPG",0.0001916,152.972,1.014,211.068,-91.169,0.193,"C4","CH"
"14","21","OFAV_SS_3JQ1_P1.JPG",0.0002957,183.87,0.439,226.044,3.411,0.298,"C4","W"
"15","22","OFAV_SS_3JQ1_P1.JPG",0.0001313,175.414,0,213.124,0.855,0.132,"C4","CW"
"16","23","OFAV_SS_3JQ1_P1.JPG",0.064,201.965,0,234,0,0,"C4","A"
"17","24","OFAV_SS_3JQ1_P1.JPG",0.017,186.572,0,223,0,0,"C4","CA"
"18","25","OFAV_SS_3JQ1_P1.JPG",0.0003083,189.657,0.051,218.105,-92.175,0.312,"C5","H"
"19","26","OFAV_SS_3JQ1_P1.JPG",0.000249,197.614,145.644,219.427,-93.604,0.251,"C5","CH"
"20","27","OFAV_SS_3JQ1_P1.JPG",0.0003618,204.075,0.162,225.842,3.711,0.366,"C5","W"
"21","28","OFAV_SS_3JQ1_P1.JPG",0.0002227,188.482,0.439,228.988,-1.005,0.225,"C5","CW"
"22","29","OFAV_SS_3JQ1_P1.JPG",0.105,201.741,0,238,0,0,"C5","A"
"23","3","OFAV_SS_3JQ1_P1.JPG",0.0003112,194.314,0.58,216.789,4.674,0.315,"C1","W"
"24","30","OFAV_SS_3JQ1_P1.JPG",0.055,198.087,0,238,0,0,"C5","CA"
"25","4","OFAV_SS_3JQ1_P1.JPG",0.0001819,182.083,0,220.151,1.232,0.183,"C1","CW"
"26","5","OFAV_SS_3JQ1_P1.JPG",0.072,198.303,0,239,0,0,"C1","A"
"27","6","OFAV_SS_3JQ1_P1.JPG",0.036,192.517,0,233,0,0,"C1","CA"
"28","7","OFAV_SS_3JQ1_P1.JPG",0.0002859,195.049,140.436,214.509,-93.918,0.289,"C2","H"
"29","8","OFAV_SS_3JQ1_P1.JPG",0.0001916,158.689,0.612,211.221,-88.247,0.193,"C2","CH"
"30","9","OFAV_SS_3JQ1_P1.JPG",0.0002801,195.439,2.345,222.66,5.592,0.283,"C2","W"
