"","Row.names","X","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1",1,"OFAV_SS_3JQ1_P2",0.0004634,114.587,28.19,205.56,-93.403,0.507,"C1","H"
"2","10",10,"OFAV_SS_3JQ1_P2",0.0002563,90.035,50.018,133.333,12.407,0.28,"C2","CW"
"3","11",11,"OFAV_SS_3JQ1_P2",0.216,105.72,0,177,0,0,"C2","A"
"4","12",12,"OFAV_SS_3JQ1_P2",0.106,90.592,0,168,0,0,"C2","CA"
"5","13",13,"OFAV_SS_3JQ1_P2",0.0002671,119.791,0.488,169.433,-89.284,0.292,"C3","H"
"6","14",14,"OFAV_SS_3JQ1_P2",0.0001414,88.923,0.681,135.707,-78.425,0.155,"C3","CH"
"7","15",15,"OFAV_SS_3JQ1_P2",0.0002538,117.024,0.195,183.351,11.384,0.277,"C3","W"
"8","16",16,"OFAV_SS_3JQ1_P2",0.0001622,90.087,0.55,153.326,1.771,0.177,"C3","CW"
"9","17",17,"OFAV_SS_3JQ1_P2",0.054,124.219,0,195,0,0,"C3","A"
"10","18",18,"OFAV_SS_3JQ1_P2",0.019,98.547,0,176,0,0,"C3","CA"
"11","19",19,"OFAV_SS_3JQ1_P2",0.0004776,109.261,0.405,162.667,-87.198,0.522,"C4","H"
"12","2",2,"OFAV_SS_3JQ1_P2",0.000307,71.442,0,155.895,-99.386,0.336,"C1","CH"
"13","20",20,"OFAV_SS_3JQ1_P2",0.0003328,70.592,0.519,123.701,-92.877,0.363,"C4","CH"
"14","21",21,"OFAV_SS_3JQ1_P2",0.0003727,102.104,0.819,152.286,8.746,0.408,"C4","W"
"15","22",22,"OFAV_SS_3JQ1_P2",0.0002305,81.725,0.072,142.667,11.717,0.252,"C4","CW"
"16","23",23,"OFAV_SS_3JQ1_P2",0.182,107.625,0,186,0,0,"C4","A"
"17","24",24,"OFAV_SS_3JQ1_P2",0.084,95.488,0,179,0,0,"C4","CA"
"18","25",25,"OFAV_SS_3JQ1_P2",0.0004618,103.282,28.589,156.645,-106.144,0.505,"C5","H"
"19","26",26,"OFAV_SS_3JQ1_P2",0.0003145,91.14,0.333,173.667,-112.479,0.344,"C5","CH"
"20","27",27,"OFAV_SS_3JQ1_P2",0.0003445,105.137,0.333,149.691,3.057,0.376,"C5","W"
"21","28",28,"OFAV_SS_3JQ1_P2",0.0001839,80.394,0.333,135.073,1.042,0.201,"C5","CW"
"22","29",29,"OFAV_SS_3JQ1_P2",0.166,112.618,0,189,0,0,"C5","A"
"23","3",3,"OFAV_SS_3JQ1_P2",0.0004401,123.253,0.627,193.614,10.48,0.481,"C1","W"
"24","30",30,"OFAV_SS_3JQ1_P2",0.072,100.225,0,184,0,0,"C5","CA"
"25","4",4,"OFAV_SS_3JQ1_P2",0.0002463,94.518,0.415,151,17.146,0.269,"C1","CW"
"26","5",5,"OFAV_SS_3JQ1_P2",0.18,118.771,0,201,0,0,"C1","A"
"27","6",6,"OFAV_SS_3JQ1_P2",0.078,106.748,0,192,0,0,"C1","CA"
"28","7",7,"OFAV_SS_3JQ1_P2",0.0005175,101.311,34.287,148.333,-88.893,0.567,"C2","H"
"29","8",8,"OFAV_SS_3JQ1_P2",0.0003603,71.387,0.333,140.884,-91.989,0.394,"C2","CH"
"30","9",9,"OFAV_SS_3JQ1_P2",0.0004235,112.306,0.357,155,-4.399,0.464,"C2","W"
