"","Row.names","X","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1",1,"OFAV_SS_4243",0.0003072,165.546,100.603,212.624,-85.203,0.42,"C1","H"
"2","10",10,"OFAV_SS_4243",0.0001859,112.568,0.409,183.333,9.625,0.254,"C2","CW"
"3","11",11,"OFAV_SS_4243",0.138,170.528,0,241,0,0,"C2","A"
"4","12",12,"OFAV_SS_4243",0.061,143.468,0,240,0,0,"C2","CA"
"5","13",13,"OFAV_SS_4243",0.0002987,126.519,0.417,172.914,-91.027,0.408,"C3","H"
"6","14",14,"OFAV_SS_4243",0.0001881,91.077,0.544,159.19,-99.516,0.256,"C3","CH"
"7","15",15,"OFAV_SS_4243",0.0002624,121.103,0.069,205.061,7.27,0.358,"C3","W"
"8","16",16,"OFAV_SS_4243",0.0001635,107.144,0.861,180.846,8.289,0.223,"C3","CW"
"9","17",17,"OFAV_SS_4243",0.1,137.868,0,211,0,0,"C3","A"
"10","18",18,"OFAV_SS_4243",0.061,123.922,0,208,0,0,"C3","CA"
"11","19",19,"OFAV_SS_4243",0.0001886,165.212,0.333,219.455,-92.927,0.258,"C4","H"
"12","2",2,"OFAV_SS_4243",0.0001859,116.433,0.288,182.333,-97.289,0.254,"C1","CH"
"13","20",20,"OFAV_SS_4243",0.0001288,132.097,0.008,172,-90.477,0.175,"C4","CH"
"14","21",21,"OFAV_SS_4243",0.0001843,149.185,0.057,212.81,6.671,0.252,"C4","W"
"15","22",22,"OFAV_SS_4243",0.0001021,140.437,2.561,172.93,3.013,0.139,"C4","CW"
"16","23",23,"OFAV_SS_4243",0.051,167.878,0,224,0,0,"C4","A"
"17","24",24,"OFAV_SS_4243",0.02,149.864,0,224,0,0,"C4","CA"
"18","25",25,"OFAV_SS_4243",0.0002912,144.455,3.562,212.656,-52.162,0.398,"C5","H"
"19","26",26,"OFAV_SS_4243",0.0001779,109.913,75.325,152.438,-91.035,0.243,"C5","CH"
"20","27",27,"OFAV_SS_4243",0.0002586,145.786,0.754,209.42,3.325,0.353,"C5","W"
"21","28",28,"OFAV_SS_4243",0.0001859,124.41,1.542,181.657,9.951,0.254,"C5","CW"
"22","29",29,"OFAV_SS_4243",0.121,150.143,0,230,0,0,"C5","A"
"23","3",3,"OFAV_SS_4243",0.0003254,187.153,62.07,229,6.798,0.445,"C1","W"
"24","30",30,"OFAV_SS_4243",0.052,130.299,0,230,0,0,"C5","CA"
"25","4",4,"OFAV_SS_4243",0.0001539,152.539,0.769,231.667,5.194,0.21,"C1","CW"
"26","5",5,"OFAV_SS_4243",0.139,187.452,0,243,0,0,"C1","A"
"27","6",6,"OFAV_SS_4243",0.067,172.466,0,242,0,0,"C1","CA"
"28","7",7,"OFAV_SS_4243",0.0003083,163.429,82.932,235.558,-91.392,0.421,"C2","H"
"29","8",8,"OFAV_SS_4243",0.0001806,110.934,1.047,172,-94.086,0.246,"C2","CH"
"30","9",9,"OFAV_SS_4243",0.0003163,157.058,0.942,225.333,8.952,0.432,"C2","W"
