"","Row.names","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1","OFAV_SS_4DW14",0.000353,147.672,0.081,187.252,-74.335,0.372,"C1","H"
"2","10","OFAV_SS_4DW14",0.0002097,128.67,3.652,178.425,14.394,0.221,"C2","CW"
"3","11","OFAV_SS_4DW14",0.115,159.729,0,200,0,0,"C2","A"
"4","12","OFAV_SS_4DW14",0.036,136.18,0,200,0,0,"C2","CA"
"5","13","OFAV_SS_4DW14",0.0003835,151.495,53.074,202.241,-124.398,0.404,"C3","H"
"6","14","OFAV_SS_4DW14",0.0002464,137.517,0.647,182.772,-129.084,0.26,"C3","CH"
"7","15","OFAV_SS_4DW14",0.0003889,165.761,1.023,205.785,11.466,0.41,"C3","W"
"8","16","OFAV_SS_4DW14",0.0002339,125.307,1.061,192.923,15.371,0.246,"C3","CW"
"9","17","OFAV_SS_4DW14",0.11,164.174,0,215,0,0,"C3","A"
"10","18","OFAV_SS_4DW14",0.051,139.28,0,215,0,0,"C3","CA"
"11","19","OFAV_SS_4DW14",0.0003414,123.886,0.186,176.4,-85.174,0.36,"C4","H"
"12","2","OFAV_SS_4DW14",0.000224,122.767,2.111,169.456,-94.151,0.235,"C1","CH"
"13","20","OFAV_SS_4DW14",0.0002285,126.903,70.223,179.916,-91.128,0.24,"C4","CH"
"14","21","OFAV_SS_4DW14",0.0003387,130.841,0,190.459,4.562,0.357,"C4","W"
"15","22","OFAV_SS_4DW14",0.0002142,93.814,0,146.578,2.646,0.226,"C4","CW"
"16","23","OFAV_SS_4DW14",0.112,147.794,0,198,0,0,"C4","A"
"17","24","OFAV_SS_4DW14",0.068,140.05,0,198,0,0,"C4","CA"
"18","25","OFAV_SS_4DW14",0.0003468,144.217,2.107,197.319,-107.354,0.365,"C5","H"
"19","26","OFAV_SS_4DW14",0.0002213,102.629,0.295,169,-107.993,0.233,"C5","CH"
"20","27","OFAV_SS_4DW14",0.0003978,153.319,66.469,194.747,2.068,0.42,"C5","W"
"21","28","OFAV_SS_4DW14",0.0002366,127.546,0.17,188.577,8.746,0.249,"C5","CW"
"22","29","OFAV_SS_4DW14",0.109,159.721,0,208,0,0,"C5","A"
"23","3","OFAV_SS_4DW14",0.0003978,164.763,0,201.061,21.705,0.42,"C1","W"
"24","30","OFAV_SS_4DW14",0.046,135.481,0,205,0,0,"C5","CA"
"25","4","OFAV_SS_4DW14",0.000233,136.284,0.485,184.667,19.832,0.246,"C1","CW"
"26","5","OFAV_SS_4DW14",0.099,165.944,0,218,0,0,"C1","A"
"27","6","OFAV_SS_4DW14",0.043,142.672,0,211,0,0,"C1","CA"
"28","7","OFAV_SS_4DW14",0.0003736,135.899,0,186.83,-98.286,0.394,"C2","H"
"29","8","OFAV_SS_4DW14",0.0001989,105.082,0,165,-95.194,0.209,"C2","CH"
"30","9","OFAV_SS_4DW14",0.0003306,154.06,0.847,192.263,13.205,0.348,"C2","W"
