"","Row.names","X","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1",1,"OFAV_SS_9AZ7",0.0002231,131.358,2.444,155.063,-94.497,0.244,"C1","H"
"2","10",10,"OFAV_SS_9AZ7",0.0001485,104.654,0.026,153.009,6.766,0.162,"C2","CW"
"3","11",11,"OFAV_SS_9AZ7",0.082,129.764,0,179,0,0,"C2","A"
"4","12",12,"OFAV_SS_9AZ7",0.031,118.973,0,177,0,0,"C2","CA"
"5","13",13,"OFAV_SS_9AZ7",0.0003268,86.47,0.333,117.924,-92.622,0.358,"C3","H"
"6","14",14,"OFAV_SS_9AZ7",0.0002099,67.4,0.222,121,-93.406,0.23,"C3","CH"
"7","15",15,"OFAV_SS_9AZ7",0.0003202,88.115,0.157,125.548,18.153,0.351,"C3","W"
"8","16",16,"OFAV_SS_9AZ7",0.0001933,80.64,0.46,101.31,10.437,0.211,"C3","CW"
"9","17",17,"OFAV_SS_9AZ7",0.097,94.732,0,136,0,0,"C3","A"
"10","18",18,"OFAV_SS_9AZ7",0.042,85.844,0,132,0,0,"C3","CA"
"11","19",19,"OFAV_SS_9AZ7",0.0002306,126.555,0.251,161.891,-80.028,0.252,"C4","H"
"12","2",2,"OFAV_SS_9AZ7",0.0001302,100.215,0.692,132.282,-92.203,0.142,"C1","CH"
"13","20",20,"OFAV_SS_9AZ7",0.0001327,78.878,0.396,171.421,-85.684,0.145,"C4","CH"
"14","21",21,"OFAV_SS_9AZ7",0.0002223,135.893,81.954,165.296,9.039,0.243,"C4","W"
"15","22",22,"OFAV_SS_9AZ7",0.0001559,103.18,0.28,158.085,6.442,0.17,"C4","CW"
"16","23",23,"OFAV_SS_9AZ7",0.043,135.103,0,177,0,0,"C4","A"
"17","24",24,"OFAV_SS_9AZ7",0.015,118.289,0,174,0,0,"C4","CA"
"18","25",25,"OFAV_SS_9AZ7",0.0002497,96.057,0.181,142.453,-78.465,0.273,"C5","H"
"19","26",26,"OFAV_SS_9AZ7",0.0001501,93.477,0.199,120.889,-79.439,0.164,"C5","CH"
"20","27",27,"OFAV_SS_9AZ7",0.0002422,105.647,0.288,136.481,18.622,0.265,"C5","W"
"21","28",28,"OFAV_SS_9AZ7",0.0001302,99.78,2.097,132.744,15.642,0.142,"C5","CW"
"22","29",29,"OFAV_SS_9AZ7",0.054,108.882,0,147,0,0,"C5","A"
"23","3",3,"OFAV_SS_9AZ7",0.0002298,124.535,0,158.333,-3.111,0.252,"C1","W"
"24","30",30,"OFAV_SS_9AZ7",0.023,99.447,0,141,0,0,"C5","CA"
"25","4",4,"OFAV_SS_9AZ7",0.0001186,113.017,0.356,160,6.072,0.129,"C1","CW"
"26","5",5,"OFAV_SS_9AZ7",0.041,129.6,0,172,0,0,"C1","A"
"27","6",6,"OFAV_SS_9AZ7",0.015,118.966,0,172,0,0,"C1","CA"
"28","7",7,"OFAV_SS_9AZ7",0.0003193,137.693,11.667,170.193,-100.345,0.35,"C2","H"
"29","8",8,"OFAV_SS_9AZ7",0.000175,111.426,42.11,158.562,-90.818,0.191,"C2","CH"
"30","9",9,"OFAV_SS_9AZ7",0.0002953,119.537,5.15,175.848,4.362,0.323,"C2","W"
